| Economy | AUSTRIA |
| --- | --- |
| Economy - overview: | Austria, with its well-developed market economy, skilled labor force, and high standard of living, is closely tied to other EU economies, especially Germany's. Its economy features a large service sector, a relatively sound industrial sector, and a small, but highly developed agricultural sector. |
| Economy - overview: | Economic growth has been relatively weak in recent years, approaching 0.9% in 2015, but rising to 1.4% in 2016. Austria's 5.8% unemployment rate, while low by European standards, is at its highest rate since the end of World War II, driven by an increased number of refugees and EU migrants entering the labor market. Without extensive vocational training programs and generous early retirement, the unemployment rate would be even higher. |
| Economy - overview: | Although Austria's fiscal position compares favorably with other euro-zone countries, it faces several external risks, such as unexpectedly weak world economic growth threatening the export market, Austrian banks' continued exposure to Central and Eastern Europe, repercussions from the Hypo Alpe Adria bank collapse, political and economic uncertainties caused by the European sovereign debt crisis, the current refugee crisis, and continued unrest in Russia/Ukraine. The budget deficit stood at 1.4% of GDP in 2016 and public debt reached a post-war high of 86.2% of the GDP in 2015. |
| GDP (purchasing power parity): | $417.1 billion (2016 est.) |
| GDP (purchasing power parity): | $405.8 billion (2015 est.) |
| GDP (purchasing power parity): | $397.7 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $386.6 billion (2016 est.) |
| GDP - real growth rate: | 1.5% (2016 est.) |
| GDP - real growth rate: | 1% (2015 est.) |
| GDP - real growth rate: | 0.6% (2014 est.) |
| GDP - per capita (PPP): | $47,700 (2016 est.) |
| GDP - per capita (PPP): | $47,600 (2015 est.) |
| GDP - per capita (PPP): | $47,600 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 25.5% of GDP (2016 est.) |
| Gross national saving: | 25.4% of GDP (2015 est.) |
| Gross national saving: | 26% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 52.6% |
| GDP - composition, by end use: | government consumption: 20.1% |
| GDP - composition, by end use: | investment in fixed capital: 23% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 52.1% |
| GDP - composition, by end use: | imports of goods and services: -48.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.3% |
| GDP - composition, by sector of origin: | industry: 28.1% |
| GDP - composition, by sector of origin: | services: 70.6% (2016 est.) |
| Agriculture - products: | grains, potatoes, wine, fruit; dairy products, cattle, pigs, poultry; lumber and other forestry products |
| Industries: | construction, machinery, vehicles and parts, food, metals, chemicals, lumber, paper and paperboard, communications equipment, tourism |
| Industrial production growth rate: | 1.8% (2016 est.) |
| Labor force: | 3.944 million (2016 est.) |
