| Economy | AUSTRIA |
| --- | --- |
| Economy - overview: | Austria, with its well-developed market economy, skilled labor force, and high standard of living, is closely tied to other EU economies, especially Germany's. Its economy features a large service sector, a relatively sound industrial sector, and a small, but highly developed agricultural sector. Economic growth was anemic at less than 0.5% in 2013 and 2014, and growth in 2015 is not expected to exceed 0.5%. Austria&rsquo;s 5.6% unemployment rate, while low by European standards, is at an historic high for Austria. Without extensive vocational training programs and generous early retirement, the unemployment rate would be even higher. Public finances have not stabilized even after a 2012 austerity package of expenditure cuts and new revenues. On the contrary, in 2014, the government created a &ldquo;bad bank&rdquo; for the troubled nationalized &ldquo;Hypo Alpe Adria&rdquo; bank, pushing the budget deficit up by 0.9% of GDP to 2.4% and public debt to 84.5% of the GDP. Although Austria's fiscal position compares favorably with other euro-zone countries, it faces several external risks, such as Austrian banks' continued exposure to Central and Eastern Europe, repercussions from the Hypo Alpe Adria bank collapse, political and economic uncertainties caused by the European sovereign debt crisis, the current crisis in Russia/Ukraine, the recent appreciation of the Swiss Franc, and political developments in Hungary. |
| GDP (purchasing power parity): | $395.5 billion (2014 est.) |
| GDP (purchasing power parity): | $394.1 billion (2013 est.) |
| GDP (purchasing power parity): | $393.3 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $437.1 billion (2014 est.) |
| GDP - real growth rate: | 0.3% (2014 est.) |
| GDP - real growth rate: | 0.2% (2013 est.) |
| GDP - real growth rate: | 0.9% (2012 est.) |
| GDP - per capita (PPP): | $46,400 (2014 est.) |
| GDP - per capita (PPP): | $46,300 (2013 est.) |
| GDP - per capita (PPP): | $46,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 25% of GDP (2014 est.) |
| Gross national saving: | 23.9% of GDP (2013 est.) |
| Gross national saving: | 26.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 55% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 21.1% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 56.4% |
| GDP - composition, by end use: | imports of goods and services: -52.1% |
