| Economy | BAHRAIN |
| --- | --- |
| Economy - overview: | Low oil prices have generated a budget deficit of at least a $4 billion deficit in 2015, 13% of GDP. Bahrain has few options for covering this deficit, with meager foreign assets and a constrained borrowing ability, stemming in part from a sovereign debt rating averaging just above “junk” status. |
| Economy - overview: | Oil comprises 86% of Bahraini budget revenues, despite past efforts to diversify its economy and to build communication and transport facilities for multinational firms with business in the Gulf. As part of its diversification plans, Bahrain implemented a Free Trade Agreement (FTA) with the US in August 2006, the first FTA between the US and a Gulf state. |
| Economy - overview: | Other major economic activities are production of aluminum - Bahrain's second biggest export after oil - finance, and construction. Bahrain continues to seek new natural gas supplies as feedstock to support its expanding petrochemical and aluminum industries. |
| Economy - overview: | In 2011 Bahrain experienced economic setbacks as a result of domestic unrest driven by the majority Shia population, however, the economy recovered in 2012-15, partly as a result of improved tourism. In addition to addressing its current fiscal woes, Bahraini authorities face the long-term challenge of boosting Bahrain’s regional competitiveness—especially regarding industry, finance, and tourism—and reconciling revenue constraints with popular pressure to maintain generous state subsidies and a large public sector. |
| GDP (purchasing power parity): | $64.8 billion (2015 est.) |
| GDP (purchasing power parity): | $62.82 billion (2014 est.) |
| GDP (purchasing power parity): | $60.12 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $30.41 billion (2015 est.) |
| GDP - real growth rate: | 3.2% (2015 est.) |
| GDP - real growth rate: | 4.5% (2014 est.) |
| GDP - real growth rate: | 5.4% (2013 est.) |
| GDP - per capita (PPP): | $50,100 (2015 est.) |
| GDP - per capita (PPP): | $49,500 (2014 est.) |
| GDP - per capita (PPP): | $48,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16.1% of GDP (2015 est.) |
| Gross national saving: | 19.9% of GDP (2014 est.) |
| Gross national saving: | 25% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 46.7% |
| GDP - composition, by end use: | government consumption: 17.2% |
| GDP - composition, by end use: | investment in fixed capital: 17.6% |
| GDP - composition, by end use: | investment in inventories: -0.9% |
| GDP - composition, by end use: | exports of goods and services: 54.7% |
| GDP - composition, by end use: | imports of goods and services: -35.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% |
| GDP - composition, by sector of origin: | industry: 38.3% |
| GDP - composition, by sector of origin: | services: 61.4% (2015 est.) |
| Agriculture - products: | fruit, vegetables; poultry, dairy products; shrimp, fish |
| Industries: | petroleum processing and refining, aluminum smelting, iron pelletization, fertilizers, Islamic and offshore banking, insurance, ship repairing, tourism |
| Industrial production growth rate: | 2.2% (2015 est.) |
| Labor force: | 786,100 |
| Labor force: | note: excludes unemployed; 44% of the population in the 15-64 age group is non-national (2015 est.) |
| Labor force - by occupation: | agriculture: 1% |
| Labor force - by occupation: | industry: 32% |
| Labor force - by occupation: | services: 67% (2004 est.) |
| Unemployment rate: | 4.1% (2014 est.) |
| Unemployment rate: | 4.3% (2013 est.) |
| Unemployment rate: | note: official estimate; actual rate is higher |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $5.436 billion |
| Budget: | expenditures: $9.464 billion (2015 est.) |
| Taxes and other revenues: | 17.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -13.2% of GDP (2015 est.) |
| Public debt: | 66.7% of GDP (2015 est.) |
| Public debt: | 42.6% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2015 est.) |
