| Economy | Malaysia |
| --- | --- |
| Economy - overview: | Malaysia, a middle-income country, has transformed itself since the 1970s from a producer of raw materials into an emerging multi-sector economy. Under current Prime Minister NAJIB, Malaysia is attempting to achieve high-income status by 2020 and to move farther up the value-added production chain by attracting investments in Islamic finance, high technology industries, biotechnology, and services. NAJIB's Economic Transformation Program (ETP) is a series of projects and policy measures intended to accelerate the country's economic growth. The government has also taken steps to liberalize some services sub-sectors. The NAJIB administration also is continuing efforts to boost domestic demand and reduce the economy''s dependence on exports. Nevertheless, exports - particularly of electronics, oil and gas, palm oil and rubber - remain a significant driver of the economy. As an oil and gas exporter, Malaysia has profited from higher world energy prices, although the rising cost of domestic gasoline and diesel fuel, combined with strained government finances, has forced Kuala Lumpur to begin to reduce government subsidies. The government is also trying to lessen its dependence on state oil producer Petronas. The oil and gas sector supplies about 35% of government revenue in 2011. Bank Negera Malaysia (central bank) maintains healthy foreign exchange reserves, and a well-developed regulatory regime has limited Malaysia''s exposure to riskier financial instruments and the global financial crisis. Nevertheless, Malaysia could be vulnerable to a fall in commodity prices or a general slowdown in global economic activity because exports are a major component of GDP. In order to attract increased investment, NAJIB has raised possible revisions to the special economic and social preferences accorded to ethnic Malays under the New Economic Policy of 1970, but he has encountered significant opposition, especially from Malay nationalists and other vested interests. |
| GDP (purchasing power parity): | $494.7 billion (2012 est.) |
| GDP (purchasing power parity): | $468.3 billion (2011 est.) |
| GDP (purchasing power parity): | $445.4 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $300.6 billion (2012 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - real growth rate: | 5.1% (2011 est.) |
| GDP - real growth rate: | 7.4% (2010 est.) |
| GDP - per capita (PPP): | $16,800 (2012 est.) |
| GDP - per capita (PPP): | $16,200 (2011 est.) |
| GDP - per capita (PPP): | $15,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 31.9% of GDP (2012 est.) |
| Gross national saving: | 34.9% of GDP (2011 est.) |
| Gross national saving: | 34.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 48.9% |
| GDP - composition, by end use: | government consumption: 13.5% |
| GDP - composition, by end use: | investment in fixed capital: 25.7% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 87.1% |
| GDP - composition, by end use: | imports of goods and services: -75.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.4% |
| GDP - composition, by sector of origin: | industry: 40.2% |
| GDP - composition, by sector of origin: | services: 48.3% (2012 est.) |
| Agriculture - products: | Peninsular Malaysia - palm oil, rubber, cocoa, rice; Sabah - palm oil, subsistence crops; rubber, timber; Sarawak - palm oil, rubber, timber; pepper |
| Industries: | Peninsular Malaysia - rubber and oil palm processing and manufacturing, petroleum and natural gas, light manufacturing, pharmaceuticals, medical technology, electronics and semi-conductors, timber processing; Sabah - logging, petroleum and natural gas production; Sarawak - agriculture processing, petroleum and natural gas production, logging |
| Industrial production growth rate: | 3.8% (2012 est.) |
| Labor force: | 12.9 million (2012 est.) |
| Labor force - by occupation: | agriculture: 11.1% |
| Labor force - by occupation: | industry: 36% |
| Labor force - by occupation: | services: 53.5% (2012 est.) |
| Unemployment rate: | 3% (2012 est.) |
| Unemployment rate: | 3.1% (2011 est.) |
| Population below poverty line: | 3.8% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 34.7% (2009 est.) |
| Distribution of family income - Gini index: | 46.2 (2009) |
| Distribution of family income - Gini index: | 49.2 (1997) |
| Budget: | revenues: $67.31 billion |
| Budget: | expenditures: $80.89 billion (2012 est.) |
| Taxes and other revenues: | 22.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2012 est.) |
| Public debt: | 53.3% of GDP (2012 est.) |
| Public debt: | 51.6% of GDP (2011 est.) |
| Public debt: | note: this figure is based on the amount of federal government debt, RM501.6 billion ($167.2 billion) in 2012; this includes Malaysian Treasury bills and other government securities, as well as loans raised externally and bonds and notes issued overseas; this figure excludes debt issued by non-financial public enterprises and guaranteed by the federal government, which was an additional $47.7 billion in 2012 |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2012 est.) |
| Inflation rate (consumer prices): | 3.2% (2011 est.) |
| Inflation rate (consumer prices): | note: approximately 30% of goods are price-controlled |
| Central bank discount rate: | 3% (31 December 2011) |
| Central bank discount rate: | 2.83% (31 December 2010) |
| Commercial bank prime lending rate: | 4.7% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 4.83% (31 December 2011 est.) |
| Stock of narrow money: | $93.89 billion (31 December 2012 est.) |
| Stock of narrow money: | $81.28 billion (31 December 2011 est.) |
| Stock of broad money: | $458.5 billion (31 December 2012 est.) |
| Stock of broad money: | $382.2 billion (31 December 2011 est.) |
| Stock of domestic credit: | $412.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $354.6 billion (31 December 2011 est.) |
