| Economy | MALAYSIA |
| --- | --- |
| Economy - overview: | Malaysia, a middle-income country, has transformed itself since the 1970s from a producer of raw materials into an emerging multi-sector economy. Under current Prime Minister NAJIB, Malaysia is attempting to achieve high-income status by 2020 and to move farther up the value-added production chain by attracting investments in Islamic finance, high technology industries, biotechnology, and services. NAJIB's Economic Transformation Program (ETP) is a series of projects and policy measures intended to accelerate the country's economic growth. The government has also taken steps to liberalize some services sub-sectors. Malaysia is vulnerable to a fall in world commodity prices or a general slowdown in global economic activity. |
| Economy - overview: | The NAJIB administration is continuing efforts to boost domestic demand and reduce the economy's dependence on exports. Nevertheless, exports - particularly of electronics, oil and gas, palm oil and rubber - remain a significant driver of the economy. Gross exports of goods and services constitute more than 80% of GDP. The oil and gas sector supplied about 29% of government revenue in 2014. As an oil and gas exporter, Malaysia has previously profited from higher world energy prices, although the rising cost of domestic gasoline and diesel fuel, combined with sustained budget deficits, has forced Kuala Lumpur to begin to address fiscal shortfalls, through initial reductions in energy and sugar subsidies and the announcement of the 2015 implementation of a 6% goods and services tax. Falling global oil prices in the second half of 2014 have strained government finances, shrunk Malaysia&rsquo;s current account surplus and put downward pressure on the ringgit. The government is trying to lessen its dependence on state oil producer Petronas. |
| Economy - overview: | Bank Negara Malaysia (the central bank) maintains healthy foreign exchange reserves; a well-developed regulatory regime has limited Malaysia's exposure to riskier financial instruments and the global financial crisis. In order to attract increased investment, NAJIB raised possible revisions to the special economic and social preferences accorded to ethnic Malays under the New Economic Policy of 1970, but retreated in 2013 after he encountered significant opposition from Malay nationalists and other vested interests. In September 2013 NAJIB launched the new Bumiputra Economic Empowerment Program (BEEP), policies that favor and advance the economic condition of ethnic Malays. |
| Economy - overview: | Malaysia is a member of the 12-nation Trans-Pacific Partnership free trade agreement negotiations and, with the nine other ASEAN members, will form the ASEAN Economic Community in 2015. |
| GDP (purchasing power parity): | $746.1 billion (2014 est.) |
| GDP (purchasing power parity): | $703.7 billion (2013 est.) |
| GDP (purchasing power parity): | $671.8 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $326.9 billion (2014 est.) |
| GDP - real growth rate: | 6% (2014 est.) |
| GDP - real growth rate: | 4.7% (2013 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - per capita (PPP): | $24,700 (2014 est.) |
