| Economy | Sri Lanka |
| --- | --- |
| Economy - overview: | Sri Lanka continues to experience strong economic growth following the end of the 26-year conflict with the Liberation Tigers of Tamil Eelam. The government has been pursuing large-scale reconstruction and development projects in its efforts to spur growth in war-torn and disadvantaged areas, develop small and medium enterprises and increase agricultural productivity. The government's high debt payments and bloated civil service have contributed to historically high budget deficits, but fiscal consolidation efforts and strong GDP growth in recent years have helped bring down the government's fiscal deficit. However, low tax revenues are a major concern. The 2008-09 global financial crisis and recession exposed Sri Lanka's economic vulnerabilities and nearly caused a balance of payments crisis. Agriculture slowed due to a drought and weak global demand affected exports and trade. In early 2012, Sri Lanka floated the rupee, resulting in a sharp depreciation, and took steps to curb imports. A large trade deficit remains a concern, but strong remittances from Sri Lankan workers abroad help offset the trade deficit. Government debt of about 80% of GDP remains among the highest in emerging markets. |
| GDP (purchasing power parity): | $134.5 billion (2013 est.) |
| GDP (purchasing power parity): | $126.6 billion (2012 est.) |
| GDP (purchasing power parity): | $119 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $65.12 billion (2013 est.) |
| GDP - real growth rate: | 6.3% (2013 est.) |
| GDP - real growth rate: | 6.4% (2012 est.) |
| GDP - real growth rate: | 8.2% (2011 est.) |
| GDP - per capita (PPP): | $6,500 (2013 est.) |
| GDP - per capita (PPP): | $6,100 (2012 est.) |
| GDP - per capita (PPP): | $5,800 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 27% of GDP (2013 est.) |
| Gross national saving: | 24% of GDP (2012 est.) |
| Gross national saving: | 22.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 69.7% |
| GDP - composition, by end use: | government consumption: 13.2% |
| GDP - composition, by end use: | investment in fixed capital: 29% |
| GDP - composition, by end use: | investment in inventories: 1.7% |
| GDP - composition, by end use: | exports of goods and services: 20.1% |
| GDP - composition, by end use: | imports of goods and services: -33.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.6% |
| GDP - composition, by sector of origin: | industry: 32.4% |
| GDP - composition, by sector of origin: | services: 57% (2013 est.) |
| Agriculture - products: | rice, sugarcane, grains, pulses, oilseed, spices, vegetables, fruit, tea, rubber, coconuts; milk, eggs, hides, beef; fish |
| Industries: | processing of rubber, tea, coconuts, tobacco and other agricultural commodities; telecommunications, insurance, banking; tourism, shipping; clothing, textiles; cement, petroleum refining, information technology services, construction |
| Industrial production growth rate: | 10% (2013 est.) |
| Labor force: | 8.528 million (2013 est.) |
| Labor force - by occupation: | agriculture: 31.8% |
| Labor force - by occupation: | industry: 25.8% |
| Labor force - by occupation: | services: 42.4% (June 2012) |
| Unemployment rate: | 5.1% (2013 est.) |
| Unemployment rate: | 4% (2012 est.) |
| Population below poverty line: | 8.9% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.6% |
