| Economy | SRI LANKA |
| --- | --- |
| Economy - overview: | Sri Lanka continues to experience strong economic growth following the end of the government's 26-year conflict with the Liberation Tigers of Tamil Eelam. The government has been pursuing large-scale reconstruction and development projects in its efforts to spur growth in war-torn and disadvantaged areas, develop small and medium enterprises, and increase agricultural productivity. |
| Economy - overview: | The government's high debt payments and bloated civil service have contributed to historically high budget deficits and low tax revenues remain a concern. Government debt of about 72% of GDP remains among the highest in emerging markets. |
| Economy - overview: | The new government in 2015 drastically increased wages for public sector employees, which boosted demand for consumer goods but hurt the overall balance of payments and reduced foreign exchange reserves. |
| GDP (purchasing power parity): | $223 billion (2015 est.) |
| GDP (purchasing power parity): | $212 billion (2014 est.) |
| GDP (purchasing power parity): | $203 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $82.1 billion (2015 est.) |
| GDP - real growth rate: | 5.2% (2015 est.) |
| GDP - real growth rate: | 4.5% (2014 est.) |
| GDP - real growth rate: | 3.4% (2013 est.) |
| GDP - per capita (PPP): | $10,600 (2015 est.) |
| GDP - per capita (PPP): | $10,100 (2014 est.) |
| GDP - per capita (PPP): | $9,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 27.6% of GDP (2015 est.) |
| Gross national saving: | 29.5% of GDP (2014 est.) |
| Gross national saving: | 29.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 68.6% |
| GDP - composition, by end use: | government consumption: 8.8% |
| GDP - composition, by end use: | investment in fixed capital: 26.2% |
| GDP - composition, by end use: | investment in inventories: 3.9% |
| GDP - composition, by end use: | exports of goods and services: 20.5% |
| GDP - composition, by end use: | imports of goods and services: -28% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.7% |
| GDP - composition, by sector of origin: | industry: 30.7% |
| GDP - composition, by sector of origin: | services: 60.6% (2015 est.) |
| Agriculture - products: | rice, sugarcane, grains, pulses, oilseed, spices, vegetables, fruit, tea, rubber, coconuts; milk, eggs, hides, beef; fish |
| Industries: | processing of rubber, tea, coconuts, tobacco and other agricultural commodities; telecommunications, insurance, banking; tourism, shipping; clothing, textiles; cement, petroleum refining, information technology services, construction |
| Industrial production growth rate: | 3% (2015 est.) |
| Labor force: | 8.928 million (2015 est.) |
| Labor force - by occupation: | agriculture: 28.4% |
| Labor force - by occupation: | industry: 25.7% |
| Labor force - by occupation: | services: 45.9% (30 Jun 2015) |
| Unemployment rate: | 4.7% (2015 est.) |
| Unemployment rate: | 4.3% (2014 est.) |
| Population below poverty line: | 8.9% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.6% |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009) |
| Distribution of family income - Gini index: | 49 (2010) |
| Distribution of family income - Gini index: | 46 (1995) |
| Budget: | revenues: $10.75 billion |
| Budget: | expenditures: $16.95 billion (2015 est.) |
| Taxes and other revenues: | 13.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -7.5% of GDP (2015 est.) |
| Public debt: | 76% of GDP (2015 est.) |
| Public debt: | 70.7% of GDP (2014 est.) |
| Public debt: | note: covers central government debt, and excludes debt instruments directly owned by government entities other than the treasury (e.g. commercial bank borrowings of a government corporation); the data includes treasury debt held by foreign entities as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement; sub-national entities are usually not permitted to sell debt instruments |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2015 est.) |
| Inflation rate (consumer prices): | 3.3% (2014 est.) |
| Central bank discount rate: | 6% (31 December 2015) |
| Central bank discount rate: | 6.5% (31 December 2013) |
| Commercial bank prime lending rate: | 6.96% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.84% (31 December 2014 est.) |
| Stock of narrow money: | $4.963 billion (31 December 2015 est.) |
| Stock of narrow money: | $4.671 billion (31 December 2014 est.) |
| Stock of broad money: | $26.79 billion (31 December 2015 est.) |
| Stock of broad money: | $25.95 billion (31 December 2014 est.) |
| Stock of domestic credit: | $39.22 billion (31 December 2015 est.) |
| Stock of domestic credit: | $33.79 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $18.48 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $17.05 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $19.44 billion (31 December 2013 est.) |
| Current account balance: | -$1.681 billion (2015 est.) |
| Current account balance: | -$2.018 billion (2014 est.) |
| Exports: | $10.5 billion (2015 est.) |
| Exports: | $11.13 billion (2014 est.) |
| Exports - commodities: | textiles and apparel, tea and spices; rubber manufactures; precious stones; coconut products, fish |
