| Economy | Kosovo |
| --- | --- |
| Economy - overview: | Kosovo's economy has shown significant progress in transitioning to a market-based system and maintaining macroeconomic stability, but it is still highly dependent on the international community and the diaspora for financial and technical assistance. Kosovo's citizens are the poorest in Europe with a per capita GDP (PPP) of $7,600 in 2013. An unemployment rate of 45% encourages emigration and fuels a significant informal, unreported economy. Remittances from the diaspora - located mainly in Germany, Switzerland, and the Nordic countries - are estimated to account for about 15% of GDP, and donor-financed activities and aid for approximately 10%. Most of Kosovo's population lives in rural towns outside of the capital, Pristina. Inefficient, near-subsistence farming is common - the result of small plots, limited mechanization, and lack of technical expertise. With international assistance, Kosovo has been able to privatize a majority of its state-owned-enterprises. Minerals and metals - including lignite, lead, zinc, nickel, chrome, aluminum, magnesium, and a wide variety of construction materials - once formed the backbone of industry, but output has declined because of ageing equipment and insufficient investment. A limited and unreliable electricity supply due to technical and financial problems is a major impediment to economic development, but Kosovo has received technical assistance to help improve accounting and controls and, in 2012, privatized its distribution network. The US Government is cooperating with the Ministry for Energy and Mines and the World Bank to prepare commercial tenders for the construction of a new power plant, rehabilitation of an old plant, and the development of a coal mine that could supply both. In July 2008, Kosovo received pledges of $1.9 billion from 37 countries in support of its reform priorities, but the global financial crisis has limited this assistance and also negatively affected remittance inflows. In June 2009, Kosovo joined the World Bank and International Monetary Fund, and Kosovo began servicing its share of the former Yugoslavia's debt. In order to help integrate Kosovo into regional economic structures, UNMIK signed (on behalf of Kosovo) its accession to the Central Europe Free Trade Area (CEFTA) in 2006. Serbia and Bosnia previously had refused to recognize Kosovo's customs stamp or extend reduced tariff privileges for Kosovo products under CEFTA, but both countries resumed trade with Kosovo in 2011. The official currency of Kosovo is the euro, but the Serbian dinar is also used illegally in Serb enclaves. Kosovo's tie to the euro has helped keep core inflation low. Kosovo maintained a budget surplus until 2011, when government expenditures climbed sharply. In 2013 Kosovo signed a Free Trade Agreement with Turkey and is negotiating liberalization of trade with EU as part of a Stabilization and Association Agreement. |
| GDP (purchasing power parity): | $14.11 billion (2013 est.) |
| GDP (purchasing power parity): | $13.77 billion (2012 est.) |
| GDP (purchasing power parity): | $13.43 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $7.15 billion (2013 est.) |
| GDP - real growth rate: | 2.5% (2013 est.) |
| GDP - real growth rate: | 2.5% (2012 est.) |
| GDP - real growth rate: | 4.4% (2011 est.) |
| GDP - per capita (PPP): | $7,600 (2013 est.) |
| GDP - per capita (PPP): | $7,500 (2012 est.) |
| GDP - per capita (PPP): | $7,400 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 12.7% of GDP (2013 est.) |
| Gross national saving: | 12.5% of GDP (2012 est.) |
| Gross national saving: | 12.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 90.5% |
| GDP - composition, by end use: | government consumption: 16% |
| GDP - composition, by end use: | investment in fixed capital: 28.2% |
| GDP - composition, by end use: | investment in inventories: 3% |
| GDP - composition, by end use: | exports of goods and services: 18.8% |
| GDP - composition, by end use: | imports of goods and services: -53.9% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.9% |
| GDP - composition, by sector of origin: | industry: 22.6% |
| GDP - composition, by sector of origin: | services: 64.5% (2009 est.) |
| Agriculture - products: | wheat, corn, berries, potatoes, peppers, fruit; dairy, livestock; fish |
| Industries: | mineral mining, construction materials, base metals, leather, machinery, appliances, foodstuffs and beverages, textiles |
| Labor force: | 800,000 |
| Labor force: | note: includes those estimated to be employed in the grey economy (2011 est.) |
| Labor force - by occupation: | agriculture: 23.6% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% (2010) |
| Unemployment rate: | 30.9% (2013 est.) |
| Unemployment rate: | 45% (1) |
| Unemployment rate: | note: Kosovo has a large informal sector that may not be reflected in these data |
| Population below poverty line: | 30% (2013 est.) |
| Distribution of family income - Gini index: | 30 (FY05/06) |
| Budget: | revenues: $1.916 billion |
| Budget: | expenditures: $2.048 billion (2013 est.) |
| Taxes and other revenues: | 26.8% of GDP (2013 est.) |
