| Economy | RUSSIA |
| --- | --- |
| Economy - overview: | Russia has undergone significant changes since the collapse of the Soviet Union, moving from a globally-isolated, centrally-planned economy towards a more market-based and globally-integrated economy, but stalling as a partially reformed, statist economy with a high concentration of wealth in officials' hands. Economic reforms in the 1990s privatized most industry, with notable exceptions in the energy and defense-related sectors. The protection of property rights is still weak and the private sector remains subject to heavy state interference. Russia is one of the world's leading producers of oil and natural gas, and is also a top exporter of metals such as steel and primary aluminum. Russia's manufacturing sector is generally uncompetitive on world markets and is geared toward domestic consumption. Russia's reliance on commodity exports makes it vulnerable to boom and bust cycles that follow the volatile swings in global prices. The economy, which had averaged 7% growth during 1998-2008 as oil prices rose rapidly, was one of the hardest hit by the 2008-09 global economic crisis as oil prices plummeted and the foreign credits that Russian banks and firms relied on dried up. In 2014, economic growth declined further when Russia forcibly violated Ukraine&rsquo;s sovereignty and territorial integrity, and interfered in Ukraine&rsquo;s internal affairs. In the second half of 2014, the Russian ruble lost about half of its value, contributing to increased capital outflows that reached $151.5 billion for the year; the ruble remains volatile. Declining oil prices, lack of economic reforms, and the imposition of foreign sanctions have contributed to the downturn and created wide expectations the economy will continue to slump. In April 2015, the Russian Ministry of Economic Development predicted that the Russia&rsquo;s economy will contract by 3% in 2015, and average only 2.5% growth through 2030. |
| GDP (purchasing power parity): | $3.565 trillion (2014 est.) |
| GDP (purchasing power parity): | $3.543 trillion (2013 est.) |
| GDP (purchasing power parity): | $3.497 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $1.857 trillion (2014 est.) |
| GDP - real growth rate: | 0.6% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - real growth rate: | 3.4% (2012 est.) |
| GDP - per capita (PPP): | $24,800 (2014 est.) |
| GDP - per capita (PPP): | $24,700 (2013 est.) |
| GDP - per capita (PPP): | $24,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 23% of GDP (2014 est.) |
| Gross national saving: | 23.3% of GDP (2013 est.) |
| Gross national saving: | 27.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 51.4% |
| GDP - composition, by end use: | government consumption: 19.7% |
| GDP - composition, by end use: | investment in fixed capital: 19.6% |
| GDP - composition, by end use: | investment in inventories: 2.2% |
| GDP - composition, by end use: | exports of goods and services: 29.7% |
| GDP - composition, by end use: | imports of goods and services: -22.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% |
| GDP - composition, by sector of origin: | industry: 36.3% |
| GDP - composition, by sector of origin: | services: 59.7% (2014 est.) |
| Agriculture - products: | grain, sugar beets, sunflower seeds, vegetables, fruits; beef, milk |
| Industries: | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries (including radar, missile production, advanced electronic components), shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| Industrial production growth rate: | 0.6% (2014 est.) |
| Labor force: | 75.25 million (2014 est.) |
| Labor force - by occupation: | agriculture: 9.7% |
| Labor force - by occupation: | industry: 27.8% |
| Labor force - by occupation: | services: 62.5% (2012) |
| Unemployment rate: | 5.1% (2014 est.) |
