| Economy | THAILAND |
| --- | --- |
| Economy - overview: | With a relatively well-developed infrastructure, a free-enterprise economy, and generally pro-investment policies, Thailand is highly dependent on international trade, with exports accounting for about two-thirds of GDP. Thailand’s exports include electronics, agricultural commodities, automobiles and parts, and processed foods. The industry and service sectors produce about 90% of GDP. The agricultural sector, comprised mostly of small-scale farms, contributes only 10% of GDP but employs about one-third of the labor force. Thailand has attracted an estimated 3.0-4.5 million migrant workers, mostly from neighboring countries. |
| Economy - overview: | Over the last few decades, Thailand has sustained strong growth and has reduced poverty substantially. In 2013, the Thai Government implemented a nationwide 300 baht (roughly $10) per day minimum wage policy and deployed new tax reforms designed to lower rates on middle-income earners. |
| Economy - overview: | Growth has slowed in the last few years, however, due to domestic political turmoil and sluggish global demand. Nevertheless, Thailand’s economic fundamentals are sound, with low inflation, low unemployment, and reasonable public and external debt levels. Tourism and government spending - mostly on infrastructure and short-term stimulus measures – have helped to boost the economy, and The Bank of Thailand has been supportive, with several interest rate reductions. |
| Economy - overview: | Over the longer-term, Thailand faces labor shortages, and domestic debt levels, political uncertainty, and an aging population pose risks to growth. |
| GDP (purchasing power parity): | $1.165 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.114 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.071 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $407.1 billion (2016 est.) |
| GDP - real growth rate: | 3.2% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - real growth rate: | 0.9% (2014 est.) |
| GDP - per capita (PPP): | $16,900 (2016 est.) |
| GDP - per capita (PPP): | $16,400 (2015 est.) |
| GDP - per capita (PPP): | $16,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 33.5% of GDP (2016 est.) |
| Gross national saving: | 30.3% of GDP (2015 est.) |
| Gross national saving: | 27.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 50.6% |
| GDP - composition, by end use: | government consumption: 17.1% |
| GDP - composition, by end use: | investment in fixed capital: 24.3% |
| GDP - composition, by end use: | investment in inventories: -6.8% |
| GDP - composition, by end use: | exports of goods and services: 68.9% |
| GDP - composition, by end use: | imports of goods and services: -54.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.3% |
| GDP - composition, by sector of origin: | industry: 35.8% |
| GDP - composition, by sector of origin: | services: 55.8% (2016 est.) |
| Agriculture - products: | rice, cassava (manioc, tapioca), rubber, corn, sugarcane, coconuts, palm oil, pineapple, livestock, fish products |
