| Economy | Singapore |
| --- | --- |
| Economy - overview: | Singapore has a highly developed and successful free-market economy. It enjoys a remarkably open and corruption-free environment, stable prices, and a per capita GDP higher than that of most developed countries. The economy depends heavily on exports, particularly in consumer electronics, information technology products, pharmaceuticals, and on a growing financial services sector. Real GDP growth averaged 8.6% between 2004 and 2007. The economy contracted 0.8% in 2009 as a result of the global financial crisis, but rebounded 14.8% in 2010, on the strength of renewed exports, before slowing to 5.2% in 2011 and 1.3% in 2012, largely a result of soft demand for exports during the second European recession. Over the longer term, the government hopes to establish a new growth path that focuses on raising productivity, which has sunk to an average of about 1.0% in the last decade. Singapore has attracted major investments in pharmaceuticals and medical technology production and will continue efforts to establish Singapore as Southeast Asia's financial and high-tech hub. |
| GDP (purchasing power parity): | $323 billion (2012 est.) |
| GDP (purchasing power parity): | $318.8 billion (2011 est.) |
| GDP (purchasing power parity): | $303.1 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $272.8 billion (2012 est.) |
| GDP - real growth rate: | 1.3% (2012 est.) |
| GDP - real growth rate: | 5.2% (2011 est.) |
| GDP - real growth rate: | 14.8% (2010 est.) |
| GDP - per capita (PPP): | $60,800 (2012 est.) |
| GDP - per capita (PPP): | $61,500 (2011 est.) |
| GDP - per capita (PPP): | $59,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 45.6% of GDP (2012 est.) |
| Gross national saving: | 46.8% of GDP (2011 est.) |
| Gross national saving: | 48.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 39.2% |
| GDP - composition, by end use: | government consumption: 9.7% |
| GDP - composition, by end use: | investment in fixed capital: 24.1% |
| GDP - composition, by end use: | investment in inventories: 2.9% |
| GDP - composition, by end use: | exports of goods and services: 200.7% |
| GDP - composition, by end use: | imports of goods and services: -178.5% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 0% |
| GDP - composition, by sector of origin: | industry: 26.8% |
| GDP - composition, by sector of origin: | services: 73.2% (2012 est.) |
| Agriculture - products: | orchids, vegetables; poultry, eggs; fish, ornamental fish |
| Industries: | electronics, chemicals, financial services, oil drilling equipment, petroleum refining, rubber processing and rubber products, processed food and beverages, ship repair, offshore platform construction, life sciences, entrepot trade |
| Industrial production growth rate: | 1.2% (2012 est.) |
| Labor force: | 3.362 million |
| Labor force: | note: excludes non-residents (2012 est.) |
| Labor force - by occupation: | agriculture: 0.1% |
| Labor force - by occupation: | industry: 19.6% |
| Labor force - by occupation: | services: 80.3% |
| Labor force - by occupation: | note: excludes non-residents (2011) |
| Unemployment rate: | 1.9% (2012 est.) |
| Unemployment rate: | 2% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 23.2% (2008) |
| Distribution of family income - Gini index: | 47.8 (2012) |
| Distribution of family income - Gini index: | 48.1 (2008) |
| Budget: | revenues: $43.44 billion |
| Budget: | expenditures: $37.83 billion |
| Budget: | note: expenditures include both operational and development expenditures (2012 est.) |
| Taxes and other revenues: | 15.9% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 2.1% of GDP (2012 est.) |
| Public debt: | 111.4% of GDP (2012 est.) |
| Public debt: | 106% of GDP (2011 est.) |
