| Economy | Singapore |
| --- | --- |
| Economy - overview: | Singapore has a highly developed and successful free-market economy. It enjoys an open and corruption-free environment, stable prices, and a per capita GDP higher than that of most developed countries. Unemployment is very low. The economy depends heavily on exports, particularly of electronics, petroleum products, chemicals, medical and optical devices, pharmaceuticals, and on Singaporeâ€™s vibrant transportation, business, and financial services sectors. |
| Economy - overview: | The economy contracted 0.6% in 2009 as a result of the global financial crisis, but has continued to grow since 2010. Growth from 2012-2017 was slower than during the previous decade, a result of slowing structural growth - as Singapore reached high-income levels - and soft global demand for exports. Growth recovered to 3.6% in 2017 with a strengthening global economy. |
| Economy - overview: | The government is attempting to restructure Singaporeâ€™s economy to reduce its dependence on foreign labor, raise productivity growth, and increase wages amid slowing labor force growth and an aging population. Singapore has attracted major investments in advanced manufacturing, pharmaceuticals, and medical technology production and will continue efforts to strengthen its position as Southeast Asia's leading financial and technology hub. Singapore is a signatory of the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP), and a party to the Regional Comprehensive Economic Partnership (RCEP) negotiations with nine other ASEAN members plus Australia, China, India, Japan, South Korea, and New Zealand. In 2015, Singapore formed, with the other ASEAN members, the ASEAN Economic Community. |
| GDP (purchasing power parity): | $528.1 billion (2017 est.) |
| GDP (purchasing power parity): | $509.7 billion (2016 est.) |
| GDP (purchasing power parity): | $497.8 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $323.9 billion (2017 est.) |
| GDP - real growth rate: | 3.6% (2017 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 2.2% (2015 est.) |
| GDP - per capita (PPP): | $94,100 (2017 est.) |
| GDP - per capita (PPP): | $90,900 (2016 est.) |
| GDP - per capita (PPP): | $89,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 46.5% of GDP (2017 est.) |
| Gross national saving: | 46% of GDP (2016 est.) |
| Gross national saving: | 45.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 35.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10.9% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 173.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -149.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 24.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 75.2% (2017 est.) |
| Agriculture - products: | vegetables; poultry, eggs; fish, ornamental fish, orchids |
| Industries: | electronics, chemicals, financial services, oil drilling equipment, petroleum refining, biomedical products, scientific instruments, telecommunication equipment, processed food and beverages, ship repair, offshore platform construction, entrepot trade |
| Industrial production growth rate: | 5.7% (2017 est.) |
| Labor force: | 3.657 million (2017 est.) |
| Labor force: | note: excludes non-residents |
| Labor force - by occupation: | agriculture: 0.7% |
| Labor force - by occupation: | industry: 25.6% |
| Labor force - by occupation: | services: 73.7% (2017) |
| Labor force - by occupation: | note: excludes non-residents |
| Unemployment rate: | 2.2% (2017 est.) |
| Unemployment rate: | 2.1% (2016 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: 1.6% |
| Household income or consumption by percentage share: | highest 10%: 27.5% (2017) |
| Distribution of family income - Gini index: | 45.9 (2017) |
