| Economy | BOTSWANA |
| --- | --- |
| Economy - overview: | Botswana has maintained one of the world's highest economic growth rates since independence in 1966. Diamond mining has fueled much of the expansion and currently accounts for one quarter of GDP, approximately 85% of export earnings, and about one-third of the government's revenues. Tourism is the secondary earner of foreign exchange and many Batswana engage in subsistence farming and cattle raising. Through fiscal discipline and sound management, Botswana transformed itself from one of the poorest countries in the world to a middle-income country with a per capita GDP of $17,700 in 2015. Two major investment services rank Botswana as the best credit risk in Africa. |
| Economy - overview: | Botswana's economy is highly correlated with global economic trends because of its heavy reliance on a single luxury export. According to official government statistics, unemployment is 19.5%, but unofficial estimates run much higher. De Beers, a major international diamond company, signed a 10-year deal with Botswana in 2012 and moved its rough stone sorting and trading division from London to Gaborone in 2013. The move was geared to support the development of Botswana's nascent downstream diamond industry. |
| Economy - overview: | Following the 2008 global recession Botswana’s economy recovered in 2010. However, the Government of Botswana estimates the economy grew by only 1% in 2015. This was primarily due to the downturn in the global diamond market; water and power shortages also played a role. In October 2015 President Ian KHAMA announced a stimulus plan to boost the economy through projects in agricultural production, construction, manufacturing, and tourism development. In 2016, Botswana entered its fourth year of drought, detrimental to Botswana’s small, but vital agriculture sector. |
| Economy - overview: | The prevalence of HIV/AIDS is second highest in the world and threatens the country's impressive economic gains. |
| GDP (purchasing power parity): | $34.84 billion (2015 est.) |
| GDP (purchasing power parity): | $34.96 billion (2014 est.) |
| GDP (purchasing power parity): | $33.88 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $12.86 billion (2015 est.) |
| GDP - real growth rate: | -0.3% (2015 est.) |
| GDP - real growth rate: | 3.2% (2014 est.) |
| GDP - real growth rate: | 9.9% (2013 est.) |
| GDP - per capita (PPP): | $16,400 (2015 est.) |
| GDP - per capita (PPP): | $16,600 (2014 est.) |
| GDP - per capita (PPP): | $16,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 38.9% of GDP (2015 est.) |
| Gross national saving: | 46.2% of GDP (2014 est.) |
| Gross national saving: | 42.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 47.2% |
| GDP - composition, by end use: | government consumption: 17.4% |
| GDP - composition, by end use: | investment in fixed capital: 29.5% |
