| Economy | ARGENTINA |
| Stock of broad money: | $138.6 billion (31 December 2014 est.) |
| Stock of domestic credit: | $182.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $183.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $34.24 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $43.58 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $63.91 billion (31 December 2013 est.) |
| Current account balance: | -$16.11 billion (2015 est.) |
| Current account balance: | -$7.441 billion (2014 est.) |
| Exports: | $56.76 billion (2015 est.) |
| Exports: | $68.41 billion (2014 est.) |
| Exports - commodities: | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| Exports - partners: | Brazil 17%, China 8.6%, US 5.9% (2015) |
| Imports: | $57.18 billion (2015 est.) |
| Imports: | $62.43 billion (2014 est.) |
| Imports - commodities: | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| Imports - partners: | Brazil 22.4%, US 16.3%, China 15.5%, Germany 5.1% (2015) |
| Reserves of foreign exchange and gold: | $25.52 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $31.4 billion (31 December 2014 est.) |
| Debt - external: | $136.1 billion (31 December 2015 est.) |
| Debt - external: | $140.4 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $94.19 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $82.22 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $37.03 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $36.15 billion (31 December 2014 est.) |
| Exchange rates: | Argentine pesos (ARS) per US dollar - |
| Exchange rates: | 9.2332 (2015 est.) |
| Exchange rates: | 8.0753 (2014 est.) |
| Exchange rates: | 8.0753 (2013 est.) |
| Exchange rates: | 4.54 (2012 est.) |
| Exchange rates: | 4.1101 (2011 est.) |
