| Economy | ARGENTINA |
| --- | --- |
| Economy - overview: | Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. |
| Economy - overview: | A severe depression, growing public and external indebtedness, and an unprecedented bank run culminated in 2001 in the most serious economic, social, and political crisis in the country's turbulent history. Interim President Adolfo RODRIGUEZ SAA declared a default - at the time the largest ever - on the government's foreign debt in December of that year, and abruptly resigned only a few days after taking office. His successor, Eduardo DUHALDE, announced an end to the peso's decade-long 1-to-1 peg to the US dollar in early 2002. The economy bottomed out that year, with real GDP 18% smaller than in 1998 and almost 60% of Argentines below the poverty line. Real GDP rebounded to grow by an average 8.5% annually over the subsequent six years, taking advantage of previously idled industrial capacity and labor, an audacious debt restructuring and reduced debt burden, excellent international financial conditions, and expansionary monetary and fiscal policies. Inflation also increased, however, during the administration of President Nestor KIRCHNER, which responded with price restraints on businesses, as well as export taxes and restraints, and beginning in 2007, with understating inflation data. |
| Economy - overview: | Cristina FERNANDEZ DE KIRCHNER succeeded her husband as president in late 2007, and the rapid economic growth of previous years began to slow sharply the following year as government policies held back exports and the world economy fell into recession. The economy in 2010 rebounded strongly from the 2009 recession, but has slowed since late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which have kept inflation in the double digits. |
| Economy - overview: | The government has taken multiple steps in recent years to deal with these problems. It expanded state intervention in the economy throughout 2012. In May 2012 the Congress approved the nationalization of the oil company YPF from Spain's Repsol. The government expanded formal and informal measures to restrict imports during the year, including a requirement for pre-registration and pre-approval of all imports. In July 2012, the government also further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. In October 2013, the government settled long standing international arbitral disputes dating to before and following the 2001 Argentine financial crisis. During 2014, the government continued its expansionary fiscal and monetary policies and foreign exchange and imports controls. Between 2011 and 2013, Central Bank foreign reserves had dropped $21.3 billion from a high of $52.7 billion. In July 2014, Argentina and China agreed on an $11 billion currency swap; the Argentine Central Bank has received the equivalent of $3.2 billion in Chinese yuan, which it counts as international reserves. |
| Economy - overview: | In 2014, the government also took some measures to mend ties with the international financial community, including engaging with the IMF to improve its economic data reporting, reaching a compensation agreement with Repsol for the expropriation of YPF, and agreeing to pay $9.7 billion in arrears to the Paris Club over five years, including $606 million owed to the US. In July 2014, Argentina made its first payment to Paris Club creditors. At the same time, the Argentine Government in July 2014 entered a technical default on its external debt after it failed to reach an agreement with holdout creditors in the US. The FERNANDEZ DE KIRCHNER government rejected repeated attempts by the court to encourage a negotiated solution with holdouts. Throughout much of 2015, negotiations to repay holdout creditors stalled. The government’s delay in reaching a settlement and the continuation of interventionist policies contributed to high inflation and a prolonged recession. |
| Economy - overview: | After being elected into office on December 10, President MACRI has taken significant steps to liberalize the Argentine economy. His administration lifted capital controls; floated the peso, negotiated debt payments with holdout bond creditors, and removed export controls on some commodities. |
| GDP (purchasing power parity): | $972 billion (2015 est.) |
| GDP (purchasing power parity): | $960.4 billion (2014 est.) |
| GDP (purchasing power parity): | $956.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $585.6 billion (2015 est.) |
| GDP - real growth rate: | 1.2% (2015 est.) |
| GDP - real growth rate: | 0.5% (2014 est.) |
| GDP - real growth rate: | 2.9% (2013 est.) |
| GDP - per capita (PPP): | $22,600 (2015 est.) |
| GDP - per capita (PPP): | $22,500 (2014 est.) |
| GDP - per capita (PPP): | $22,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.3% of GDP (2015 est.) |
| Gross national saving: | 17.1% of GDP (2014 est.) |
| Gross national saving: | 16.1% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 65.8% |
| GDP - composition, by end use: | government consumption: 18.2% |
| GDP - composition, by end use: | investment in fixed capital: 15.6% |
| GDP - composition, by end use: | investment in inventories: 1.1% |
| GDP - composition, by end use: | exports of goods and services: 11.1% |
| GDP - composition, by end use: | imports of goods and services: -11.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.9% |
| GDP - composition, by sector of origin: | industry: 29.3% |
| GDP - composition, by sector of origin: | services: 59.7% (2015 est.) |
| Agriculture - products: | sunflower seeds, lemons, soybeans, grapes, corn, tobacco, peanuts, tea, wheat; livestock |
| Industries: | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| Industrial production growth rate: | 1.1% |
| Industrial production growth rate: | note: based on private sector estimates (2015 est.) |
| Labor force: | 17.47 million |
| Labor force: | note: urban areas only (2015 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 72% (2009 est.) |
| Unemployment rate: | 7.6% (2015 est.) |
| Unemployment rate: | 7.3% (2014 est.) |
| Population below poverty line: | 30% |
| Population below poverty line: | note: data are based on private estimates (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 32.3% (2010 est.) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: $143.3 billion |
| Budget: | expenditures: $173.9 billion (2015 est.) |
| Taxes and other revenues: | 24.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2015 est.) |
| Public debt: | 50.1% of GDP (2015 est.) |
| Public debt: | 41% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 26.5% (2015 est.) |
| Inflation rate (consumer prices): | 38.1% (2014 est.) |
| Inflation rate (consumer prices): | note: data are derived from private estimates |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 24.92% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 24.01% (31 December 2014 est.) |
| Stock of narrow money: | $52.3 billion (31 December 2015 est.) |
| Stock of narrow money: | $62.88 billion (31 December 2014 est.) |
| Stock of broad money: | $150.3 billion (31 December 2015 est.) |
