| Economy | Argentina |
| --- | --- |
| Economy - overview: | Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. A severe depression, growing public and external indebtedness, and an unprecedented bank run culminated in 2001 in the most serious economic, social, and political crisis in the country's turbulent history. Interim President Adolfo RODRIGUEZ SAA declared a default - at the time the largest ever - on the government's foreign debt in December of that year, and abruptly resigned only a few days after taking office. His successor, Eduardo DUHALDE, announced an end to the peso's decade-long 1-to-1 peg to the US dollar in early 2002. The economy bottomed out that year, with real GDP 18% smaller than in 1998 and almost 60% of Argentines under the poverty line. Real GDP rebounded to grow by an average 8.5% annually over the subsequent six years, taking advantage of previously idled industrial capacity and labor, an audacious debt restructuring and reduced debt burden, excellent international financial conditions, and expansionary monetary and fiscal policies. Inflation also increased, however, during the administration of President Nestor KIRCHNER, which responded with price restraints on businesses, as well as export taxes and restraints, and beginning in 2007, with understating inflation data. Cristina FERNANDEZ DE KIRCHNER succeeded her husband as President in late 2007, and the rapid economic growth of previous years began to slow sharply the following year as government policies held back exports and the world economy fell into recession. The economy in 2010 rebounded strongly from the 2009 recession, but has slowed since late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which have kept inflation in the double digits. The government expanded state intervention in the economy throughout 2012. In May the Congress approved the nationalization of the oil company YPF from Spain's Repsol. The government expanded formal and informal measures to restrict imports during the year, including a requirement for pre-registration and pre-approval of all imports. In July the government also further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. |
| GDP (purchasing power parity): | $735.1 billion (2012 est.) |
| GDP (purchasing power parity): | $721.4 billion (2011 est.) |
| GDP (purchasing power parity): | $662.7 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $468.8 billion (2012 est.) |
| GDP - real growth rate: | 1.9% (2012 est.) |
| GDP - real growth rate: | 8.9% (2011 est.) |
| GDP - real growth rate: | 9.2% (2010 est.) |
| GDP - per capita (PPP): | $17,900 (2012 est.) |
| GDP - per capita (PPP): | $17,800 (2011 est.) |
| GDP - per capita (PPP): | $16,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 24% of GDP (2012 est.) |
| Gross national saving: | 25.6% of GDP (2011 est.) |
| Gross national saving: | 24.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 57.1% |
| GDP - composition, by end use: | government consumption: 16.6% |
| GDP - composition, by end use: | investment in fixed capital: 21.8% |
| GDP - composition, by end use: | investment in inventories: 2.2% |
| GDP - composition, by end use: | exports of goods and services: 19.7% |
| GDP - composition, by end use: | imports of goods and services: -17.4% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.1% |
| GDP - composition, by sector of origin: | industry: 30.5% |
| GDP - composition, by sector of origin: | services: 60.4% (2012 est.) |
| Agriculture - products: | sunflower seeds, lemons, soybeans, grapes, corn, tobacco, peanuts, tea, wheat; livestock |
| Industries: | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| Industrial production growth rate: | -0.4% |
| Industrial production growth rate: | note: based on private estimates (2012 est.) |
| Labor force: | 17.05 million |
| Labor force: | note: urban areas only (2012 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 72% (2009 est.) |
| Unemployment rate: | 7.2% (2012 est.) |
| Unemployment rate: | 7.2% (2011 est.) |
| Population below poverty line: | 30% |
| Population below poverty line: | note: data are based on private estimates (2010) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
