| Economy | LUXEMBOURG |
| --- | --- |
| Economy - overview: | This small, stable, high-income economy has historically featured solid growth, low inflation, and low unemployment. The industrial sector, initially dominated by steel, has become increasingly diversified to include chemicals, machinery and equipment, rubber, automotive components, and other products. The financial sector, which accounts for about 36% of GDP, is the leading sector in the economy. The economy depends on foreign and cross-border workers for about 39% of its labor force. |
| Economy - overview: | Luxembourg experienced uneven economic growth in the aftermath of the global economic crisis that began in late 2008. Luxembourg's GDP contracted 3.6% in 2009, rebounded in 2010-12, fell again in 2013-14, but recovered in 2015. Unemployment has remained below the EU average despite having increased from a historically low rate of 4% in the 2000s to 7.1% in 2014. |
| Economy - overview: | The country continues to enjoy an extraordinarily high standard of living - GDP per capita ranks among the highest in the world and is the highest in the euro zone. Luxembourg has one of the highest current account surpluses as a share of GDP in the euro zone, and it maintains a healthy budgetary position and the lowest public debt level in the region. |
| Economy - overview: | Luxembourg has lost some of its advantage as a favorable tax location because of OECD and EU pressure. In 2015, the government’s compliance with EU requirements to implement automatic exchange of tax information on savings accounts - thus ending banking secrecy - has depressed banking activity and dampened GDP growth. Likewise, changes to the way EU members collect taxes from e-commerce has cut Luxembourg’s tax revenues, requiring the government to raise additional levies and to reduce some direct social benefits. |
| GDP (purchasing power parity): | $55.73 billion (2015 est.) |
| GDP (purchasing power parity): | $53.32 billion (2014 est.) |
| GDP (purchasing power parity): | $51.23 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $57.42 billion (2015 est.) |
| GDP - real growth rate: | 4.5% (2015 est.) |
| GDP - real growth rate: | 4.1% (2014 est.) |
| GDP - real growth rate: | 4.3% (2013 est.) |
| GDP - per capita (PPP): | $99,000 (2015 est.) |
| GDP - per capita (PPP): | $96,900 (2014 est.) |
| GDP - per capita (PPP): | $95,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 23.3% of GDP (2015 est.) |
| Gross national saving: | 24.8% of GDP (2014 est.) |
| Gross national saving: | 24% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 29.4% |
| GDP - composition, by end use: | government consumption: 16.6% |
| GDP - composition, by end use: | investment in fixed capital: 17.6% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 213.9% |
| GDP - composition, by end use: | imports of goods and services: -177.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.2% |
| GDP - composition, by sector of origin: | industry: 11.3% |
| GDP - composition, by sector of origin: | services: 88.5% (2015 est.) |
| Agriculture - products: | grapes, barley, oats, potatoes, wheat, fruits; dairy and livestock products |
| Industries: | banking and financial services, construction, real estate services, iron, metals, and steel, information technology, telecommunications, cargo transportation and logistics, chemicals, engineering, tires, glass, aluminum, tourism, biotechnology |
| Industrial production growth rate: | 1.1% (2015 est.) |
| Labor force: | 260,700 |
| Labor force: | note: data exclude foreign workers; in addition to the figure for domestic labor force, about 150,000 workers commute daily from France, Belgium, and Germany (2015 est.) |
| Labor force - by occupation: | agriculture: 1.1% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78.9% (2013 est.) |
| Unemployment rate: | 6.9% (2015 est.) |
| Unemployment rate: | 7.1% (2014 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2000) |
| Distribution of family income - Gini index: | 30.4 (2013 est.) |
| Distribution of family income - Gini index: | 26 (2005 est.) |
| Budget: | revenues: $24.74 billion |
| Budget: | expenditures: $24.02 billion (2015 est.) |
| Taxes and other revenues: | 43.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 1.3% of GDP (2015 est.) |
| Public debt: | 21.4% of GDP (2015 est.) |
| Public debt: | 22.9% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Inflation rate (consumer prices): | 0.7% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Stock of narrow money: | $218.4 billion (31 December 2015 est.) |
| Stock of narrow money: | $209.1 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the EU for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $268.6 billion (31 December 2015 est.) |
| Stock of broad money: | $275 billion (31 December 2014 est.) |
| Stock of domestic credit: | $108.5 billion (31 December 2015 est.) |
| Stock of domestic credit: | $115.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $70.34 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $67.63 billion (31 December 2014 est.) |
