| Economy | Luxembourg |
| --- | --- |
| Economy - overview: | This small, stable, high-income economy - benefiting from its proximity to France, Belgium, and Germany - has historically featured solid growth, low inflation, and low unemployment. The industrial sector, initially dominated by steel, has become increasingly diversified to include chemicals, rubber, automobile components, and other products. Growth in the financial sector, which now accounts for about 36% of GDP, has more than compensated for the decline in steel. Most banks are foreign-owned and have extensive foreign dealings, but Luxembourg has lost some of its advantages as a favorable tax location because of OECD and EU pressure. The economy depends on foreign and cross-border workers for about 40% of its labor force. Luxembourg, like all EU members, suffered from the global economic crisis that began in late 2008, but unemployment has trended below the EU average. Following strong expansion from 2004 to 2007, Luxembourg's economy contracted 3.6% in 2009, but rebounded in 2010-11 before slowing again in 2012. The country continues to enjoy an extraordinarily high standard of living - GDP per capita ranks among the highest in the world, and is the highest in the euro zone. Turmoil in the world financial markets and lower global demand during 2008-09 prompted the government to inject capital into the banking sector and implement stimulus measures to boost the economy. Government stimulus measures and support for the banking sector, however, led to a 5% government budget deficit in 2009. Nevertheless, the deficit was cut to 1.1% in 2011 and 0.9% in 2012. Even during the financial crisis and recovery, Luxembourg retained the highest current account surplus as a share of GDP in the euro zone, owing largely to their strength in financial services. Public debt remains among the lowest of the region although it has more than doubled since 2007 as percentage of GDP. Luxembourg's economy, while stabile, grew slowly in 2012 due to ongoing weak growth in the euro area. Authorities have strengthened supervision of domestic banks because of their exposure to the activities of foreign banks. |
| GDP (purchasing power parity): | $42.67 billion (2013 est.) |
| GDP (purchasing power parity): | $42.44 billion (2012 est.) |
| GDP (purchasing power parity): | $42.3 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $60.54 billion (2013 est.) |
| GDP - real growth rate: | 0.5% (2013 est.) |
| GDP - real growth rate: | 0.3% (2012 est.) |
| GDP - real growth rate: | 1.7% (2011 est.) |
| GDP - per capita (PPP): | $77,900 (2013 est.) |
| GDP - per capita (PPP): | $79,000 (2012 est.) |
| GDP - per capita (PPP): | $81,400 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| GDP - composition, by end use: | household consumption: 32.3% |
| GDP - composition, by end use: | government consumption: 17.5% |
| GDP - composition, by end use: | investment in fixed capital: 22.2% |
| GDP - composition, by end use: | investment in inventories: -2.4% |
| GDP - composition, by end use: | exports of goods and services: 170.5% |
| GDP - composition, by end use: | imports of goods and services: -140.1% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% |
| GDP - composition, by sector of origin: | industry: 13.3% |
| GDP - composition, by sector of origin: | services: 86.4% (2013 est.) |
| Agriculture - products: | grapes, barley, oats, potatoes, wheat, fruits; dairy and livestock products |
| Industries: | banking and financial services, iron and steel, information technology, telecommunications, cargo transportation, food processing, chemicals, metal products, engineering, tires, glass, aluminum, tourism, biotechnology, logistics |
| Industrial production growth rate: | -1% (2013 est.) |
| Labor force: | 208,800 |
| Labor force: | note: data exclude foreign workers; in addition to the figure for domestic labor force, about 150,000 workers commute daily from France, Belgium, and Germany (2013 est.) |
| Labor force - by occupation: | agriculture: 1.2% |
| Labor force - by occupation: | industry: 19.4% |
| Labor force - by occupation: | services: 79.4% (2012 est.) |
| Unemployment rate: | 4.9% (2013 est.) |
| Unemployment rate: | 6.1% (2012 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2000) |
| Distribution of family income - Gini index: | 26 (2005) |
| Budget: | revenues: $23.91 billion |
| Budget: | expenditures: $24.94 billion (2013 est.) |
| Taxes and other revenues: | 39.5% of GDP (2013 est.) |
