| Economy | Luxembourg |
| --- | --- |
| Economy - overview: | This small, stable, high-income economy has historically featured solid growth, low inflation, and low unemployment. Luxembourg, the only Grand Duchy in the world, is a landlocked country in northwestern Europe surrounded by Belgium, France, and Germany. Despite its small landmass and small population, Luxembourg is the fifth-wealthiest country in the world when measured on a gross domestic product (PPP) per capita basis. Luxembourg has one of the highest current account surpluses as a share of GDP in the euro zone, and it maintains a healthy budgetary position, with a 2017 surplus of 0.5% of GDP, and the lowest public debt level in the region. |
| Economy - overview: | Since 2002, Luxembourgâ€™s government has proactively implemented policies and programs to support economic diversification and to attract foreign direct investment. The government focused on key innovative industries that showed promise for supporting economic growth: logistics, information and communications technology (ICT); health technologies, including biotechnology and biomedical research; clean energy technologies, and more recently, space technology and financial services technologies. The economy has evolved and flourished, posting strong GDP growth of 3.4% in 2017, far outpacing the European average of 1.8%. |
| Economy - overview: | Luxembourg remains a financial powerhouse â€“ the financial sector accounts for more than 35% of GDP - because of the exponential growth of the investment fund sector through the launch and development of cross-border funds (UCITS) in the 1990s. Luxembourg is the worldâ€™s second-largest investment fund asset domicile, after the US, with $4 trillion of assets in custody in financial institutions. |
| Economy - overview: | Luxembourg has lost some of its advantage as a favorable tax location because of OECD and EU pressure, as well as the "LuxLeaks" scandal, which revealed advantageous tax treatments offered to foreign corporations. In 2015, the governmentâ€™s compliance with EU requirements to implement automatic exchange of tax information on savings accounts - thus ending banking secrecy - has constricted banking activity. Likewise, changes to the way EU members collect taxes from e-commerce has cut Luxembourgâ€™s sales tax revenues, requiring the government to raise additional levies and to reduce some direct social benefits as part of the tax reform package of 2017. The tax reform package also included reductions in the corporate tax rate and increases in deductions for families, both intended to increase purchasing power and increase competitiveness. |
| GDP (purchasing power parity): | $62.11 billion (2017 est.) |
| GDP (purchasing power parity): | $60.71 billion (2016 est.) |
| GDP (purchasing power parity): | $58.9 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $62.53 billion (2017 est.) |
| GDP - real growth rate: | 2.3% (2017 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
