| Economy | Luxembourg |
| --- | --- |
| Economy - overview: | This small, stable, high-income economy - benefiting from its proximity to France, Belgium, and Germany - has historically featured solid growth, low inflation, and low unemployment. The industrial sector, initially dominated by steel, has become increasingly diversified to include chemicals, rubber, and other products. Growth in the financial sector, which now accounts for about 27% of GDP, has more than compensated for the decline in steel. Most banks are foreign-owned and have extensive foreign dealings, but Luxembourg has lost some of its advantages as a favorable tax location because of OECD and EU pressure. The economy depends on foreign and cross-border workers for about 40% of its labor force. Luxembourg, like all EU members, suffered from the global economic crisis that began in late 2008, but unemployment has trended below the EU average. Following strong expansion from 2004 to 2007, Luxembourg's economy contracted 3.6% in 2009, but rebounded in 2010-11 before slowing again in 2012. The country continues to enjoy an extraordinarily high standard of living - GDP per capita ranks among the highest in the world, and is the highest in the euro zone. Turmoil in the world financial markets and lower global demand during 2008-09 prompted the government to inject capital into the banking sector and implement stimulus measures to boost the economy. Government stimulus measures and support for the banking sector, however, led to a 5% government budget deficit in 2009. Nevertheless, the deficit was cut to 1.1% in 2011 and 0.9% in 2012. Even during the financial crisis and recovery, Luxembourg retained the highest current account surplus as a share of GDP in the euro zone, owing largely to their strength in financial services. Public debt remains among the lowest of the region although it has more than doubled since 2007 as percentage of GDP. Luxembourg's economy, while stabile, grew slowly in 2012 due to ongoing weak growth in the euro area. Authorities have strengthened supervision of domestic banks because of their exposure to the activities of foreign banks. |
| GDP (purchasing power parity): | $41.86 billion (2012 est.) |
| GDP (purchasing power parity): | $41.72 billion (2011 est.) |
| GDP (purchasing power parity): | $41.04 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $56.37 billion (2012 est.) |
| GDP - real growth rate: | 0.3% (2012 est.) |
| GDP - real growth rate: | 1.7% (2011 est.) |
| GDP - real growth rate: | 2.9% (2010 est.) |
| GDP - per capita (PPP): | $78,000 (2012 est.) |
| GDP - per capita (PPP): | $80,300 (2011 est.) |
| GDP - per capita (PPP): | $80,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition, by end use: | household consumption: 31.2% |
| GDP - composition, by end use: | government consumption: 16.9% |
| GDP - composition, by end use: | investment in fixed capital: 21.6% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 171% |
| GDP - composition, by end use: | imports of goods and services: -142.1% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% |
| GDP - composition, by sector of origin: | industry: 13.5% |
| GDP - composition, by sector of origin: | services: 86.1% (2012 est.) |
| Agriculture - products: | grapes, barley, oats, potatoes, wheat, fruits; dairy and livestock products |
| Industries: | banking and financial services, iron and steel, information technology, telecommunications, cargo transportation, food processing, chemicals, metal products, engineering, tires, glass, aluminum, tourism |
| Industrial production growth rate: | -2.9% (2012 est.) |
| Labor force: | 208,200 |
| Labor force: | note: data exclude foreign workers; in addition to the figure for domestic labor force, about 150,000 workers commute daily from France, Belgium, and Germany (2012 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 17.2% |
| Labor force - by occupation: | services: 80.6% (2007 est.) |
| Unemployment rate: | 6.1% (2012 est.) |
| Unemployment rate: | 5.6% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2000) |
| Distribution of family income - Gini index: | 26 (2005) |
| Budget: | revenues: $24.07 billion |
| Budget: | expenditures: $24.53 billion (2012 est.) |
| Taxes and other revenues: | 42.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -0.8% of GDP (2012 est.) |
| Public debt: | 20.8% of GDP (2012 est.) |
| Public debt: | 18.3% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.7% (2012 est.) |
| Inflation rate (consumer prices): | 3.4% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Stock of narrow money: | $89.87 billion (31 December 2012 est.) |
| Stock of narrow money: | $90.21 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $229.9 billion (31 December 2012 est.) |
| Stock of domestic credit: | $97.39 billion (31 December 2012 est.) |
| Stock of domestic credit: | $95.08 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $67.63 billion (31 December 2011) |
| Market value of publicly traded shares: | $101.1 billion (31 December 2010) |
| Market value of publicly traded shares: | $105.6 billion (31 December 2009) |
| Current account balance: | $3.272 billion (2012 est.) |
| Current account balance: | $4.199 billion (2011 est.) |
| Exports: | $15.93 billion (2012 est.) |
| Exports: | $18.81 billion (2011 est.) |
| Exports - commodities: | machinery and equipment, steel products, chemicals, rubber products, glass |
| Exports - partners: | Germany 21.5%, France 15.5%, Belgium 14.5%, UK 5.8%, Italy 5.6%, Switzerland 4.7% (2012) |
| Imports: | $23.78 billion (2012 est.) |
