| Economy | KYRGYZSTAN |
| --- | --- |
| Economy - overview: | Kyrgyzstan is a landlocked, mountainous, lower middle income country with an economy dominated by minerals extraction, agriculture, and reliance on remittances from citizens working abroad. Cotton, wool, and meat are the main agricultural products, although only cotton is exported in any quantity. Other exports include gold, mercury, uranium, natural gas, and - in some years - electricity. The country has sought to attract foreign investment to expand its export base, including construction of hydroelectric dams, but a difficult investment climate and an ongoing legal battle with a Canadian firm over the joint ownership structure of the nation’s largest gold mine deter potential investors. Remittances from Kyrgyz migrant workers, predominantly in Russia and Kazakhstan, are equivalent to over one-quarter of Kyrgyzstan’s GDP. |
| Economy - overview: | Following independence, Kyrgyzstan rapidly implemented market reforms, such as improving the regulatory system and instituting land reform. In 1998, Kyrgyzstan was the first Commonwealth of Independent States country to be accepted into the World Trade Organization. The government has privatized much of its ownership shares in public enterprises. Despite these reforms, the country suffered a severe drop in production in the early 1990s and has again faced slow growth in recent years as the global financial crisis, declining oil prices, and regional economic headwinds have damaged economies across Central Asia. The Kyrgyz government remains dependent on foreign donor support to finance its annual budget deficit of approximately 4 to 5% of GDP. |
| Economy - overview: | Kyrgyz leaders hope the country’s August 2015 accession to the Eurasian Economic Union (EAEU) will bolster trade and investment, but slowing economies in Russia and China and low commodity prices continue to hamper economic growth. While joining the EAEU has increased Kyrgyz labor mobility within member states, large-scale trade and investment pledged by Kyrgyz leaders has been slow in developing since accession. Kyrgyz entrepreneurs and politicians alike often contend that non-tariff measures imposed by other EAEU member states, particularly Kazakhstan, are negatively impacting sectors of the Kyrgyz economy that enjoy a comparative advantage, such as meat and dairy production. Since acceding to the EAEU, the Kyrgyz Republic has continued harmonizing its laws and regulations to conform to EAEU standards, though many local entrepreneurs have criticized this process as disjointed and incomplete. The keys to future growth include progress in fighting corruption, improving administrative transparency, restructuring and diversifying domestic industries, and attracting foreign aid and investment. |
| GDP (purchasing power parity): | $21.5 billion (2016 est.) |
| GDP (purchasing power parity): | $20.46 billion (2015 est.) |
| GDP (purchasing power parity): | $19.56 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $6.551 billion (2016 est.) |
| GDP - real growth rate: | 3.8% (2016 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - per capita (PPP): | $3,500 (2016 est.) |
| GDP - per capita (PPP): | $3,400 (2015 est.) |
| GDP - per capita (PPP): | $3,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 23.8% of GDP (2016 est.) |
| Gross national saving: | 18.3% of GDP (2015 est.) |
| Gross national saving: | 20.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 81.5% |
| GDP - composition, by end use: | government consumption: 18.2% |
| GDP - composition, by end use: | investment in fixed capital: 31% |
| GDP - composition, by end use: | investment in inventories: 3.5% |
| GDP - composition, by end use: | exports of goods and services: 35.4% |
| GDP - composition, by end use: | imports of goods and services: -69.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.9% |
| GDP - composition, by sector of origin: | industry: 29.2% |
| GDP - composition, by sector of origin: | services: 55.9% (2016 est.) |
| Agriculture - products: | cotton, potatoes, vegetables, grapes, fruits and berries; sheep, goats, cattle, wool |
| Industries: | small machinery, textiles, food processing, cement, shoes, lumber, refrigerators, furniture, electric motors, gold, rare earth metals |
| Industrial production growth rate: | 5.9% (2016 est.) |
