| Economy | Kyrgyzstan |
| --- | --- |
| Economy - overview: | Kyrgyzstan is a poor, mountainous country with a dominant agricultural sector. Cotton, tobacco, wool, and meat are the main agricultural products, although only tobacco and cotton are exported in any quantity. Industrial exports include gold, mercury, uranium, natural gas, and electricity. The economy depends heavily on gold exports - mainly from output at the Kumtor gold mine - and on remittances from Kyrgyzstani migrant workers primarily in Russia. Following independence, Kyrgyzstan was progressive in carrying out market reforms, such as an improved regulatory system and land reform. Kyrgyzstan was the first Commonwealth of Independent States (CIS) country to be accepted into the World Trade Organization. Much of the government's stock in enterprises has been sold. Drops in production had been severe after the breakup of the Soviet Union in December 1991, but by mid-1995, production began to recover and exports began to increase. The overthrow of President BAKIEV in April 2010 and subsequent ethnic clashes left hundreds dead and damaged infrastructure. Under President ATAMBAYEV, Kyrgyzstan has developed a plan for economic development in coordination with international donors, and has also expressed its intent to join the Customs Union of Russia, Belarus, and Kazakhstan. Progress in fighting corruption, improving transparency in licensing, business permits and taxations, restructuring domestic industry, and attracting foreign aid and investment are key to future growth. |
| GDP (purchasing power parity): | $14.3 billion (2013 est.) |
| GDP (purchasing power parity): | $13.32 billion (2012 est.) |
| GDP (purchasing power parity): | $13.44 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $7.234 billion (2013 est.) |
| GDP - real growth rate: | 7.4% (2013 est.) |
| GDP - real growth rate: | -0.9% (2012 est.) |
| GDP - real growth rate: | 6% (2011 est.) |
| GDP - per capita (PPP): | $2,500 (2013 est.) |
| GDP - per capita (PPP): | $2,400 (2012 est.) |
| GDP - per capita (PPP): | $2,400 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 9.1% of GDP (2013 est.) |
| Gross national saving: | 2.4% of GDP (2012 est.) |
| Gross national saving: | 15% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 78.1% |
| GDP - composition, by end use: | government consumption: 17.6% |
| GDP - composition, by end use: | investment in fixed capital: 25.3% |
| GDP - composition, by end use: | investment in inventories: 8% |
| GDP - composition, by end use: | exports of goods and services: 51.2% |
| GDP - composition, by end use: | imports of goods and services: -80.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.8% |
| GDP - composition, by sector of origin: | industry: 34.4% |
| GDP - composition, by sector of origin: | services: 44.8% (2013 est.) |
| Agriculture - products: | tobacco, cotton, potatoes, vegetables, grapes, fruits and berries; sheep, goats, cattle, wool |
| Industries: | small machinery, textiles, food processing, cement, shoes, sawn logs, refrigerators, furniture, electric motors, gold, rare earth metals |
| Industrial production growth rate: | 12% (2013 est.) |
| Labor force: | 2.344 million (2007) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 12.5% |
| Labor force - by occupation: | services: 39.5% (2005 est.) |
| Unemployment rate: | 8.6% (2011 est.) |
| Unemployment rate: | 18% (2004 est.) |
| Population below poverty line: | 33.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 27.8% (2009 est.) |
| Distribution of family income - Gini index: | 33.4 (2007) |
| Distribution of family income - Gini index: | 29 (2001) |
| Budget: | revenues: $2.128 billion |
| Budget: | expenditures: $2.458 billion (2013 est.) |
| Taxes and other revenues: | 29.4% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4.6% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.8% (2013 est.) |
| Inflation rate (consumer prices): | 2.7% (2012 est.) |
| Central bank discount rate: | 13.73% (22 December 2011 est.) |
| Central bank discount rate: | 2.5% (31 December 2010 est.) |
