| Economy | Kyrgyzstan |
| --- | --- |
| Economy - overview: | Kyrgyzstan is a poor, mountainous country with a dominant agricultural sector. Cotton, tobacco, wool, and meat are the main agricultural products, although only tobacco and cotton are exported in any quantity. Industrial exports include gold, mercury, uranium, natural gas, and electricity. The economy depends heavily on gold exports - mainly from output at the Kumtor gold mine - and on remittances from Kyrgyzstani migrant workers primarily in Russia. Following independence, Kyrgyzstan was progressive in carrying out market reforms, such as an improved regulatory system and land reform. Kyrgyzstan was the first Commonwealth of Independent States (CIS) country to be accepted into the World Trade Organization. Much of the government's stock in enterprises has been sold. Drops in production had been severe after the breakup of the Soviet Union in December 1991, but by mid-1995, production began to recover and exports began to increase. In 2005, the BAKIEV government and international financial institutions initiated a comprehensive medium-term poverty reduction and economic growth strategy. The government made steady strides in controlling its substantial fiscal deficit, nearly closing the gap between revenues and expenditures in 2006, before boosting expenditures more than 20% in 2007-08. GDP grew about 8% annually in 2007-08, partly due to higher gold prices internationally, but slowed to 2.9% in 2009. The overthrow of President BAKIEV in April 2010 and subsequent ethnic clashes left hundreds dead and damaged infrastructure. Shrinking trade and agricultural production, as well as the political instability caused by the change in government, caused GDP to contract 0.5% in 2010. The fiscal deficit widened to 11% of GDP in 2010, reflecting significant increases in crisis-related spending, including both rehabilitation of damaged infrastructure and bank recapitalization. The economy grew 5.7% in 2011, but slowed to around 1% in 2012, primarily due to an 83% decrease in production from Kumtor. As a result, the budget deficit increased at year's end. Progress in fighting corruption, improving transparency in licensing, business permits and taxations, restructuring domestic industry, and attracting foreign aid and investment are key to future growth. |
| GDP (purchasing power parity): | $13.14 billion (2012 est.) |
| GDP (purchasing power parity): | $13.26 billion (2011 est.) |
| GDP (purchasing power parity): | $12.51 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $6.385 billion (2012 est.) |
| GDP - real growth rate: | -0.9% (2012 est.) |
| GDP - real growth rate: | 6% (2011 est.) |
| GDP - real growth rate: | -0.5% (2010 est.) |
| GDP - per capita (PPP): | $2,400 (2012 est.) |
| GDP - per capita (PPP): | $2,400 (2011 est.) |
| GDP - per capita (PPP): | $2,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 2.4% of GDP (2012 est.) |
| Gross national saving: | 15% of GDP (2011 est.) |
| Gross national saving: | 19.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 88% |
| GDP - composition, by end use: | government consumption: 17.6% |
| GDP - composition, by end use: | investment in fixed capital: 25.5% |
| GDP - composition, by end use: | investment in inventories: -0.2% |
| GDP - composition, by end use: | exports of goods and services: 53.6% |
| GDP - composition, by end use: | imports of goods and services: -84.4% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.3% |
| GDP - composition, by sector of origin: | industry: 32.6% |
| GDP - composition, by sector of origin: | services: 46.1% (2012 est.) |
| Agriculture - products: | tobacco, cotton, potatoes, vegetables, grapes, fruits and berries; sheep, goats, cattle, wool |
| Industries: | small machinery, textiles, food processing, cement, shoes, sawn logs, refrigerators, furniture, electric motors, gold, rare earth metals |
| Industrial production growth rate: | 11.9% (2012 est.) |
| Labor force: | 2.344 million (2007) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 12.5% |
| Labor force - by occupation: | services: 39.5% (2005 est.) |
| Unemployment rate: | 8.6% (2011 est.) |
| Unemployment rate: | 18% (2004 est.) |
| Population below poverty line: | 33.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 27.8% (2009 est.) |
| Distribution of family income - Gini index: | 33.4 (2007) |
| Distribution of family income - Gini index: | 29 (2001) |
| Budget: | revenues: $1.9 billion |
| Budget: | expenditures: $2.281 billion (2012 est.) |
| Taxes and other revenues: | 29.8% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -6% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.7% (2012 est.) |
| Inflation rate (consumer prices): | 16.5% (2011 est.) |
| Central bank discount rate: | 13.73% (22 December 2011 est.) |
| Central bank discount rate: | 2.5% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 28.43% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 34.07% (31 December 2011 est.) |
| Stock of narrow money: | $1.372 billion (31 December 2012 est.) |
| Stock of narrow money: | $1.151 billion (31 December 2011 est.) |
| Stock of broad money: | $1.952 billion (31 December 2012 est.) |
| Stock of broad money: | $1.654 billion (31 December 2011 est.) |
| Stock of domestic credit: | $932.5 million (31 December 2012 est.) |
| Stock of domestic credit: | $761.6 million (31 December 2011 est.) |
