| Economy | Sri Lanka |
| --- | --- |
| Economy - overview: | Sri Lanka is attempting to sustain economic growth while maintaining macroeconomic stability under the IMF program it began in 2016. The government's high debt payments and bloated civil service, which have contributed to historically high budget deficits, remain a concern. Government debt is about 79% of GDP and remains among the highest of the emerging markets. In the coming years, Sri Lanka will need to balance its elevated debt repayment schedule with its need to maintain adequate foreign exchange reserves. |
| Economy - overview: | In May 2016, Sri Lanka regained its preferential trade status under the European Unionâ€™s Generalized System of Preferences Plus, enabling many of its firms to export products, including its top export garments, tax free to the EU. In 2017, Parliament passed a new Inland Revenue Act in an effort to increase tax collection and broaden the tax base in response to recommendations made under its IMF program. In November 2017, the Financial Action Task Force on money laundering and terrorist financing listed Sri Lanka as non-compliant, but reported subsequently that Sri Lanka had made good progress in implementing an action plan to address deficiencies. |
| Economy - overview: | Tourism has experienced strong growth in the years since the resolution of the government's 26-year conflict with the Liberation Tigers of Tamil Eelam. In 2017, the government promulgated plans to transform the country into a knowledge-based, export-oriented Indian Ocean hub by 2025. |
| GDP (purchasing power parity): | $275.8 billion (2017 est.) |
| GDP (purchasing power parity): | $267 billion (2016 est.) |
| GDP (purchasing power parity): | $255.6 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $87.35 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.3% (2017 est.) |
| GDP - real growth rate: | 4.5% (2016 est.) |
| GDP - real growth rate: | 5% (2015 est.) |
| GDP - per capita (PPP): | $12,900 (2017 est.) |
| GDP - per capita (PPP): | $12,600 (2016 est.) |
| GDP - per capita (PPP): | $12,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 33.8% of GDP (2017 est.) |
| Gross national saving: | 32.8% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 62% (2017 est.) |
| GDP - composition, by end use: | government consumption: 8.5% (2017 est.) |
