| Economy | MALI |
| --- | --- |
| Economy - overview: | Among the 25 poorest countries in the world, landlocked Mali depends on gold mining and agricultural exports for revenue. The country's fiscal status fluctuates with gold and agricultural commodity prices and the harvest; cotton and gold exports make up around 80% of export earnings. Mali remains dependent on foreign aid. |
| Economy - overview: | Economic activity is largely confined to the riverine area irrigated by the Niger River; about 65% of Mali’s land area is desert or semidesert. About 10% of the population is nomadic and about 80% of the labor force is engaged in farming and fishing. Industrial activity is concentrated on processing farm commodities. The government subsidizes the production of cereals to decrease the country’s dependence on imported foodstuffs and to reduce its vulnerability to food price shocks. |
| Economy - overview: | Mali is developing its iron ore extraction industry to diversify foreign exchange earnings away from gold, but the pace will depend on global price trends. Although the political coup in 2012 slowed Mali’s growth, the economy has since bounced back, with GDP growth above 5% in 2014-16, although physical insecurity, high population growth, corruption, weak infrastructure, and low levels of human capital continue to constrain economic development. Higher rainfall should help boost cotton output in 2017, and the country’s 2017 budget calls for a more than 10% increase in spending, much of which will be devoted to infrastructure and agriculture. However, strong downside risks exist in the form of renewed political turmoil. Corruption is endemic. |
| GDP (purchasing power parity): | $38.25 billion (2016 est.) |
| GDP (purchasing power parity): | $35.7 billion (2015 est.) |
| GDP (purchasing power parity): | $33.33 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $14.04 billion (2016 est.) |
| GDP - real growth rate: | 5.8% (2016 est.) |
| GDP - real growth rate: | 6% (2015 est.) |
| GDP - real growth rate: | 7% (2014 est.) |
| GDP - per capita (PPP): | $2,100 (2016 est.) |
| GDP - per capita (PPP): | $2,000 (2015 est.) |
| GDP - per capita (PPP): | $2,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 10.3% of GDP (2016 est.) |
| Gross national saving: | 12.1% of GDP (2015 est.) |
| Gross national saving: | 12.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 72.6% |
| GDP - composition, by end use: | government consumption: 16.5% |
| GDP - composition, by end use: | investment in fixed capital: 17.1% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 20.4% |
| GDP - composition, by end use: | imports of goods and services: -27% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 40.7% |
| GDP - composition, by sector of origin: | industry: 19% |
| GDP - composition, by sector of origin: | services: 40.2% (2016 est.) |
| Agriculture - products: | cotton, millet, rice, corn, vegetables, peanuts; cattle, sheep, goats |
| Industries: | food processing; construction; phosphate and gold mining |
| Industrial production growth rate: | 1.9% (2016 est.) |
| Labor force: | 6.272 million (2016 est.) |
