| Economy | Mongolia |
| --- | --- |
| Economy - overview: | Mongolia's extensive mineral deposits and attendant growth in mining-sector activities have transformed Mongolia's economy, which traditionally has been dependent on herding and agriculture. Mongolia's copper, gold, coal, molybdenum, fluorspar, uranium, tin, and tungsten deposits, among others, have attracted foreign direct investment. Soviet assistance, at its height one-third of GDP, disappeared almost overnight in 1990 and 1991 at the time of the dismantlement of the USSR. The following decade saw Mongolia endure both deep recession, because of political inaction and natural disasters, as well as economic growth, because of reform-embracing, free-market economics and extensive privatization of the formerly state-run economy. The country opened a fledgling stock exchange in 1991. Mongolia joined the World Trade Organization in 1997 and seeks to expand its participation in regional economic and trade regimes. Growth averaged nearly 9% per year in 2004-08 largely because of high copper prices globally and new gold production. By late 2008, Mongolia was hit hard by the global financial crisis. Slower global economic growth hurt the country's exports, notably copper, and slashed government revenues. As a result, Mongolia's real economy contracted 1.3% in 2009. In early 2009, the International Monetary Fund reached a $236 million Stand-by Arrangement with Mongolia and the country has largely emerged from the crisis with better regulations and closer supervision. The banking sector strengthened but weaknesses remain. In October 2009, Mongolia passed long-awaited legislation on an investment agreement to develop the Oyu Tolgoi mine, considered to be among the world's largest untapped copper-gold deposits. Mongolia's ongoing dispute with a foreign investor over Oyu Tolgoi, however, has called into question the attractiveness of Mongolia as a destination for foreign direct investment. Negotiations to develop the massive Tavan Tolgoi coal field also have stalled. The economy has grown more than 10% per year since 2010, largely on the strength of commodity exports to nearby countries and high government spending domestically. Mongolia's economy, however, faces near-term economic risks from the government's loose fiscal and monetary policies, which are contributing to high inflation, and from uncertainties in foreign demand for Mongolian exports. Trade with China represents more than half of Mongolia's total external trade - China receives more than 90% of Mongolia's exports and is Mongolia's largest supplier. Mongolia has relied on Russia for energy supplies, leaving it vulnerable to price increases; in the first 11 months of 2013, Mongolia purchased 76% of its gasoline and diesel fuel and a substantial amount of electric power from Russia. A drop in foreign direct investment and a decrease in Chinese demand for Mongolia's mineral exports are putting pressure on Mongolia's balance of payments. Remittances from Mongolians working abroad, particularly in South Korea, are significant. |
| GDP (purchasing power parity): | $17.03 billion (2013 est.) |
| GDP (purchasing power parity): | $15.23 billion (2012 est.) |
| GDP (purchasing power parity): | $13.57 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $11.14 billion (2013 est.) |
| GDP - real growth rate: | 11.8% (2013 est.) |
| GDP - real growth rate: | 12.3% (2012 est.) |
| GDP - real growth rate: | 17.5% (2011 est.) |
| GDP - per capita (PPP): | $5,900 (2013 est.) |
| GDP - per capita (PPP): | $5,400 (2012 est.) |
| GDP - per capita (PPP): | $4,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| GDP - composition, by end use: | household consumption: 58.5% |
| GDP - composition, by end use: | government consumption: 14.9% |
| GDP - composition, by end use: | investment in fixed capital: 55.8% |
