| Economy | MONGOLIA |
| --- | --- |
| Economy - overview: | Foreign direct investment in Mongolia's extractive industries – which are based on extensive deposits of copper, gold, coal, molybdenum, fluorspar, uranium, tin, and tungsten - has transformed Mongolia's landlocked economy from its traditional dependence on herding and agriculture. Exports now account for more than 40% of GDP. Mongolia depends on China for more than 60% of its external trade - China receives some 90% of Mongolia's exports and supplies Mongolia with more than one-third of its imports. Mongolia also relies on Russia for 90% of its energy supplies, leaving it vulnerable to price increases. Remittances from Mongolians working abroad, particularly in South Korea, are significant. |
| Economy - overview: | Soviet assistance, at its height one-third of GDP, disappeared almost overnight in 1990 and 1991 at the time of the dismantlement of the USSR. The following decade saw Mongolia endure both deep recession, because of political inaction, and natural disasters, as well as strong economic growth, because of market reforms and extensive privatization of the formerly state-run economy. The country opened a fledgling stock exchange in 1991. Mongolia joined the WTO in 1997 and seeks to expand its participation in regional economic and trade regimes. |
| Economy - overview: | Growth averaged nearly 9% per year in 2004-08 largely because of high copper prices globally and new gold production. By late 2008, Mongolia was hit by the global financial crisis and Mongolia's real economy contracted 1.3% in 2009. In early 2009, the IMF reached a $236 million Stand-by Arrangement with Mongolia and it emerged from the crisis with a stronger banking sector and better fiscal management. In October 2009, Mongolia passed long-awaited legislation on an investment agreement to develop the Oyu Tolgoi (OT) mine, among the world's largest untapped copper-gold deposits. However, a dispute with foreign investors developing OT called into question the attractiveness of Mongolia as a destination for foreign investment. This caused a severe drop in FDI, and a slowing economy, leading to the dismissal of Prime Minister ALTANKHUYAG in November 2014. The economy had grown more than 10% per year between 2011 and 2013 - largely on the strength of commodity exports and high government spending - before slowing to 7.8% in 2014, 2.3% in 2015, and 1% in 2016. |
| Economy - overview: | The May 2015 agreement with Rio Tinto to restart the OT mine and the subsequent $4.4 billion finance package signing in December 2015 stemmed the loss of investor confidence. The current government has made restoring investor trust and reviving the economy its top priority, but has failed to invigorate the economy in the face of the large dropoff in foreign direct investment, mounting external debt, and a sizeable budget deficit. However, Mongolia reached staff-level agreement with the IMF in February 2017 on an Extended Fund Facility program, and once approved by the IMF Board, the program is expected to improve Mongolia’s long-term fiscal and economic stability. |
| GDP (purchasing power parity): | $36.99 billion (2016 est.) |
| GDP (purchasing power parity): | $36.17 billion (2015 est.) |
| GDP (purchasing power parity): | $34.96 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $11.03 billion (2016 est.) |
| GDP - real growth rate: | 1% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 7.9% (2014 est.) |
| GDP - per capita (PPP): | $12,300 (2016 est.) |
| GDP - per capita (PPP): | $12,300 (2015 est.) |
| GDP - per capita (PPP): | $12,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 25.9% of GDP (2016 est.) |
| Gross national saving: | 21.1% of GDP (2015 est.) |
| Gross national saving: | 23.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 53.3% |
| GDP - composition, by end use: | government consumption: 14.5% |
| GDP - composition, by end use: | investment in fixed capital: 20.1% |
| GDP - composition, by end use: | investment in inventories: 8.2% |
| GDP - composition, by end use: | exports of goods and services: 50.8% |
| GDP - composition, by end use: | imports of goods and services: -46.8% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.3% |
| GDP - composition, by sector of origin: | industry: 35.3% |
| GDP - composition, by sector of origin: | services: 51.4% (2016 est.) |
| Agriculture - products: | wheat, barley, vegetables, forage crops; sheep, goats, cattle, camels, horses |
