| Economy | SPAIN |
| --- | --- |
| Economy - overview: | After experiencing a prolonged recession in the wake of the global financial crisis that began in 2008, in 2016 Spain marked the third full year of positive economic growth in nine years, largely due to increased private consumption. At the onset of the financial crisis, Spain's GDP contracted by 3.7% in 2009, ending a 16-year growth trend, and continued contracting through most of 2013. In that year, the government successfully shored up struggling banks - exposed to the collapse of Spain's depressed real estate and construction sectors - and in January 2014 completed an EU-funded restructuring and recapitalization program for its financial sector. |
| Economy - overview: | Until 2014, credit contraction in the private sector, fiscal austerity, and high unemployment weighed on domestic consumption and investment. The unemployment rate rose from a low of about 8% in 2007 to more than 26% in 2013, but labor reforms prompted a modest reduction to 19.7% in 2016. High unemployment has strained Spain's public finances, as spending on social benefits increased while tax revenues fell. Spain’s budget deficit peaked at 11.4% of GDP in 2010, but Spain gradually reduced the deficit to about 5% of GDP in 2015, and 4.1% of GDP in 2016. Public debt has increased substantially – from 60.1% of GDP in 2010 to nearly 99.5% in 2016. |
| Economy - overview: | Exports were resilient throughout the economic downturn and helped to bring Spain's current account into surplus in 2013 for the first time since 1986, where it remained through 2016. Rising labor productivity and an internal devaluation resulting from moderating labor costs and lower inflation have helped to improve foreign investor interest in the economy and positive FDI flows have been restored. |
| Economy - overview: | Political gridlock after the national elections in December 2015 and June 2016 and ensuing government formation process constrained the caretaker government’s ability to implement needed labor, pension, health care, tax, and education reforms— in 2016. The European Commission criticized Spain’s 2016 budget for easing austerity measures and for its alleged overly optimistic growth and deficit projections. Spain’s borrowing costs are dramatically lower since their peak in mid-2012, and despite the recent uptick in economic activity, inflation has dropped sharply, from 1.5% in 2013 to a negative 0.3% in 2016. |
| GDP (purchasing power parity): | $1.686 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.613 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.546 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $1.233 trillion (2016 est.) |
| GDP - real growth rate: | 3.2% (2016 est.) |
| GDP - real growth rate: | 3.2% (2015 est.) |
| GDP - real growth rate: | 1.4% (2014 est.) |
| GDP - per capita (PPP): | $36,300 (2016 est.) |
| GDP - per capita (PPP): | $35,200 (2015 est.) |
| GDP - per capita (PPP): | $34,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22.3% of GDP (2016 est.) |
| Gross national saving: | 21.4% of GDP (2015 est.) |
| Gross national saving: | 20.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 57.8% |
| GDP - composition, by end use: | government consumption: 18.9% |
| GDP - composition, by end use: | investment in fixed capital: 19.9% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 33.1% |
| GDP - composition, by end use: | imports of goods and services: -30.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 23.4% |
| GDP - composition, by sector of origin: | services: 74.1% (2016 est.) |
| Agriculture - products: | grain, vegetables, olives, wine grapes, sugar beets, citrus; beef, pork, poultry, dairy products; fish |
| Industries: | textiles and apparel (including footwear), food and beverages, metals and metal manufactures, chemicals, shipbuilding, automobiles, machine tools, tourism, clay and refractory products, footwear, pharmaceuticals, medical equipment |
| Industrial production growth rate: | 2.4% (2016 est.) |
| Labor force: | 22.82 million (2016 est.) |
| Labor force - by occupation: | agriculture: 4.2% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 71.7% (2009 est.) |
| Unemployment rate: | 19.6% (2016 est.) |
| Unemployment rate: | 22% (2015 est.) |
| Population below poverty line: | 21.1% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 24% (2011) |
| Distribution of family income - Gini index: | 35.9 (2012) |
| Distribution of family income - Gini index: | 32 (2005) |
| Budget: | revenues: $466.6 billion |
| Budget: | expenditures: $522.6 billion (2016 est.) |
