| Economy | Spain |
| --- | --- |
| Economy - overview: | Spain experienced a prolonged recession in the wake of the global financial crisis. GDP contracted by 3.7% in 2009, ending a 16-year growth trend, and continued contracting through most of 2013. Economic growth resumed in late 2013, albeit only modestly, as credit contraction in the private sector, fiscal austerity, and high unemployment continued to weigh on domestic consumption and investment. Exports, however, have been resilient throughout the economic downturn, partially offsetting declines in domestic consumption and helped to bring Spain's current account into surplus in 2013 for the first time since 1986. The unemployment rate rose from a low of about 8% in 2007 to more than 26% in 2013, straining Spain's public finances as spending on social benefits increased while tax revenues fell. Spain’s budget deficit peaked at 11.4% of GDP in 2009. Spain gradually reduced the deficit to just under 7% of GDP in 2013, slightly above the 6.5% target negotiated between Spain and the EU. Public debt has increased substantially – from 60.1% of GDP in 2010 to 93.4% in 2013. Rising labor productivity, moderating labor costs, and lower inflation have helped to improve foreign investor interest in the economy and to reduce government borrowing costs. The government's ongoing efforts to implement reforms - labor, pension, health, tax, and education - are aimed at supporting investor sentiment. The government also has shored up struggling banks exposed to Spain's depressed domestic construction and real estate sectors by successfully completing an EU-funded restructuring and recapitalization program in December 2013. |
| GDP (purchasing power parity): | $1.389 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.407 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.43 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $1.356 trillion (2013 est.) |
| GDP - real growth rate: | -1.3% (2013 est.) |
| GDP - real growth rate: | -1.6% (2012 est.) |
| GDP - real growth rate: | 0.1% (2011 est.) |
| GDP - per capita (PPP): | $30,100 (2013 est.) |
| GDP - per capita (PPP): | $30,500 (2012 est.) |
| GDP - per capita (PPP): | $31,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 18.9% of GDP (2013 est.) |
| Gross national saving: | 18.6% of GDP (2012 est.) |
| Gross national saving: | 17.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 59% |
| GDP - composition, by end use: | government consumption: 19.9% |
| GDP - composition, by end use: | investment in fixed capital: 18.4% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 32.8% |
| GDP - composition, by end use: | imports of goods and services: -30.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.1% |
| GDP - composition, by sector of origin: | industry: 26% |
| GDP - composition, by sector of origin: | services: 70.8% (2013 est.) |
| Agriculture - products: | grain, vegetables, olives, wine grapes, sugar beets, citrus; beef, pork, poultry, dairy products; fish |
| Industries: | textiles and apparel (including footwear), food and beverages, metals and metal manufactures, chemicals, shipbuilding, automobiles, machine tools, tourism, clay and refractory products, footwear, pharmaceuticals, medical equipment |
| Industrial production growth rate: | -1.2% (2013 est.) |
| Labor force: | 23.2 million (2013 est.) |
| Labor force - by occupation: | agriculture: 4.2% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 71.7% (2009 est.) |
| Unemployment rate: | 26.3% (2013 est.) |
| Unemployment rate: | 25.1% (2012 est.) |
| Population below poverty line: | 21.1% (2012) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 26.6% (2000) |
| Distribution of family income - Gini index: | 32 (2005) |
| Distribution of family income - Gini index: | 32.5 (1990) |
| Budget: | revenues: $505.1 billion |
| Budget: | expenditures: $597.3 billion (2013 est.) |
| Taxes and other revenues: | 37.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.8% of GDP (2013 est.) |
| Public debt: | 93.7% of GDP (2013 est.) |
| Public debt: | 85.9% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2013 est.) |
| Inflation rate (consumer prices): | 2.4% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
