| Economy | BULGARIA |
| --- | --- |
| Economy - overview: | Bulgaria, a former communist country that entered the EU in 2007, has an open economy that historically has demonstrated strong growth, but its per-capita income remains one of the lowest among EU members and its reliance on energy imports and foreign demand for its exports makes its growth sensitive to external market conditions. |
| Economy - overview: | The government undertook significant structural economic reforms in the 1990s to move the economy from a centralized, planned economy to a more liberal, market-driven economy. These reforms included privatization of state-owned enterprises, liberalization of trade, and strengthening of the tax system - changes that initially caused some economic hardships but later helped to attract investment, spur growth, and make gradual improvements to living conditions. From 2000 through 2008, Bulgaria maintained robust, average annual real GDP growth in excess of 6%, which was followed by a deep recession in 2009 as the financial crisis caused domestic demand, exports, capital inflows and industrial production to contract, prompting the government to rein in spending. Real GDP growth remained slow - less than 2% annually - until 2015, when demand from EU countries for Bulgarian exports, plus an inflow of EU development funds, boosted growth to more than 3%. In recent years, low international energy prices have contributed to Bulgaria’s economic growth and helped to ease inflation; but, in 2017, rising international gas prices could dampen Bulgaria’s growth prospects. |
| Economy - overview: | Bulgaria is heavily reliant on energy imports from Russia, a potential vulnerability, and is a participant in EU-backed efforts to diversify regional natural gas supplies. In late 2016, the Bulgarian Government provided funding to Bulgaria’s National Electric Company to cover the $695 million compensation owed to Russian nuclear equipment manufacturer Atomstroyexport for the cancellation of the Belene Nuclear Power Plant project, which the Bulgarian Government terminated in 2012. In 2016, the Bulgarian Government established the State eGovernment Agency. This new agency is responsible for the implementation of projects related to electronic governance as well as coordination of national policies in this area with the EU requirements and practices, as well as to strengthen cybersecurity. |
| Economy - overview: | Despite a favorable investment regime, including low, flat corporate income taxes, significant challenges remain. Corruption in public administration, a weak judiciary, low productivity, and the presence of organized crime continue to hamper the country's investment climate and economic prospects. |
| GDP (purchasing power parity): | $144.6 billion (2016 est.) |
| GDP (purchasing power parity): | $138 billion (2015 est.) |
| GDP (purchasing power parity): | $131.7 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $52.39 billion (2016 est.) |
| GDP - real growth rate: | 3.4% (2016 est.) |
| GDP - real growth rate: | 3.6% (2015 est.) |
| GDP - real growth rate: | 1.3% (2014 est.) |
| GDP - per capita (PPP): | $20,400 (2016 est.) |
| GDP - per capita (PPP): | $19,500 (2015 est.) |
| GDP - per capita (PPP): | $18,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.5% of GDP (2016 est.) |
| Gross national saving: | 21.1% of GDP (2015 est.) |
| Gross national saving: | 21.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 60.8% |
| GDP - composition, by end use: | government consumption: 15.8% |
| GDP - composition, by end use: | investment in fixed capital: 19.1% |
| GDP - composition, by end use: | investment in inventories: 1.2% |
| GDP - composition, by end use: | exports of goods and services: 63.6% |
| GDP - composition, by end use: | imports of goods and services: -60.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.4% |
| GDP - composition, by sector of origin: | industry: 28% |
| GDP - composition, by sector of origin: | services: 67.6% (2016 est.) |
| Agriculture - products: | vegetables, fruits, tobacco, wine, wheat, barley, sunflowers, sugar beets; livestock |
| Industries: | electricity, gas, water; food, beverages, tobacco; machinery and equipment, automotive parts, base metals, chemical products, coke, refined petroleum, nuclear fuel; outsourcing centers |
| Industrial production growth rate: | 1.7% (2016 est.) |
| Labor force: | 2.556 million |
| Labor force: | note: number of employed persons (2016 est.) |
| Labor force - by occupation: | agriculture: 6.8% |
| Labor force - by occupation: | industry: 26.6% |
| Labor force - by occupation: | services: 66.6% (2016 est.) |
| Unemployment rate: | 7.7% (2016 est.) |
| Unemployment rate: | 10.1% (2015 est.) |
| Population below poverty line: | 22% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (2015) |
| Distribution of family income - Gini index: | 37 (2015) |
| Distribution of family income - Gini index: | 35.4 (2014) |
| Budget: | revenues: $19.2 billion |
| Budget: | expenditures: $17.88 billion (2016 est.) |
| Taxes and other revenues: | 36.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 2.5% of GDP (2016 est.) |
