| Economy | Bulgaria |
| --- | --- |
| Economy - overview: | Bulgaria, a former Communist country that entered the EU on 1 January 2007, averaged more than 6% annual growth from 2004 to 2008, driven by significant amounts of bank lending, consumption, and foreign direct investment. Successive governments have demonstrated a commitment to economic reforms and responsible fiscal planning, but the global downturn sharply reduced domestic demand, exports, capital inflows, and industrial production. GDP contracted by 5.5% in 2009, stagnated in 2010, despite a significant recovery in exports, grew 1.7% in 2011, and 1% in 2012. Despite having a favorable investment regime, including low, flat corporate income taxes, significant challenges remain. Corruption in public administration, a weak judiciary, and the presence of organized crime continue to hamper the country's investment climate and economic prospects. |
| GDP (purchasing power parity): | $102.7 billion (2012 est.) |
| GDP (purchasing power parity): | $101.9 billion (2011 est.) |
| GDP (purchasing power parity): | $100.1 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $50.33 billion (2012 est.) |
| GDP - real growth rate: | 0.8% (2012 est.) |
| GDP - real growth rate: | 1.8% (2011 est.) |
| GDP - real growth rate: | 0.4% (2010 est.) |
| GDP - per capita (PPP): | $14,100 (2012 est.) |
| GDP - per capita (PPP): | $13,900 (2011 est.) |
| GDP - per capita (PPP): | $13,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 22.5% of GDP (2012 est.) |
| Gross national saving: | 22% of GDP (2011 est.) |
| Gross national saving: | 21.4% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 72.1% |
| GDP - composition, by end use: | government consumption: 7.8% |
| GDP - composition, by end use: | investment in fixed capital: 21.4% |
| GDP - composition, by end use: | investment in inventories: 2.4% |
| GDP - composition, by end use: | exports of goods and services: 66.6% |
| GDP - composition, by end use: | imports of goods and services: -70.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.7% |
| GDP - composition, by sector of origin: | industry: 30.3% |
| GDP - composition, by sector of origin: | services: 63% (2012 est.) |
| Agriculture - products: | vegetables, fruits, tobacco, wine, wheat, barley, sunflowers, sugar beets; livestock |
| Industries: | electricity, gas, water; food, beverages, tobacco; machinery and equipment, base metals, chemical products, coke, refined petroleum, nuclear fuel |
| Industrial production growth rate: | 0.7% (2012 est.) |
| Labor force: | 2.585 million (2012 est.) |
| Labor force - by occupation: | agriculture: 7.1% |
| Labor force - by occupation: | industry: 35.2% |
| Labor force - by occupation: | services: 57.7% (2009) |
| Unemployment rate: | 11.1% (2012 est.) |
| Unemployment rate: | 9.6% (2011 est.) |
| Population below poverty line: | 21.8% (2008) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 35.2% (2007) |
| Distribution of family income - Gini index: | 45.3 (2007) |
| Distribution of family income - Gini index: | 26 (2001) |
| Budget: | revenues: $18.05 billion |
| Budget: | expenditures: $18.28 billion (2012 est.) |
| Taxes and other revenues: | 35.9% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -0.5% of GDP (2012 est.) |
| Public debt: | 16.3% of GDP (2012 est.) |
| Public debt: | 16.3% of GDP (2011 est.) |
| Public debt: | defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Inflation rate (consumer prices): | 4.2% (2011 est.) |
| Central bank discount rate: | 0.03% (31 December 2012 est.) |
| Central bank discount rate: | 0.22% (31 December 2011 est.) |
| Central bank discount rate: | note: Bulgarian National Bank (BNB) has had no independent monetary policy since the introduction of the Currency Board regime in 1997; this is BNB's base interest rate |
| Commercial bank prime lending rate: | 9.72% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 10.63% (31 December 2011 est.) |
| Stock of narrow money: | $15.51 billion (31 December 2012 est.) |
| Stock of narrow money: | $13.91 billion (31 December 2011 est.) |
| Stock of broad money: | $37.68 billion (31 December 2011 est.) |
| Stock of broad money: | $34.46 billion (31 December 2010 est.) |
