| Economy | BULGARIA |
| --- | --- |
| Economy - overview: | Bulgaria, a former communist country that entered the EU on 1 January 2007, averaged more than 6% annual growth from 2004 to 2008, driven by significant amounts of bank lending, consumption, and foreign direct investment. |
| Economy - overview: | Successive governments have demonstrated a commitment to economic reforms and responsible fiscal planning, but the global downturn sharply reduced domestic demand, exports, capital inflows, and industrial production. GDP contracted by 5.5% in 2009, and has been slow to recover in the years since. |
| Economy - overview: | Despite a favorable investment regime, including low, flat corporate income taxes, significant challenges remain. Corruption in public administration, a weak judiciary, and the presence of organized crime continue to hamper the country's investment climate and economic prospects. |
| GDP (purchasing power parity): | $133.9 billion (2015 est.) |
| GDP (purchasing power parity): | $130.3 billion (2014 est.) |
| GDP (purchasing power parity): | $128.2 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $47.17 billion (2015 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - real growth rate: | 1.5% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - per capita (PPP): | $19,100 (2015 est.) |
| GDP - per capita (PPP): | $18,500 (2014 est.) |
| GDP - per capita (PPP): | $18,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 22.7% of GDP (2015 est.) |
| Gross national saving: | 22.3% of GDP (2014 est.) |
| Gross national saving: | 22.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 60.9% |
| GDP - composition, by end use: | government consumption: 16.3% |
| GDP - composition, by end use: | investment in fixed capital: 21.2% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 66.5% |
| GDP - composition, by end use: | imports of goods and services: -65% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.1% |
| GDP - composition, by sector of origin: | industry: 27.6% |
| GDP - composition, by sector of origin: | services: 67.2% (2015 est.) |
| Agriculture - products: | vegetables, fruits, tobacco, wine, wheat, barley, sunflowers, sugar beets; livestock |
| Industries: | electricity, gas, water; food, beverages, tobacco; machinery and equipment, base metals, chemical products, coke, refined petroleum, nuclear fuel |
| Industrial production growth rate: | 2.7% (2015 est.) |
| Labor force: | 2.552 million |
| Labor force: | note: number of employed persons (2015 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 30.1% |
| Labor force - by occupation: | services: 62.9% (2014) |
| Unemployment rate: | 10.1% (2015 est.) |
| Unemployment rate: | 11.2% (2014 est.) |
| Population below poverty line: | 21.8% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 35.2% (2007) |
| Distribution of family income - Gini index: | 35.4 (2013) |
| Distribution of family income - Gini index: | 31.2 (2005) |
| Budget: | revenues: $18.25 billion |
| Budget: | expenditures: $19.12 billion (2015 est.) |
| Taxes and other revenues: | 38.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2015 est.) |
| Public debt: | 26.7% of GDP (2015 est.) |
| Public debt: | 27% of GDP (2014 est.) |
| Public debt: | note:: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.1% (2015 est.) |
| Inflation rate (consumer prices): | -1.4% (2014 est.) |
| Central bank discount rate: | 0.01% (31 December 2015) |
| Central bank discount rate: | 0.03% (31 December 2014) |
| Central bank discount rate: | note: Bulgarian National Bank (BNB) has had no independent monetary policy since the introduction of the Currency Board regime in 1997; this is BNB's base interest rate |
| Commercial bank prime lending rate: | 7.48% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.28% (31 December 2014 est.) |
| Stock of narrow money: | $20.09 billion (31 December 2015 est.) |
| Stock of narrow money: | $19.34 billion (31 December 2014 est.) |
| Stock of broad money: | $41.32 billion (31 December 2015 est.) |
| Stock of broad money: | $37.99 billion (31 December 2014 est.) |
| Stock of domestic credit: | $29.83 billion (31 December 2015 est.) |
| Stock of domestic credit: | $32.47 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.797 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $5.45 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.666 billion (31 December 2012 est.) |
| Current account balance: | $1.043 billion (2015 est.) |
| Current account balance: | $658 million (2014 est.) |
| Exports: | $24.62 billion (2015 est.) |
| Exports: | $27.94 billion (2014 est.) |
| Exports - commodities: | clothing, footwear, iron and steel, machinery and equipment, fuels |
| Exports - partners: | Germany 12.5%, Italy 9.2%, Turkey 8.5%, Romania 8.2%, Greece 6.5%, France 4.2% (2015) |
| Imports: | $26.74 billion (2015 est.) |
| Imports: | $31.63 billion (2014 est.) |
| Imports - commodities: | machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials |
| Imports - partners: | Germany 12.9%, Russia 12%, Italy 7.6%, Romania 6.8%, Turkey 5.7%, Greece 4.8%, Spain 4.8% (2015) |
| Reserves of foreign exchange and gold: | $22.09 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $20.11 billion (31 December 2014 est.) |
| Debt - external: | $42.5 billion (31 December 2015 est.) |
| Debt - external: | $48.74 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $44.29 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $51.78 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $4.49 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $5.354 billion (31 December 2014 est.) |
| Exchange rates: | leva (BGN) per US dollar - |
| Exchange rates: | 1.7644 (2015 est.) |
| Exchange rates: | 1.4742 (2014 est.) |
| Exchange rates: | 1.4742 (2013 est.) |
| Exchange rates: | 1.52 (2012 est.) |
| Exchange rates: | 1.4053 (2011 est.) |
