| Economy | ITALY |
| --- | --- |
| Economy - overview: | Italy has a diversified economy, which is divided into a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, where unemployment is higher. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family-owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. |
| Economy - overview: | Italy is the third-largest economy in the euro zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, topping 135% of GDP in 2015, but investor concerns about Italy and the broader euro-zone crisis eased in 2013, bringing down Italy's borrowing costs on sovereign government debt from euro-era records. The government still faces pressure from investors and European partners to sustain its efforts to address Italy's longstanding structural impediments to growth, such as labor market inefficiencies and tax evasion. In 2014, economic growth and labor market conditions continued to deteriorate, with overall unemployment rising to 12.7% and youth unemployment around 40%, but Italy began to recover in 2015, with marginal growth and a slight reduction in unemployment. |
| GDP (purchasing power parity): | $2.171 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.155 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.162 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $1.816 trillion (2015 est.) |
| GDP - real growth rate: | 0.8% (2015 est.) |
| GDP - real growth rate: | -0.3% (2014 est.) |
| GDP - real growth rate: | -1.7% (2013 est.) |
| GDP - per capita (PPP): | $35,700 (2015 est.) |
| GDP - per capita (PPP): | $35,400 (2014 est.) |
| GDP - per capita (PPP): | $36,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 18.9% of GDP (2015 est.) |
| Gross national saving: | 18.2% of GDP (2014 est.) |
| Gross national saving: | 17.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 61.1% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 16.5% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 30.2% |
| GDP - composition, by end use: | imports of goods and services: -27% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 23.7% |
| GDP - composition, by sector of origin: | services: 74% (2015 est.) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | 0.4% (2015 est.) |
| Labor force: | 25.5 million (2015 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 11.9% (2015 est.) |
| Unemployment rate: | 12.6% (2014 est.) |
| Population below poverty line: | 29.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
