| Economy | Italy |
| --- | --- |
| Economy - overview: | Italyâ€™s economy comprises a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, with a legacy of unemployment and underdevelopment. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family-owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. |
| Economy - overview: | Italy is the third-largest economy in the euro zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, reaching 131% of GDP in 2017. Investor concerns about Italy and the broader euro-zone crisis eased in 2013, bringing down Italy's borrowing costs on sovereign government debt from euro-era records. The government still faces pressure from investors and European partners to sustain its efforts to address Italy's longstanding structural economic problems, including labor market inefficiencies, a sluggish judicial system, and a weak banking sector. Italyâ€™s economy returned to modest growth in late 2014 for the first time since 2011. In 2015-16, Italyâ€™s economy grew at about 1% each year, and in 2017 growth accelerated to 1.5% of GDP. In 2017, overall unemployment was 11.4%, but youth unemployment remained high at 37.1%. GDP growth is projected to slow slightly in 2018. |
| GDP (purchasing power parity): | $2.317 trillion (2017 est.) |
| GDP (purchasing power parity): | $2.282 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.263 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $1.939 trillion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.5% (2017 est.) |
| GDP - real growth rate: | 0.9% (2016 est.) |
| GDP - real growth rate: | 1% (2015 est.) |
| GDP - per capita (PPP): | $38,200 (2017 est.) |
| GDP - per capita (PPP): | $37,600 (2016 est.) |
| GDP - per capita (PPP): | $37,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 20.3% of GDP (2017 est.) |
| Gross national saving: | 19.7% of GDP (2016 est.) |
| Gross national saving: | 18.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 61% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 31.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -28.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 23.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 73.9% (2017 est.) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | 2.1% (2017 est.) |
| Labor force: | 25.94 million (2017 est.) |
