| Economy | Italy |
| --- | --- |
| Economy - overview: | Italy has a diversified industrial economy, which is divided into a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, where unemployment is higher. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family-owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. Italy is the third-largest economy in the euro-zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, topping 133% of GDP in 2013, but investor concerns about Italy and the broader euro-zone crisis eased in 2013, bringing down Italy's borrowing costs on sovereign government debt from euro-era records. The government still faces pressure from investors and European partners to sustain its efforts to address Italy's long-standing structural impediments to growth, such as labor market inefficiencies and widespread tax evasion. In 2013 economic growth and labor market conditions deteriorated, with growth at -1.8% and unemployment rising to 12.4%, with youth unemployment around 40%. Italy's GDP is now 8% below its 2007 pre-crisis level. |
| GDP (purchasing power parity): | $1.805 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.838 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.883 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $2.068 trillion (2013 est.) |
| GDP - real growth rate: | -1.8% (2013 est.) |
| GDP - real growth rate: | -2.4% (2012 est.) |
| GDP - real growth rate: | 0.4% (2011 est.) |
| GDP - per capita (PPP): | $29,600 (2013 est.) |
| GDP - per capita (PPP): | $29,800 (2012 est.) |
| GDP - per capita (PPP): | $30,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 17.4% of GDP (2013 est.) |
| Gross national saving: | 16.9% of GDP (2012 est.) |
| Gross national saving: | 16.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 60% |
| GDP - composition, by end use: | government consumption: 20.6% |
| GDP - composition, by end use: | investment in fixed capital: 17.6% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -27.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
| GDP - composition, by sector of origin: | industry: 24.4% |
| GDP - composition, by sector of origin: | services: 73.5% (2013 est.) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | -2.7% (2013 est.) |
| Labor force: | 25.74 million (2013 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 12.4% (2013 est.) |
| Unemployment rate: | 10.7% (2012 est.) |
| Population below poverty line: | 29.9% (2012) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2012 est.) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Budget: | revenues: $984 billion |
| Budget: | expenditures: $1.052 trillion (2013 est.) |
| Taxes and other revenues: | 47.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2013 est.) |
| Public debt: | 133% of GDP (2013 est.) |
| Public debt: | 126.9% of GDP (2012 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds |
