| Economy | MOROCCO |
| --- | --- |
| Economy - overview: | Morocco has capitalized on its proximity to Europe and relatively low labor costs to work towards building a diverse, open, market-oriented economy. Key sectors of the economy include agriculture, tourism, aerospace, automotive, phosphates, textiles, apparel, and subcomponents. Morocco has increased investment in its port, transportation, and industrial infrastructure to position itself as a center and broker for business throughout Africa. Industrial development strategies and infrastructure improvements - most visibly illustrated by a new port and free trade zone near Tangier - are improving Morocco's competitiveness. |
| Economy - overview: | In the 1980s, Morocco was a heavily indebted country before pursuing austerity measures and pro-market reforms, overseen by the IMF. Since taking the throne in 1999, King MOHAMMED VI has presided over a stable economy marked by steady growth, low inflation, and gradually falling unemployment, although poor harvests and economic difficulties in Europe contributed to an economic slowdown. To boost exports, Morocco entered into a bilateral Free Trade Agreement with the US in 2006 and an Advanced Status agreement with the EU in 2008. In late 2014, Morocco eliminated subsidies for gasoline, diesel, and fuel oil, dramatically reducing outlays that weighted on the country’s budget and current account. Subsidies on butane gas and certain food products remain in place. Morocco also seeks to expand its renewable energy capacity with a goal of making renewable more than 50% of installed electricity generation capacity by 2030. |
| Economy - overview: | Despite Morocco's economic progress, the country suffers from high unemployment, poverty, and illiteracy, particularly in rural areas. Key economic challenges for Morocco include reforming the education system and the judiciary. |
| GDP (purchasing power parity): | $273.5 billion (2015 est.) |
| GDP (purchasing power parity): | $261.8 billion (2014 est.) |
| GDP (purchasing power parity): | $255.7 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $103.1 billion (2015 est.) |
| GDP - real growth rate: | 4.5% (2015 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 4.7% (2013 est.) |
| GDP - per capita (PPP): | $8,200 (2015 est.) |
| GDP - per capita (PPP): | $7,900 (2014 est.) |
| GDP - per capita (PPP): | $7,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 28.3% of GDP (2015 est.) |
| Gross national saving: | 26.5% of GDP (2014 est.) |
| Gross national saving: | 26.6% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 58.3% |
| GDP - composition, by end use: | government consumption: 19.2% |
| GDP - composition, by end use: | investment in fixed capital: 28.7% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 34.3% |
| GDP - composition, by end use: | imports of goods and services: -42.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.5% |
| GDP - composition, by sector of origin: | industry: 29.2% |
| GDP - composition, by sector of origin: | services: 56.3% (2015 est.) |
| Agriculture - products: | barley, wheat, citrus fruits, grapes, vegetables, olives; livestock; wine |
| Industries: | automotive parts, phosphate mining and processing, aerospace, food processing, leather goods, textiles, construction, energy, tourism |
| Industrial production growth rate: | 3% (2015 est.) |
| Labor force: | 12.04 million (2015 est.) |
| Labor force - by occupation: | agriculture: 39.1% |
| Labor force - by occupation: | industry: 20.3% |
| Labor force - by occupation: | services: 40.5% (2014 est.) |
| Unemployment rate: | 9.7% (2015 est.) |
| Unemployment rate: | 9.7% (2014 est.) |
| Population below poverty line: | 15% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 33.2% (2007) |
| Distribution of family income - Gini index: | 40.9 (2007 est.) |
| Distribution of family income - Gini index: | 39.5 (1999 est.) |
| Budget: | revenues: $24.01 billion |
| Budget: | expenditures: $28.98 billion (2015 est.) |
| Taxes and other revenues: | 23.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.8% of GDP (2015 est.) |
| Public debt: | 75.7% of GDP (2015 est.) |
| Public debt: | 75.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.6% (2015 est.) |
| Inflation rate (consumer prices): | 0.4% (2014 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Central bank discount rate: | 3.31% (31 December 2009) |
| Commercial bank prime lending rate: | 6% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 6% (31 December 2014 est.) |
| Stock of narrow money: | $71.58 billion (31 December 2015 est.) |
| Stock of narrow money: | $73.27 billion (31 December 2014 est.) |
| Stock of broad money: | $92.72 billion (31 December 2014 est.) |
| Stock of broad money: | $92.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $106.5 billion (31 December 2015 est.) |
| Stock of domestic credit: | $114.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $52.63 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $60.09 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $69.15 billion (31 December 2013 est.) |
| Current account balance: | -$1.413 billion (2015 est.) |
| Current account balance: | -$6.226 billion (2014 est.) |
| Exports: | $18.48 billion (2015 est.) |
| Exports: | $20 billion (2014 est.) |
