| Economy | Morocco |
| --- | --- |
| Economic overview: | Morocco has capitalized on its proximity to Europe and relatively low labor costs to work towards building a diverse, open, market-oriented economy. Key sectors of the economy include agriculture, tourism, aerospace, automotive, phosphates, textiles, apparel, and subcomponents. Morocco has increased investment in its port, transportation, and industrial infrastructure to position itself as a center and broker for business throughout Africa. Industrial development strategies and infrastructure improvements - most visibly illustrated by a new port and free trade zone near Tangier - are improving Morocco's competitiveness. |
| Economic overview: | In the 1980s, Morocco was a heavily indebted country before pursuing austerity measures and pro-market reforms, overseen by the IMF. Since taking the throne in 1999, King MOHAMMED VI has presided over a stable economy marked by steady growth, low inflation, and gradually falling unemployment, although poor harvests and economic difficulties in Europe contributed to an economic slowdown. To boost exports, Morocco entered into a bilateral Free Trade Agreement with the US in 2006 and an Advanced Status agreement with the EU in 2008. In late 2014, Morocco eliminated subsidies for gasoline, diesel, and fuel oil, dramatically reducing outlays that weighed on the countryâ€™s budget and current account. Subsidies on butane gas and certain food products remain in place. Morocco also seeks to expand its renewable energy capacity with a goal of making renewable more than 50% of installed electricity generation capacity by 2030. |
| Economic overview: | Despite Morocco's economic progress, the country suffers from high unemployment, poverty, and illiteracy, particularly in rural areas. Key economic challenges for Morocco include reforming the education system and the judiciary. |
| GDP real growth rate: | 2.5% (2019 est.) |
| GDP real growth rate: | 2.96% (2018 est.) |
| GDP real growth rate: | 3.98% (2017 est.) |
| Inflation rate (consumer prices): | 0.2% (2019 est.) |
| Inflation rate (consumer prices): | 2% (2018 est.) |
| Inflation rate (consumer prices): | 0.7% (2017 est.) |
| Credit ratings: | Fitch rating: BB+ (2020) |
| Credit ratings: | Moody's rating: Ba1 (1999) |
| Credit ratings: | Standard & Poors rating: BBB- (2010) |
| GDP (purchasing power parity) - real: | $280.811 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $273.972 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $266.117 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $118.858 billion (2019 est.) |
| GDP - per capita (PPP): | $3,450 (2019 est.) |
| GDP - per capita (PPP): | $3,407 (2018 est.) |
| GDP - per capita (PPP): | $3,351 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 30.1% of GDP (2017 est.) |
| Gross national saving: | 28.9% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 14% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56.5% (2017 est.) |
| GDP - composition, by end use: | household consumption: 58% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.9% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 28.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 37.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -46.6% (2017 est.) |
| Ease of Doing Business Index scores: | 93.0 (2020) |
| Agriculture - products: | barley, wheat, citrus fruits, grapes, vegetables, olives; livestock; wine |
| Industries: | automotive parts, phosphate mining and processing, aerospace, food processing, leather goods, textiles, construction, energy, tourism |
| Industrial production growth rate: | 2.8% (2017 est.) |
| Labor force: | 10.399 million (2020 est.) |
| Labor force - by occupation: | agriculture: 39.1% |
| Labor force - by occupation: | industry: 20.3% |
| Labor force - by occupation: | services: 40.5% (2014 est.) |
