| Economy | Morocco |
| --- | --- |
| Economy - overview: | Morocco has capitalized on its proximity to Europe and relatively low labor costs to work towards building a diverse, open, market-oriented economy. Key sectors of the economy include agriculture, tourism, aerospace, automotive, phosphates, textiles, apparel, and subcomponents. Morocco has increased investment in its port, transportation, and industrial infrastructure to position itself as a center and broker for business throughout Africa. Industrial development strategies and infrastructure improvements - most visibly illustrated by a new port and free trade zone near Tangier - are improving Morocco's competitiveness. |
| Economy - overview: | In the 1980s, Morocco was a heavily indebted country before pursuing austerity measures and pro-market reforms, overseen by the IMF. Since taking the throne in 1999, King MOHAMMED VI has presided over a stable economy marked by steady growth, low inflation, and gradually falling unemployment, although poor harvests and economic difficulties in Europe contributed to an economic slowdown. To boost exports, Morocco entered into a bilateral Free Trade Agreement with the US in 2006 and an Advanced Status agreement with the EU in 2008. In late 2014, Morocco eliminated subsidies for gasoline, diesel, and fuel oil, dramatically reducing outlays that weighed on the countryâ€™s budget and current account. Subsidies on butane gas and certain food products remain in place. Morocco also seeks to expand its renewable energy capacity with a goal of making renewable more than 50% of installed electricity generation capacity by 2030. |
| Economy - overview: | Despite Morocco's economic progress, the country suffers from high unemployment, poverty, and illiteracy, particularly in rural areas. Key economic challenges for Morocco include reforming the education system and the judiciary. |
| GDP (purchasing power parity): | $298.6 billion (2017 est.) |
| GDP (purchasing power parity): | $286.8 billion (2016 est.) |
| GDP (purchasing power parity): | $283.6 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $109.3 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 4.1% (2017 est.) |
| GDP - real growth rate: | 1.1% (2016 est.) |
| GDP - real growth rate: | 4.6% (2015 est.) |
| GDP - per capita (PPP): | $8,600 (2017 est.) |
| GDP - per capita (PPP): | $8,300 (2016 est.) |
| GDP - per capita (PPP): | $8,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 30.1% of GDP (2017 est.) |
| Gross national saving: | 28.9% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 58% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.9% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 28.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 37.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -46.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 14% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56.5% (2017 est.) |
| Agriculture - products: | barley, wheat, citrus fruits, grapes, vegetables, olives; livestock; wine |
| Industries: | automotive parts, phosphate mining and processing, aerospace, food processing, leather goods, textiles, construction, energy, tourism |
| Industrial production growth rate: | 2.8% (2017 est.) |
| Labor force: | 12 million (2017 est.) |
| Labor force - by occupation: | agriculture: 39.1% |
| Labor force - by occupation: | industry: 20.3% |
| Labor force - by occupation: | services: 40.5% (2014 est.) |
| Unemployment rate: | 10.2% (2017 est.) |
| Unemployment rate: | 9.9% (2016 est.) |
| Population below poverty line: | 15% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 33.2% (2007) |
| Household income or consumption by percentage share: | highest 10%: 33.2% (2007) |
| Distribution of family income - Gini index: | 40.9 (2007 est.) |
| Distribution of family income - Gini index: | 39.5 (1999 est.) |
| Budget: | revenues: 22.81 billion (2017 est.) |
| Budget: | expenditures: 26.75 billion (2017 est.) |
| Taxes and other revenues: | 20.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.6% (of GDP) (2017 est.) |
| Public debt: | 65.1% of GDP (2017 est.) |
| Public debt: | 64.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.8% (2017 est.) |
| Inflation rate (consumer prices): | 1.6% (2016 est.) |
| Central bank discount rate: | 6.5% (31 December 2010) |
| Central bank discount rate: | 3.31% (31 December 2009) |
| Commercial bank prime lending rate: | 5.6% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.73% (31 December 2016 est.) |
| Stock of narrow money: | $87.13 billion (31 December 2017 est.) |
| Stock of narrow money: | $74.7 billion (31 December 2016 est.) |
| Stock of broad money: | $87.13 billion (31 December 2017 est.) |
| Stock of broad money: | $74.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $124.4 billion (31 December 2017 est.) |
| Stock of domestic credit: | $109.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $45.93 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $52.75 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $53.83 billion (31 December 2013 est.) |
| Current account balance: | -$3.92 billion (2017 est.) |
