| Economy | Ukraine |
| --- | --- |
| Economy - overview: | After Russia, the Ukrainian Republic was the most important economic component of the former Soviet Union, producing about four times the output of the next-ranking republic. Its fertile black soil accounted for more than one-fourth of Soviet agricultural output, and its farms provided substantial quantities of meat, milk, grain, and vegetables to other republics. Likewise, its diversified heavy industry supplied unique equipment such as large diameter pipes and vertical drilling apparatus, and raw materials to industrial and mining sites in other regions of the former USSR. |
| Economy - overview: | Shortly after independence in August 1991, the Ukrainian Government liberalized most prices and erected a legal framework for privatization, but widespread resistance to reform within the government and the legislature soon stalled reform efforts and led to some backtracking. Output by 1999 had fallen to less than 40% of the 1991 level. Outside institutions - particularly the IMF encouraged Ukraine to quicken the pace and scope of reforms to foster economic growth. Ukrainian Government officials eliminated most tax and customs privileges in a March 2005 budget law, bringing more economic activity out of Ukraine's large shadow economy. From 2000 until mid-2008, Ukraine's economy was buoyant despite political turmoil between the prime minister and president. The economy contracted nearly 15% in 2009, among the worst economic performances in the world. In April 2010, Ukraine negotiated a price discount on Russian gas imports in exchange for extending Russia's lease on its naval base in Crimea. |
| Economy - overview: | Ukraineâ€™s oligarch-dominated economy grew slowly from 2010 to 2013, but remained behind peers in the region and among Europeâ€™s poorest. After former President YANUKOVYCH fled the country during the Revolution of Dignity, Ukraineâ€™s economy fell into crisis because of Russiaâ€™s annexation of Crimea, military conflict in the eastern part of the country, and a trade war with Russia, resulting in a 17% decline in GDP, inflation at nearly 60%, and dwindling foreign currency reserves. The international community began efforts to stabilize the Ukrainian economy, including a March 2014 IMF assistance package of $17.5 billion, of which Ukraine has received four disbursements, most recently in April 2017, bringing the total disbursed as of that date to approximately $8.4 billion. Ukraine has made significant progress on reforms designed to make the country prosperous, democratic, and transparent, including creation of a national anti-corruption agency, overhaul of the banking sector, establishment of a transparent VAT refund system, and increased transparency in government procurement. But more improvements are needed, including fighting corruption, developing capital markets, improving the business environment to attract foreign investment, privatizing state-owned enterprises, and land reform. The fifth tranche of the IMF program, valued at $1.9 billion, was delayed in mid-2017 due to lack of progress on outstanding reforms, including adjustment of gas tariffs to import parity levels and adoption of legislation establishing an independent anti-corruption court. |
| Economy - overview: | Russiaâ€™s occupation of Crimea in March 2014 and ongoing aggression in eastern Ukraine have hurt economic growth. With the loss of a major portion of Ukraineâ€™s heavy industry in Donbas and ongoing violence, the economy contracted by 6.6% in 2014 and by 9.8% in 2015, but it returned to low growth in in 2016 and 2017, reaching 2.3% and 2.0%, respectively, as key reforms took hold. Ukraine also redirected trade activity towards the EU following the implementation of a bilateral Deep and Comprehensive Free Trade Agreement, displacing Russia as its largest trading partner. A prohibition on commercial trade with separatist-controlled territories in early 2017 has not impacted Ukraineâ€™s key industrial sectors as much as expected, largely because of favorable external conditions. Ukraine returned to international debt markets in September 2017, issuing a $3 billion sovereign bond. |
| GDP (purchasing power parity): | $369.6 billion (2017 est.) |
| GDP (purchasing power parity): | $360.5 billion (2016 est.) |
| GDP (purchasing power parity): | $351.9 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $112.1 billion (2017 est.) |
| GDP - real growth rate: | 2.5% (2017 est.) |
