| Economy | VIETNAM |
| --- | --- |
| Economy - overview: | Vietnam is a densely populated developing country that has been transitioning from the rigidities of a centrally-planned economy since 1986. Agriculture's share of economic output has shrunk from about 25% in 2000 to 18% in 2014, while industry's share increased from 36% to 38% in the same period. State-owned enterprises now account for only about 40% of GDP. |
| Economy - overview: | Vietnamese authorities have reaffirmed their commitment to economic modernization and a more open economy. Vietnam joined the WTO in January 2007, which has promoted more competitive, export-driven industries. Vietnam was one of 12-nations that concluded the Trans-Pacific Partnership free trade agreement negotiations in 2015. |
| Economy - overview: | Hanoi has oscillated between promoting growth and emphasizing macroeconomic stability in recent years. During 2015, Vietnam's managed currency, the dong, depreciated about 5%. Poverty has declined significantly, and Vietnam is working to create jobs to meet the challenge of a labor force that is growing by more than one million people every year. |
| Economy - overview: | Vietnam is trying to reform its economy by restructuring public investment, state-owned enterprises, and the banking sector, although Hanoi’s progress in meeting its goals is lagging behind the proposed schedule. Vietnam's economy continues to face challenges from an undercapitalized banking sector and nonperforming loans. |
| GDP (purchasing power parity): | $552.3 billion (2015 est.) |
| GDP (purchasing power parity): | $517.7 billion (2014 est.) |
| GDP (purchasing power parity): | $488.5 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $191.5 billion (2015 est.) |
| GDP - real growth rate: | 6.7% (2015 est.) |
| GDP - real growth rate: | 6% (2014 est.) |
| GDP - real growth rate: | 5.4% (2013 est.) |
| GDP - per capita (PPP): | $6,000 (2015 est.) |
| GDP - per capita (PPP): | $5,700 (2014 est.) |
| GDP - per capita (PPP): | $5,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 28.5% of GDP (2015 est.) |
| Gross national saving: | 31.9% of GDP (2014 est.) |
| Gross national saving: | 31.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 66.7% |
| GDP - composition, by end use: | government consumption: 6.3% |
| GDP - composition, by end use: | investment in fixed capital: 24.8% |
| GDP - composition, by end use: | investment in inventories: 3.9% |
| GDP - composition, by end use: | exports of goods and services: 89.4% |
| GDP - composition, by end use: | imports of goods and services: -91.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.4% |
| GDP - composition, by sector of origin: | industry: 38.8% |
| GDP - composition, by sector of origin: | services: 43.7% (2015 est.) |
| Agriculture - products: | rice, coffee, rubber, tea, pepper, soybeans, cashews, sugar cane, peanuts, bananas; poultry; fish, seafood |
| Industries: | food processing, garments, shoes, machine-building; mining, coal, steel; cement, chemical fertilizer, glass, tires, oil, mobile phones |
| Industrial production growth rate: | 9.6% (2015 est.) |
| Labor force: | 54.45 million (2015 est.) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 31% (2012) |
| Unemployment rate: | 3.5% (2015 est.) |
| Unemployment rate: | 3.4% (2014 est.) |
| Population below poverty line: | 11.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 30.2% (2008) |
| Distribution of family income - Gini index: | 37.6 (2008) |
| Distribution of family income - Gini index: | 36.1 (1998) |
| Budget: | revenues: $45.96 billion |
| Budget: | expenditures: $54.67 billion (2015 est.) |
| Taxes and other revenues: | 24% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.6% of GDP (2015 est.) |
| Public debt: | 54.3% of GDP (2015 est.) |
| Public debt: | 52.9% of GDP (2014 est.) |
| Public debt: | note: official data; data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2015 est.) |
| Inflation rate (consumer prices): | 4.7% (2014 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 15% (31 December 2011) |
| Commercial bank prime lending rate: | 7.12% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.67% (31 December 2014 est.) |
| Stock of narrow money: | $62.92 billion (31 December 2015 est.) |
| Stock of narrow money: | $56.12 billion (31 December 2014 est.) |
| Stock of broad money: | $261.3 billion (31 December 2015 est.) |
| Stock of broad money: | $235 billion (31 December 2014 est.) |
| Stock of domestic credit: | $239.3 billion (31 December 2015 est.) |
| Stock of domestic credit: | $209.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $38.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $26 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $37 billion (31 December 2013 est.) |
| Current account balance: | $2.764 billion (2015 est.) |
| Current account balance: | $9.33 billion (2014 est.) |
| Exports: | $162.1 billion (2015 est.) |
| Exports: | $150.2 billion (2014 est.) |
| Exports - commodities: | clothes, shoes, electronics, seafood, crude oil, rice, coffee, wooden products, machinery |
| Exports - partners: | US 21.2%, China 13.3%, Japan 8.4%, South Korea 5.5%, Germany 4.1% (2015) |
| Imports: | $154.7 billion (2015 est.) |
| Imports: | $138.1 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, steel products, raw materials for the clothing and shoe industries, electronics, plastics, automobiles |
| Imports - partners: | China 34.1%, South Korea 14.3%, Singapore 6.5%, Japan 6.4%, Hong Kong 5.1%, Thailand 4.5% (2015) |
| Reserves of foreign exchange and gold: | $28.62 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $34.58 billion (31 December 2014 est.) |
| Debt - external: | $73.33 billion (31 December 2015 est.) |
| Debt - external: | $71.89 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $102.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $90.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $7.7 billion (31 December 2009 est.) |
| Stock of direct foreign investment - abroad: | $5.3 billion (31 December 2008 est.) |
| Exchange rates: | dong (VND) per US dollar - |
| Exchange rates: | 21,909 (2015 est.) |
| Exchange rates: | 21,189 (2014 est.) |
| Exchange rates: | 21,189 (2013 est.) |
| Exchange rates: | 20,859 (2012 est.) |
| Exchange rates: | 20,649 (2011 est.) |
