| Economy | TUNISIA |
| --- | --- |
| Economy - overview: | Tunisia's diverse, market-oriented economy has long been cited as a success story in Africa and the Middle East, but it faces an array of challenges following the 2011 Arab Spring revolution, including slow economic growth and high unemployment. Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia embarked on a successful strategy focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country's economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia's main economic partner, the EU. |
| Economy - overview: | Tunisia's liberal strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improved living standards. Former President Zine el Abidine BEN ALI (1987-2011) continued these policies, but as his reign wore on cronyism and corruption stymied economic performance, and unemployment rose among the country's growing ranks of university graduates. These grievances contributed to the January 2011 overthrow of BEN ALI, sending Tunisia's economy into a tailspin as tourism and investment declined sharply. |
| Economy - overview: | Tunisia’s government remains under pressure to boost economic growth quickly to mitigate chronic socio-economic challenges, especially high levels of youth unemployment, which has persisted since the revolution in 2011. Successive terrorist attacks against the tourism sector and worker strikes in the phosphate sector, which combined account for nearly 15% of GDP, slowed growth to less than 1% of GDP in 2015 and 1.5% in 2016. Tunis is seeking increased foreign investment and working with labor unions to limit labor disruption. |
| GDP (purchasing power parity): | $130.5 billion (2016 est.) |
| GDP (purchasing power parity): | $127.6 billion (2015 est.) |
| GDP (purchasing power parity): | $124.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $42.07 billion (2016 est.) |
| GDP - real growth rate: | 1% (2016 est.) |
| GDP - real growth rate: | 1.1% (2015 est.) |
| GDP - real growth rate: | 2.3% (2014 est.) |
| GDP - per capita (PPP): | $11,600 (2016 est.) |
| GDP - per capita (PPP): | $11,600 (2015 est.) |
| GDP - per capita (PPP): | $11,600 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 13.5% of GDP (2016 est.) |
| Gross national saving: | 12.5% of GDP (2015 est.) |
| Gross national saving: | 14% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 71.1% |
| GDP - composition, by end use: | government consumption: 20.1% |
| GDP - composition, by end use: | investment in fixed capital: 18.6% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 40.1% |
| GDP - composition, by end use: | imports of goods and services: -50.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.9% |
| GDP - composition, by sector of origin: | industry: 26.2% |
| GDP - composition, by sector of origin: | services: 63.3% (2016 est.) |
| Agriculture - products: | olives, olive oil, grain, tomatoes, citrus fruit, sugar beets, dates, almonds; beef, dairy products |
| Industries: | petroleum, mining (particularly phosphate, iron ore), tourism, textiles, footwear, agribusiness, beverages |
| Industrial production growth rate: | -0.6% (2016 est.) |
| Labor force: | 4.022 million (2016 est.) |
| Labor force - by occupation: | agriculture: 14.8% |
| Labor force - by occupation: | industry: 33.2% |
| Labor force - by occupation: | services: 51.7% (2014 est.) |
| Unemployment rate: | 14% (2016 est.) |
| Unemployment rate: | 15.2% (2015 est.) |
| Population below poverty line: | 15.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 40 (2005 est.) |
| Distribution of family income - Gini index: | 41.7 (1995 est.) |
| Budget: | revenues: $9.891 billion |
| Budget: | expenditures: $12.15 billion (2016 est.) |
| Taxes and other revenues: | 23.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.4% of GDP (2016 est.) |
| Public debt: | 62.4% of GDP (2016 est.) |
| Public debt: | 54.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2016 est.) |
| Inflation rate (consumer prices): | 4.9% (2015 est.) |
| Central bank discount rate: | 5.75% (31 December 2010) |
| Commercial bank prime lending rate: | 7.31% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.76% (31 December 2013 est.) |
| Stock of narrow money: | $11.86 billion (31 December 2016 est.) |
| Stock of narrow money: | $12.61 billion (31 December 2015 est.) |
| Stock of broad money: | $26.73 billion (31 December 2016 est.) |
| Stock of broad money: | $28.48 billion (31 December 2015 est.) |
| Stock of domestic credit: | $34.18 billion (31 December 2016 est.) |
| Stock of domestic credit: | $35.73 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $8.887 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $9.662 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2010 est.) |
| Current account balance: | $-3.776 billion (2016 est.) |
| Current account balance: | $-3.85 billion (2015 est.) |
| Exports: | $13.57 billion (2016 est.) |
| Exports: | $14.16 billion (2015 est.) |
| Exports - commodities: | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| Exports - partners: | France 30.1%, Italy 19.3%, Germany 10.7%, Spain 5.2%, Libya 4.3% (2016) |
| Imports: | $18.37 billion (2016 est.) |
| Imports: | $19.1 billion (2015 est.) |
| Imports - commodities: | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| Imports - partners: | France 18%, Italy 14.8%, China 8%, Germany 7.3%, Spain 4.3%, Algeria 4.1% (2016) |
| Reserves of foreign exchange and gold: | $5.941 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.4 billion (31 December 2015 est.) |
| Debt - external: | $28.93 billion (31 December 2016 est.) |
| Debt - external: | $27.36 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $37.34 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $36.45 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2015 est.) |
| Exchange rates: | Tunisian dinars (TND) per US dollar - |
| Exchange rates: | 2.148 (2016 est.) |
| Exchange rates: | 2.148 (2015 est.) |
| Exchange rates: | 1.9617 (2014 est.) |
| Exchange rates: | 1.6976 (2013 est.) |
| Exchange rates: | 1.56 (2012 est.) |
