| Economy | United States |
| --- | --- |
| Economy - overview: | The US has the largest and most technologically powerful economy in the world, with a per capita GDP of $49,800. In this market-oriented economy, private individuals and business firms make most of the decisions, and the federal and state governments buy needed goods and services predominantly in the private marketplace. US business firms enjoy greater flexibility than their counterparts in Western Europe and Japan in decisions to expand capital plant, to lay off surplus workers, and to develop new products. At the same time, they face higher barriers to enter their rivals' home markets than foreign firms face entering US markets. US firms are at or near the forefront in technological advances, especially in computers and in medical, aerospace, and military equipment; their advantage has narrowed since the end of World War II. The onrush of technology largely explains the gradual development of a "two-tier labor market" in which those at the bottom lack the education and the professional/technical skills of those at the top and, more and more, fail to get comparable pay raises, health insurance coverage, and other benefits. Since 1975, practically all the gains in household income have gone to the top 20% of households. Since 1996, dividends and capital gains have grown faster than wages or any other category of after-tax income. Imported oil accounts for nearly 55% of US consumption. Crude oil prices doubled between 2001 and 2006, the year home prices peaked; higher gasoline prices ate into consumers' budgets and many individuals fell behind in their mortgage payments. Oil prices climbed another 50% between 2006 and 2008, and bank foreclosures more than doubled in the same period. Besides dampening the housing market, soaring oil prices caused a drop in the value of the dollar and a deterioration in the US merchandise trade deficit, which peaked at $840 billion in 2008. The sub-prime mortgage crisis, falling home prices, investment bank failures, tight credit, and the global economic downturn pushed the United States into a recession by mid-2008. GDP contracted until the third quarter of 2009, making this the deepest and longest downturn since the Great Depression. To help stabilize financial markets, in October 2008 the US Congress established a $700 billion Troubled Asset Relief Program (TARP). The government used some of these funds to purchase equity in US banks and industrial corporations, much of which had been returned to the government by early 2011. In January 2009 the US Congress passed and President Barack OBAMA signed a bill providing an additional $787 billion fiscal stimulus to be used over 10 years - two-thirds on additional spending and one-third on tax cuts - to create jobs and to help the economy recover. In 2010 and 2011, the federal budget deficit reached nearly 9% of GDP. In 2012 the federal government reduced the growth of spending and the deficit shrank to 7.6% of GDP. Wars in Iraq and Afghanistan required major shifts in national resources from civilian to military purposes and contributed to the growth of the budget deficit and public debt. Through 2011, the direct costs of the wars totaled nearly $900 billion, according to US government figures. US revenues from taxes and other sources are lower, as a percentage of GDP, than those of most other countries. In March 2010, President OBAMA signed into law the Patient Protection and Affordable Care Act, a health insurance reform that was designed to extend coverage to an additional 32 million American citizens by 2016, through private health insurance for the general population and Medicaid for the impoverished. Total spending on health care - public plus private - rose from 9.0% of GDP in 1980 to 17.9% in 2010. In July 2010, the president signed the DODD-FRANK Wall Street Reform and Consumer Protection Act, a law designed to promote financial stability by protecting consumers from financial abuses, ending taxpayer bailouts of financial firms, dealing with troubled banks that are "too big to fail," and improving accountability and transparency in the financial system - in particular, by requiring certain financial derivatives to be traded in markets that are subject to government regulation and oversight. In December 2012, the Federal Reserve Board (Fed) announced plans to purchase $85 billion per month of mortgage-backed and Treasury securities in an effort to hold down long-term interest rates, and to keep short term rates near zero until unemployment drops below 6.5% or inflation rises above 2.5%. In late 2013, the Fed announced that it would begin scaling back long-term bond purchases to $75 billion per month in January 2014 and reduce them further as conditions warranted; the Fed, however, would keep short-term rates near zero so long as unemployment and inflation had not crossed the previously stated thresholds. Long-term problems include stagnation of wages for lower-income families, inadequate investment in deteriorating infrastructure, rapidly rising medical and pension costs of an aging population, energy shortages, and sizable current account and budget deficits. |
| GDP (purchasing power parity): | $16.72 trillion (2013 est.) |
| GDP (purchasing power parity): | $16.47 trillion (2012 est.) |
| GDP (purchasing power parity): | $16.02 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $16.72 trillion (2013 est.) |
| GDP - real growth rate: | 1.6% (2013 est.) |
| GDP - real growth rate: | 2.8% (2012 est.) |
| GDP - real growth rate: | 1.8% (2011 est.) |
| GDP - per capita (PPP): | $52,800 (2013 est.) |
| GDP - per capita (PPP): | $52,400 (2012 est.) |
| GDP - per capita (PPP): | $51,400 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 13.5% of GDP (2013 est.) |
| Gross national saving: | 12.5% of GDP (2012 est.) |
| Gross national saving: | 11.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 68.6% |
| GDP - composition, by end use: | government consumption: 18.6% |
| GDP - composition, by end use: | investment in fixed capital: 15.3% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 13.4% |
| GDP - composition, by end use: | imports of goods and services: -16.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% |
| GDP - composition, by sector of origin: | industry: 19.5% |
| GDP - composition, by sector of origin: | services: 79.4% |
| GDP - composition, by sector of origin: | (2013 est.) |
| Agriculture - products: | wheat, corn, other grains, fruits, vegetables, cotton; beef, pork, poultry, dairy products; fish; forest products |
| Industries: | highly diversified, world leading, high-technology innovator, second largest industrial output in world; petroleum, steel, motor vehicles, aerospace, telecommunications, chemicals, electronics, food processing, consumer goods, lumber, mining |
| Industrial production growth rate: | 2.5% (2013 est.) |
| Labor force: | 155.4 million |
| Labor force: | note: includes unemployed (2013 est.) |
| Labor force - by occupation: | farming, forestry, and fishing: 0.7% |
| Labor force - by occupation: | manufacturing, extraction, transportation, and crafts: 20.3% |
| Labor force - by occupation: | managerial, professional, and technical: 37.3% |
| Labor force - by occupation: | sales and office: 24.2% |
| Labor force - by occupation: | other services: 17.6% |
| Labor force - by occupation: | note: figures exclude the unemployed |
| Labor force - by occupation: | (2009) |
| Unemployment rate: | 7.3% (2013 est.) |
| Unemployment rate: | 8.1% (2012 est.) |
| Population below poverty line: | 15.1% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 30% (2007 est.) |
| Distribution of family income - Gini index: | 45 (2007) |
| Distribution of family income - Gini index: | 40.8 (1997) |
| Budget: | revenues: $2.849 trillion |
| Budget: | expenditures: $3.517 trillion |
| Budget: | note: for the US, revenues exclude social contributions of approximately $1.0 trillion; expenditures exclude social benefits of approximately $2.3 trillion (2013 est.) |
| Taxes and other revenues: | 17% of GDP |
| Taxes and other revenues: | note: excludes contributions for social security and other programs; if social contributions were added, taxes and other revenues would amount to approximately 22% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2013 est.) |
| Public debt: | 71.8% of GDP (2013 est.) |
| Public debt: | 70% of GDP (2012 est.) |
| Public debt: | note: data cover only what the United States Treasury denotes as "Debt Held by the Public," which includes all debt instruments issued by the Treasury that are owned by non-US Government entities; the data include Treasury debt held by foreign entities; the data exclude debt issued by individual US states, as well as intra-governmental debt; intra-governmental debt consists of Treasury borrowings from surpluses in the trusts for Federal Social Security, Federal Employees, Hospital Insurance (Medicare and Medicaid), Disability and Unemployment, and several other smaller trusts; if data for intra-government debt were added, "Gross Debt" would increase by about one-third of GDP |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 1.5% (2013 est.) |
| Inflation rate (consumer prices): | 2.1% (2012 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 3.3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 3.25% (31 December 2012 est.) |
| Stock of narrow money: | $2.612 trillion (31 December 2013 est.) |
| Stock of narrow money: | $2.311 trillion (31 December 2012 est.) |
| Stock of broad money: | $12.99 trillion (31 December 2011 est.) |
| Stock of broad money: | $12.07 trillion (31 December 2010 est.) |
| Stock of domestic credit: | $16.97 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $16.17 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $18.67 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $15.64 trillion (31 December 2011) |
| Market value of publicly traded shares: | $17.14 trillion (31 December 2010 est.) |
| Current account balance: | -$360.7 billion (2013 est.) |
| Current account balance: | -$440.4 billion (2012 est.) |
| Exports: | $1.575 trillion (2013 est.) |
| Exports: | $1.561 trillion (2012 est.) |
| Exports - commodities: | agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0% |
| Exports - partners: | Canada 18.9%, Mexico 14%, China 7.2%, Japan 4.5% (2012) |
| Imports: | $2.273 trillion (2013 est.) |
| Imports: | $2.303 trillion (2012 est.) |
