| Economy | PANAMA |
| --- | --- |
| Economy - overview: | Panama's dollar-based economy rests primarily on a well-developed services sector that accounts for more than three-quarters of GDP. Services include operating the Panama Canal, logistics, banking, the Colon Free Trade Zone, insurance, container ports, flagship registry, and tourism and Panama is a center for offshore banking. Panama's transportation and logistics services sectors, along with infrastructure development projects, have boosted economic growth; however, public debt surpassed $37 billion in 2016 because of excessive government spending and public works projects. The US-Panama Trade Promotion Agreement was approved by Congress and signed into law in October 2011, and entered into force in October 2012. |
| Economy - overview: | Future growth will be bolstered by the Panama Canal expansion project that began in 2007 and was completed in 2016 at a cost of $5.3 billion - about 10-15% of current GDP. The expansion project will more than double the Canal's capacity, enabling it to accommodate high-capacity vessels such as tankers and neopanamax vessels that are too large to traverse the existing canal. The US and China are the top users of the Canal. |
| Economy - overview: | Strong economic performance has not translated into broadly shared prosperity, as Panama has the second worst income distribution in Latin America. About one-fourth of the population lives in poverty; however, from 2006 to 2012 poverty was reduced by 10 percentage points. |
| GDP (purchasing power parity): | $92.81 billion (2016 est.) |
| GDP (purchasing power parity): | $87.38 billion (2015 est.) |
| GDP (purchasing power parity): | $81.73 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $55.19 billion (2016 est.) |
| GDP - real growth rate: | 4.9% (2016 est.) |
| GDP - real growth rate: | 5.8% (2015 est.) |
| GDP - real growth rate: | 6.1% (2014 est.) |
| GDP - per capita (PPP): | $23,000 (2016 est.) |
| GDP - per capita (PPP): | $22,300 (2015 est.) |
| GDP - per capita (PPP): | $21,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 40.6% of GDP (2016 est.) |
| Gross national saving: | 39.3% of GDP (2015 est.) |
| Gross national saving: | 33.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 48.8% |
| GDP - composition, by end use: | government consumption: 10.2% |
| GDP - composition, by end use: | investment in fixed capital: 42.8% |
| GDP - composition, by end use: | investment in inventories: 3.4% |
| GDP - composition, by end use: | exports of goods and services: 50.8% |
| GDP - composition, by end use: | imports of goods and services: -55.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.5% |
| GDP - composition, by sector of origin: | industry: 15.5% |
| GDP - composition, by sector of origin: | services: 76.7% (2016 est.) |
| Agriculture - products: | bananas, rice, corn, coffee, sugarcane, vegetables; livestock; shrimp |
| Industries: | construction, brewing, cement and other construction materials, sugar milling |
| Industrial production growth rate: | 6.3% (2016 est.) |
| Labor force: | 1.61 million |
| Labor force: | note: shortage of skilled labor, but an oversupply of unskilled labor (2016 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 18.6% |
| Labor force - by occupation: | services: 64.4% (2009 est.) |
| Unemployment rate: | 5.5% (2016 est.) |
| Unemployment rate: | 4.5% (2015 est.) |
| Population below poverty line: | 23% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.1% |
| Household income or consumption by percentage share: | highest 10%: 38.9% (2014 est.) |
| Distribution of family income - Gini index: | 50.7 (2014 est.) |
| Distribution of family income - Gini index: | 56.1 (2003) |
| Budget: | revenues: $11.61 billion |
| Budget: | expenditures: $12.67 billion (2016 est.) |
| Taxes and other revenues: | 21.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2016 est.) |
| Public debt: | 38.6% of GDP (2016 est.) |
| Public debt: | 39% of GDP (2015 est.) |
