| Economy | PANAMA |
| --- | --- |
| Economy - overview: | Panama's dollar-based economy rests primarily on a well-developed services sector that accounts for more than three-quarters of GDP. Services include operating the Panama Canal, logistics, banking, the Colon Free Trade Zone, insurance, container ports, flagship registry, and tourism. Economic growth will be bolstered by the Panama Canal expansion project that began in 2007 and is estimated to be completed by 2016 at a cost of $5.3 billion - about 10-15% of current GDP. The expansion project will more than double the Canal's capacity, enabling it to accommodate ships that are too large to traverse the existing canal. The United States and China are the top users of the Canal. Panama completed a metro system in Panama City, valued at $1.2 billion in 2014. Panama's transportation and logistics services sectors, along with infrastructure development projects, have boosted economic growth; however, public debt surpassed $17 billion in 2014 because of excessive government spending and public works projects. Foreign direct investment has continued to be a source of growth. Strong economic performance has not translated into broadly shared prosperity, as Panama has the second worst income distribution in Latin America. About one-fourth of the population lives in poverty; however, from 2006 to 2012 poverty was reduced by 10 percentage points. The US-Panama Trade Promotion Agreement was approved by Congress and signed into law in October 2011, and entered into force in October 2012. |
| GDP (purchasing power parity): | $76.42 billion (2014 est.) |
| GDP (purchasing power parity): | $71.95 billion (2013 est.) |
| GDP (purchasing power parity): | $66.39 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $43.78 billion (2014 est.) |
| GDP - real growth rate: | 6.2% (2014 est.) |
| GDP - real growth rate: | 8.4% (2013 est.) |
| GDP - real growth rate: | 10.7% (2012 est.) |
| GDP - per capita (PPP): | $19,500 (2014 est.) |
| GDP - per capita (PPP): | $18,300 (2013 est.) |
| GDP - per capita (PPP): | $16,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 17.8% of GDP (2014 est.) |
| Gross national saving: | 17.8% of GDP (2013 est.) |
| Gross national saving: | 18.8% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 52.9% |
| GDP - composition, by end use: | government consumption: 11.3% |
| GDP - composition, by end use: | investment in fixed capital: 28.7% |
| GDP - composition, by end use: | investment in inventories: 5.8% |
| GDP - composition, by end use: | exports of goods and services: 75.3% |
| GDP - composition, by end use: | imports of goods and services: -74% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.9% |
| GDP - composition, by sector of origin: | industry: 14.1% |
| GDP - composition, by sector of origin: | services: 83% (2014 est.) |
| Agriculture - products: | bananas, rice, corn, coffee, sugarcane, vegetables; livestock; shrimp |
| Industries: | construction, brewing, cement and other construction materials, sugar milling |
| Industrial production growth rate: | 8.2% (2014 est.) |
| Labor force: | 1.563 million |
| Labor force: | note: shortage of skilled labor, but an oversupply of unskilled labor (2014 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 18.6% |
| Labor force - by occupation: | services: 64.4% (2009 est.) |
| Unemployment rate: | 4.1% (2014 est.) |
| Unemployment rate: | 4.1% (2013 est.) |
| Population below poverty line: | 26% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.1% |
| Household income or consumption by percentage share: | highest 10%: 40.1% (2010 est.) |
| Distribution of family income - Gini index: | 51.9 (2010 est.) |
| Distribution of family income - Gini index: | 56.1 (2003) |
| Budget: | revenues: $10.86 billion |
| Budget: | expenditures: $12.69 billion (2014 est.) |
| Taxes and other revenues: | 24.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.1% of GDP (2014 est.) |
| Public debt: | 37.2% of GDP (2014 est.) |
| Public debt: | 36.8% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.6% (2014 est.) |
| Inflation rate (consumer prices): | 4% (2013 est.) |
| Commercial bank prime lending rate: | 6.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6.59% (31 December 2013 est.) |
| Stock of narrow money: | $6.887 billion (31 December 2014 est.) |
| Stock of narrow money: | $6.347 billion (31 December 2013 est.) |
| Stock of broad money: | $28.22 billion (31 December 2014 est.) |
| Stock of broad money: | $25.81 billion (31 December 2013 est.) |
| Stock of domestic credit: | $40.11 billion (31 December 2014 est.) |
| Stock of domestic credit: | $28.83 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $12.54 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2011) |
| Market value of publicly traded shares: | $8.348 billion (31 December 2010 est.) |
| Current account balance: | -$5.257 billion (2014 est.) |
| Current account balance: | -$4.806 billion (2013 est.) |
| Exports: | $18.07 billion (2014 est.) |
| Exports: | $17.5 billion (2013 est.) |
| Exports: | note: includes the Colon Free Zone |
| Exports - commodities: | fruit and nuts, fish, iron and steel waste, wood |
| Exports - partners: | US 19.8%, Germany 10.7%, China 8.5%, Costa Rica 6.7%, Netherlands 5.2%, Vietnam 4.3% (2014) |
| Imports: | $25.65 billion (2014 est.) |
| Imports: | $24.26 billion (2013 est.) |
| Imports: | note: includes the Colon Free Zone |
| Imports - commodities: | fuels, machinery, vehicles, iron and steel rods, pharmaceuticals |
| Imports - partners: | US 25.1%, China 8.1%, Mexico 4.2% (2014) |
| Reserves of foreign exchange and gold: | $3.048 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $2.848 billion (31 December 2013 est.) |
| Debt - external: | $15.47 billion (31 December 2014 est.) |
| Debt - external: | $13.88 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $39.39 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $35.69 billion (31 December 2013 est.) |
