| Economy | Uganda |
| --- | --- |
| Economy - overview: | Uganda has substantial natural resources, including fertile soils, regular rainfall, small deposits of copper, gold, and other minerals, and recently discovered oil. Uganda has never conducted a national minerals survey. Agriculture is the most important sector of the economy, employing over 80% of the work force. Coffee accounts for the bulk of export revenues. Since 1986, the government - with the support of foreign countries and international agencies - has acted to rehabilitate and stabilize the economy by undertaking currency reform, raising producer prices on export crops, increasing prices of petroleum products, and improving civil service wages. The policy changes are especially aimed at dampening inflation and boosting production and export earnings. Since 1990 economic reforms ushered in an era of solid economic growth based on continued investment in infrastructure, improved incentives for production and exports, lower inflation, better domestic security, and the return of exiled Indian-Ugandan entrepreneurs. The global economic downturn hurt Uganda's exports; however, Uganda's GDP growth has largely recovered due to past reforms and sound management of the downturn. Oil revenues and taxes will become a larger source of government funding as oil comes on line in the next few years. Instability in South Sudan is a risk for the Ugandan economy because Uganda's main export partner is Sudan, and Uganda is a key destination for Sudanese refugees. Unreliable power, high energy costs, inadequate transportation infrastructure, and corruption inhibit economic development and investor confidence. |
| GDP (purchasing power parity): | $54.37 billion (2013 est.) |
| GDP (purchasing power parity): | $51.47 billion (2012 est.) |
| GDP (purchasing power parity): | $50.08 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $22.6 billion (2013 est.) |
| GDP - real growth rate: | 5.6% (2013 est.) |
| GDP - real growth rate: | 2.8% (2012 est.) |
| GDP - real growth rate: | 6.2% (2011 est.) |
| GDP - per capita (PPP): | $1,500 (2013 est.) |
| GDP - per capita (PPP): | $1,400 (2012 est.) |
| GDP - per capita (PPP): | $1,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 17.4% of GDP (2013 est.) |
| Gross national saving: | 14.7% of GDP (2012 est.) |
| Gross national saving: | 13.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 82.3% |
| GDP - composition, by end use: | government consumption: 7.6% |
| GDP - composition, by end use: | investment in fixed capital: 25.5% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 22.8% |
| GDP - composition, by end use: | imports of goods and services: -38.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 23.1% |
| GDP - composition, by sector of origin: | industry: 26.9% |
| GDP - composition, by sector of origin: | services: 50% (2013 est.) |
| Agriculture - products: | coffee, tea, cotton, tobacco, cassava (manioc, tapioca), potatoes, corn, millet, pulses, cut flowers; beef, goat meat, milk, poultry |
| Industries: | sugar, brewing, tobacco, cotton textiles; cement, steel production |
| Industrial production growth rate: | 3.8% (2013 est.) |
| Labor force: | 17.4 million (2013 est.) |
| Labor force - by occupation: | agriculture: 82% |
| Labor force - by occupation: | industry: 5% |
| Labor force - by occupation: | services: 13% (1999 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 24.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2009 est.) |
| Distribution of family income - Gini index: | 44.3 (2009) |
| Distribution of family income - Gini index: | 45.7 (2002) |
| Budget: | revenues: $3.2 billion |
| Budget: | expenditures: $3.803 billion (2013 est.) |
| Taxes and other revenues: | 14.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2013 est.) |
| Public debt: | 30.7% of GDP (2013 est.) |
| Public debt: | 26.3% of GDP (2012 est.) |
| Fiscal year: | 1 July - 30 June |
