| Economy | UGANDA |
| --- | --- |
| Economy - overview: | Uganda has substantial natural resources, including fertile soils, regular rainfall, small deposits of copper, gold, and other minerals, and recently discovered oil. Agriculture is the most important sector of the economy, employing more than one-third of the work force. Coffee accounts for the bulk of export revenues. Uganda has a small industrial sector that is dependent on imported inputs like oil and equipment. Overall productivity is hampered by a number of supply-side constraints, including underinvestment in an agricultural sector that continues to rely on rudimentary technology. Industrial growth is impeded by high-costs due to poor infrastructure, low levels of private investment, and the depreciation of the Ugandan shilling. |
| Economy - overview: | Since 1986, the government - with the support of foreign countries and international agencies - has acted to rehabilitate and stabilize the economy by undertaking currency reform, raising producer prices on export crops, increasing prices of petroleum products, and improving civil service wages. The policy changes were especially aimed at dampening inflation while encouraging foreign investment to boost production and export earnings. Since 1990, economic reforms ushered in an era of solid economic growth based on continued investment in infrastructure, improved incentives for production and exports, lower inflation, and better domestic security. |
| Economy - overview: | The global economic downturn in 2008 hurt Uganda's exports; however, Uganda's GDP growth has largely recovered due to past reforms and a rapidly growing urban consumer population. Oil revenues and taxes are expected to become a larger source of government funding as production starts in the next five to 10 years. However, lower oil prices since 2014 and protracted negotiations and legal disputes between the Ugandan government and oil companies may prove a stumbling block to further exploration and development. |
| Economy - overview: | Uganda faces many economic challenges. Instability in South Sudan has led to a sharp increase in Sudanese refugees and is disrupting Uganda's main export market. High energy costs, inadequate transportation and energy infrastructure, insufficient budgetary discipline, and corruption inhibit economic development and investor confidence. During 2015 and 2016, the Uganda shilling depreciated 50% against the dollar. |
| Economy - overview: | The budget is dominated by energy and road infrastructure spending, while relying on donor support for long-term drivers of growth, including agriculture, health, and education. The largest infrastructure projects are externally financed through low-interest concessional loans. As a result, debt servicing for these loans is expected to rise. |
| GDP (purchasing power parity): | $83.39 billion (2016 est.) |
| GDP (purchasing power parity): | $80.47 billion (2015 est.) |
| GDP (purchasing power parity): | $75.33 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $25.31 billion (2016 est.) |
| GDP - real growth rate: | 2.3% (2016 est.) |
| GDP - real growth rate: | 5.7% (2015 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - per capita (PPP): | $2,300 (2016 est.) |
| GDP - per capita (PPP): | $2,300 (2015 est.) |
| GDP - per capita (PPP): | $2,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 20.1% of GDP (2016 est.) |
| Gross national saving: | 17.7% of GDP (2015 est.) |
| Gross national saving: | 17.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 77.4% |
| GDP - composition, by end use: | government consumption: 10.2% |
| GDP - composition, by end use: | investment in fixed capital: 24.8% |
| GDP - composition, by end use: | investment in inventories: -5.8% |
| GDP - composition, by end use: | exports of goods and services: 18.8% |
| GDP - composition, by end use: | imports of goods and services: -25.4% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 25.4% |
| GDP - composition, by sector of origin: | industry: 22.7% |
| GDP - composition, by sector of origin: | services: 51.9% (2016 est.) |
| Agriculture - products: | coffee, tea, cotton, tobacco, cassava (manioc, tapioca), potatoes, corn, millet, pulses, cut flowers; beef, goat meat, milk, poultry, and fish |
| Industries: | sugar processing, brewing, tobacco, cotton textiles; cement, steel production |
| Industrial production growth rate: | 3.8% (2016 est.) |
| Labor force: | 19.4 million (2016 est.) |
| Labor force - by occupation: | agriculture: 71.9% |
| Labor force - by occupation: | industry: 4.4% |
| Labor force - by occupation: | services: 23.7% (2013 est.) |
| Unemployment rate: | 9.4% (2013 est.) |
| Population below poverty line: | 19.7% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2009 est.) |
| Distribution of family income - Gini index: | 39.5 (2013) |
| Distribution of family income - Gini index: | 45.7 (2002) |
| Budget: | revenues: $3.696 billion |
| Budget: | expenditures: $4.885 billion (2016 est.) |
| Taxes and other revenues: | 14.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2016 est.) |
| Public debt: | 37.8% of GDP (2016 est.) |
| Public debt: | 30.7% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 5.5% (2016 est.) |
| Inflation rate (consumer prices): | 3.9% (2015 est.) |
| Central bank discount rate: | 14% (December 2014) |
| Central bank discount rate: | 17% (30 March 2016) |
| Commercial bank prime lending rate: | 23.89% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 22.6% (31 December 2015 est.) |
| Stock of narrow money: | $2.167 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.029 billion (31 December 2015 est.) |
| Stock of broad money: | $3.674 billion (31 December 2016 est.) |
| Stock of broad money: | $3.458 billion (31 December 2015 est.) |
