| Economy | Uganda |
| --- | --- |
| Economic overview: | Uganda has substantial natural resources, including fertile soils, regular rainfall, substantial reserves of recoverable oil, and small deposits of copper, gold, and other minerals. Agriculture is one of the most important sectors of the economy, employing 72% of the work force. The countryâ€™s export market suffered a major slump following the outbreak of conflict in South Sudan, but has recovered lately, largely due to record coffee harvests, which account for 16% of exports, and increasing gold exports, which account for 10% of exports. Uganda has a small industrial sector that is dependent on imported inputs such as refined oil and heavy equipment. Overall, productivity is hampered by a number of supply-side constraints, including insufficient infrastructure, lack of modern technology in agriculture, and corruption. |
| Economic overview: | Ugandaâ€™s economic growth has slowed since 2016 as government spending and public debt has grown. Ugandaâ€™s budget is dominated by energy and road infrastructure spending, while Uganda relies on donor support for long-term drivers of growth, including agriculture, health, and education. The largest infrastructure projects are externally financed through concessional loans, but at inflated costs. As a result, debt servicing for these loans is expected to rise. |
| Economic overview: | Oil revenues and taxes are expected to become a larger source of government funding as oil production starts in the next three to 10 years. Over the next three to five years, foreign investors are planning to invest $9 billion in production facilities projects, $4 billion in an export pipeline, as well as in a $2-3 billion refinery to produce petroleum products for the domestic and East African Community markets. Furthermore, the government is looking to build several hundred million dollarsâ€™ worth of highway projects to the oil region. |
| Economic overview: | Uganda faces many economic challenges. Instability in South Sudan has led to a sharp increase in Sudanese refugees and is disrupting Uganda's main export market. Additional economic risks include: poor economic management, endemic corruption, and the governmentâ€™s failure to invest adequately in the health, education, and economic opportunities for a burgeoning young population. Uganda has one of the lowest electrification rates in Africa - only 22% of Ugandans have access to electricity, dropping to 10% in rural areas. |
| GDP real growth rate: | 4.8% (2017 est.) |
| GDP real growth rate: | 2.3% (2016 est.) |
| GDP real growth rate: | 5.7% (2015 est.) |
| Inflation rate (consumer prices): | 2.8% (2019 est.) |
| Inflation rate (consumer prices): | 2.6% (2018 est.) |
| Inflation rate (consumer prices): | 5.6% (2017 est.) |
| Credit ratings: | Fitch rating: B+ (2015) |
| Credit ratings: | Moody's rating: B2 (2016) |
| Credit ratings: | Standard & Poors rating: B (2014) |
| GDP (purchasing power parity) - real: | $89.19 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $85.07 billion (2016 est.) |
| GDP (purchasing power parity) - real: | $83.14 billion (2015 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $34.683 billion (2019 est.) |
| GDP - per capita (PPP): | $2,400 (2017 est.) |
| GDP - per capita (PPP): | $2,300 (2016 est.) |
| GDP - per capita (PPP): | $2,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 20.6% of GDP (2017 est.) |
| Gross national saving: | 21.5% of GDP (2016 est.) |
| Gross national saving: | 17.7% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 21.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 50.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 74.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.9% (2017 est.) |
