| Economy | Ethiopia |
| --- | --- |
| Economy - overview: | Ethiopia's economy is based on agriculture but the government is pushing to diversify into manufacturing, textiles, and energy generation.. Coffee is a major export crop. The agricultural sector suffers from poor cultivation practices and frequent drought, but recent joint efforts by the Government of Ethiopia and donors have strengthened Ethiopia's agricultural resilience, contributing to a reduction in the number of Ethiopians threatened with starvation. The banking, insurance, telecommunications, and micro-credit industries are restricted to domestic investors, but Ethiopia has attracted significant foreign investment in textiles, leather, commercial agriculture and manufacturing. Under Ethiopia's constitution, the state owns all land and provides long-term leases to the tenants; land use certificates are now being issued in some areas so that tenants have more recognizable rights to continued occupancy and hence make more concerted efforts to improve their leaseholds. While GDP growth has remained high, per capita income is among the lowest in the world. Ethiopia's economy continues on its state-led Growth and Transformation Plan under the new collective leadership that followed Prime Minister MELES’s death. The five-year economic plan has achieved high single-digit growth rates through government-led infrastructure expansion and commercial agriculture development. Ethiopia in 2014 will continue construction of its Grand Renaissance Dam on the Nile – a controversial five billion dollar effort to develop electricity for domestic consumption and export. |
| GDP (purchasing power parity): | $118.2 billion (2013 est.) |
| GDP (purchasing power parity): | $110.4 billion (2012 est.) |
| GDP (purchasing power parity): | $101.8 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $47.34 billion (2013 est.) |
| GDP - real growth rate: | 7% (2013 est.) |
| GDP - real growth rate: | 8.5% (2012 est.) |
| GDP - real growth rate: | 11.4% (2011 est.) |
| GDP - per capita (PPP): | $1,300 (2013 est.) |
| GDP - per capita (PPP): | $1,300 (2012 est.) |
| GDP - per capita (PPP): | $1,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 18.8% of GDP (2013 est.) |
| Gross national saving: | 18.2% of GDP (2012 est.) |
| Gross national saving: | 22.9% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 83.1% |
| GDP - composition, by end use: | government consumption: 8.6% |
| GDP - composition, by end use: | investment in fixed capital: 26.1% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 11.5% |
| GDP - composition, by end use: | imports of goods and services: -29.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 47% |
| GDP - composition, by sector of origin: | industry: 10.8% |
| GDP - composition, by sector of origin: | services: 42.2% (2013 est.) |
| Agriculture - products: | cereals, pulses, coffee, oilseed, cotton, sugarcane, potatoes, khat, cut flowers; hides, cattle, sheep, goats; fish |
| Industries: | food processing, beverages, textiles, leather, chemicals, metals processing, cement |
| Industrial production growth rate: | 9% (2013 est.) |
| Labor force: | 45.65 million (2013 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: 5% |
| Labor force - by occupation: | services: 10% (2009 est.) |
| Unemployment rate: | 17.5% (2012 est.) |
| Unemployment rate: | 18% (2011 est.) |
| Population below poverty line: | 39% (2012 est.) |
