| Economy | NORWAY |
| --- | --- |
| Economy - overview: | Norway has a stable economy with a vibrant private sector, a large state sector, and an extensive social safety net. Norway opted out of the EU during a referendum in November 1994; nonetheless, as a member of the European Economic Area, it contributes sizably to the EU budget. |
| Economy - overview: | The country is richly endowed with natural resources in addition to oil and gas, including hydropower, fish, forests, and minerals. Norway is a leading producer and the world’s second largest exporter of seafood, after China. The government manages the country’s petroleum resources through extensive regulation. The petroleum sector provides about 9% of jobs, 12% of GDP, 13% of the state’s revenue, and 37% of exports, according to official national estimates. Norway is one of the world's leading petroleum exporters, though oil production in 2016 was close to 50% below its peak in 2000; annual gas production, conversely, more than doubled over the same time period. After a continual decline from 2001 to 2013, oil production rose in 2016 for the third year running, due to the higher production of existing oil fields and to new fields coming on stream. |
| Economy - overview: | In anticipation of eventual declines in oil and gas production, Norway saves state revenue from petroleum sector activities in the world's largest sovereign wealth fund, valued at almost $900 billion as of early 2017. To help balance the federal budget each year, the government follows a “fiscal rule,” which states that spending of revenues from petroleum and fund investments shall correspond to the expected real rate of return on the fund, an amount it estimates is sustainable over time. In February 2017, the government revised the expected rate of return for the fund downward from 4% to 3%. |
| Economy - overview: | After solid GDP growth in the 2004-07 period, the economy slowed in 2008, and contracted in 2009, before returning to modest, positive growth from 2010 to 2016. Lower oil prices in 2015 and 2016 caused growth to slow, increased unemployment, and weakened the Norwegian krone. The latter trend has mitigated the negative impact of lower oil and gas prices by making Norwegian exports cheaper for foreign buyers. The government has expressed willingness to increase public spending from the sovereign wealth fund to help prevent a recession. |
| GDP (purchasing power parity): | $364.5 billion (2016 est.) |
| GDP (purchasing power parity): | $356.1 billion (2015 est.) |
| GDP (purchasing power parity): | $346.7 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $370.6 billion (2016 est.) |
| GDP - real growth rate: | 1.1% (2016 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 1.9% (2014 est.) |
| GDP - per capita (PPP): | $69,400 (2016 est.) |
| GDP - per capita (PPP): | $69,300 (2015 est.) |
| GDP - per capita (PPP): | $68,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 34.1% of GDP (2016 est.) |
| Gross national saving: | 36.9% of GDP (2015 est.) |
| Gross national saving: | 39.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 45.2% |
| GDP - composition, by end use: | government consumption: 24.5% |
| GDP - composition, by end use: | investment in fixed capital: 24% |
| GDP - composition, by end use: | investment in inventories: 5.3% |
| GDP - composition, by end use: | exports of goods and services: 34% |
| GDP - composition, by end use: | imports of goods and services: -33% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.5% |
| GDP - composition, by sector of origin: | industry: 31.7% |
| GDP - composition, by sector of origin: | services: 65.8% (2016 est.) |
| Agriculture - products: | barley, wheat, potatoes; pork, beef, veal, milk; fish |
| Industries: | petroleum and gas, shipping, fishing, aquaculture, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles |
| Industrial production growth rate: | 0.4% (2016 est.) |
