| Economy | NORWAY |
| --- | --- |
| Economy - overview: | The Norwegian economy is a prosperous mixed economy, with a vibrant private sector, a large state sector, and an extensive social safety net. The government controls key areas, such as the vital petroleum sector, through extensive regulation and large-scale state-majority-owned enterprises. The country is richly endowed with natural resources - petroleum, hydropower, fish, forests, and minerals - and is highly dependent on the petroleum sector, which accounts for the largest portion of export revenue and about 30% of government revenue. Norway is the world's third-largest natural gas exporter; and seventh largest oil exporter, making one of its largest offshore oil finds in 2011. Norway opted to stay out of the EU during a referendum in November 1994; nonetheless, as a member of the European Economic Area, it contributes sizably to the EU budget. In anticipation of eventual declines in oil and gas production, Norway saves state revenue from the petroleum sector in the world's largest sovereign wealth fund, valued at over $870 billion in December 2014 and annually uses up to 4% of the fund, it&rsquo;s projected long term return, to help finance public expenses. After solid GDP growth in 2004-07, the economy slowed in 2008, and contracted in 2009, before returning to positive growth in 2010-14. Nevertheless, the government budget remains in surplus. Lower oil prices in 2015 may cause the economy to contract as higher costs production costs in the North Sea deter investment. |
| GDP (purchasing power parity): | $345.2 billion (2014 est.) |
| GDP (purchasing power parity): | $337.6 billion (2013 est.) |
| GDP (purchasing power parity): | $335.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $500.2 billion (2014 est.) |
| GDP - real growth rate: | 2.2% (2014 est.) |
| GDP - real growth rate: | 0.7% (2013 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - per capita (PPP): | $66,900 (2014 est.) |
| GDP - per capita (PPP): | $65,500 (2013 est.) |
| GDP - per capita (PPP): | $65,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 37.2% of GDP (2014 est.) |
| Gross national saving: | 38.3% of GDP (2013 est.) |
| Gross national saving: | 39% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 41.1% |
| GDP - composition, by end use: | government consumption: 21.3% |
| GDP - composition, by end use: | investment in fixed capital: 22.3% |
| GDP - composition, by end use: | investment in inventories: 3.8% |
| GDP - composition, by end use: | exports of goods and services: 39% |
