| Economy | BOLIVIA |
| --- | --- |
| Economy - overview: | Bolivia is a resource rich country with strong growth attributed to captive markets for natural gas exports – to Brazil and Argentina. Gas accounts for roughly 50% of Bolivia's total exports and will fund more than half of its 2015 budget. However, the country remains one of the least developed countries in Latin America because of state-oriented policies that deter investment and growth. |
| Economy - overview: | Following a disastrous economic crisis during the early 1980s, reforms spurred private investment, stimulated economic growth, and cut poverty rates in the 1990s. The period 2003-05 was characterized by political instability, racial tensions, and violent protests against plans - subsequently abandoned - to export Bolivia's newly discovered natural gas reserves to large Northern Hemisphere markets. In 2005, the government passed a controversial hydrocarbons law that imposed significantly higher royalties and required foreign firms then operating under risk-sharing contracts to surrender all production to the state energy company in exchange for a predetermined service fee. The global recession slowed growth, but Bolivia recorded the highest growth rate in South America during 2009 and has averaged 5.3% growth each year since 2009. High commodity prices between 2010 and 2013 sustained rapid growth and large trade surpluses. The global decline in oil prices in late 2014 exerted downward pressure on the price Bolivia receives for exported gas and resulted in lower GDP growth rates and losses in government revenue in 2015. |
| Economy - overview: | A lack of foreign investment in the key sectors of mining and hydrocarbons, along with conflict among social groups, pose challenges for the Bolivian economy. In 2015, President Evo MORALES expanded efforts to court international investment and boost Bolivia’s energy production capacity. MORALES passed an investment law and promised not to nationalize additional industries in an effort to improve the investment climate. |
| GDP (purchasing power parity): | $74.39 billion (2015 est.) |
| GDP (purchasing power parity): | $70.98 billion (2014 est.) |
| GDP (purchasing power parity): | $67.31 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $33.21 billion (2015 est.) |
| GDP - real growth rate: | 4.8% (2015 est.) |
| GDP - real growth rate: | 5.5% (2014 est.) |
| GDP - real growth rate: | 6.8% (2013 est.) |
| GDP - per capita (PPP): | $6,500 (2015 est.) |
| GDP - per capita (PPP): | $6,300 (2014 est.) |
| GDP - per capita (PPP): | $6,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.7% of GDP (2015 est.) |
| Gross national saving: | 21% of GDP (2014 est.) |
| Gross national saving: | 22.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 69.3% |
| GDP - composition, by end use: | government consumption: 17.5% |
| GDP - composition, by end use: | investment in fixed capital: 21.3% |
| GDP - composition, by end use: | investment in inventories: -2.1% |
| GDP - composition, by end use: | exports of goods and services: 30.9% |
| GDP - composition, by end use: | imports of goods and services: -36.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.5% |
| GDP - composition, by sector of origin: | industry: 38.6% |
| GDP - composition, by sector of origin: | services: 53.2% (2015 est.) |
| Agriculture - products: | soybeans, quinoa, Brazil nuts, sugarcane, coffee, corn, rice, potatoes, chia, coca |
| Industries: | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing, jewelry |
| Industrial production growth rate: | 2.6% (2015 est.) |
| Labor force: | 4.915 million (2015 est.) |
| Labor force - by occupation: | agriculture: 32% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 47.9% (2009 est.) |
| Unemployment rate: | 7.4% (2015 est.) |
| Unemployment rate: | 7.3% (2014 est.) |
| Unemployment rate: | note: data are for urban areas; widespread underemployment |
| Population below poverty line: | 45% |
| Population below poverty line: | note: based on percent of population living on less than the international standard of $2/day (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.8% |
