| Economy | Bolivia |
| --- | --- |
| Economy - overview: | Bolivia is one of the poorest and least developed countries in Latin America. Following a disastrous economic crisis during the early 1980s, reforms spurred private investment, stimulated economic growth, and cut poverty rates in the 1990s. The period 2003-05 was characterized by political instability, racial tensions, and violent protests against plans - subsequently abandoned - to export Bolivia's newly discovered natural gas reserves to large Northern Hemisphere markets. In 2005, the government passed a controversial hydrocarbons law that imposed significantly higher royalties and required foreign firms then operating under risk-sharing contracts to surrender all production to the state energy company in exchange for a predetermined service fee. The global recession slowed growth, but Bolivia recorded the highest growth rate in South America during 2009. During 2010-12 high world commodity prices sustained rapid growth and large trade surpluses. However, a lack of foreign investment in the key sectors of mining and hydrocarbons, along with growing conflict among social groups pose challenges for the Bolivian economy. |
| GDP (purchasing power parity): | $54.6 billion (2012 est.) |
| GDP (purchasing power parity): | $51.91 billion (2011 est.) |
| GDP (purchasing power parity): | $49.36 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $26.86 billion (2012 est.) |
| GDP - real growth rate: | 5.2% (2012 est.) |
| GDP - real growth rate: | 5.2% (2011 est.) |
| GDP - real growth rate: | 4.1% (2010 est.) |
| GDP - per capita (PPP): | $5,000 (2012 est.) |
| GDP - per capita (PPP): | $4,900 (2011 est.) |
| GDP - per capita (PPP): | $4,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 26.9% of GDP (2012 est.) |
| Gross national saving: | 31.9% of GDP (2011 est.) |
| Gross national saving: | 21.5% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 59.5% |
| GDP - composition, by end use: | government consumption: 13.5% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: -0.6% |
| GDP - composition, by end use: | exports of goods and services: 47.3% |
| GDP - composition, by end use: | imports of goods and services: -37.9% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.8% |
| GDP - composition, by sector of origin: | industry: 38.8% |
| GDP - composition, by sector of origin: | services: 52.5% (2012 est.) |
| Agriculture - products: | soybeans, coffee, coca, cotton, corn, sugarcane, rice, potatoes; Brazil nuts; timber |
| Industries: | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing, jewelry |
| Industrial production growth rate: | 5.2% (2012 est.) |
| Labor force: | 4.724 million (2012 est.) |
| Labor force - by occupation: | agriculture: 32% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 48% (2010 est.) |
| Unemployment rate: | 7.5% (2012 est.) |
| Unemployment rate: | 7.6% (2011 est.) |
| Unemployment rate: | note: data are for urban areas; widespread underemployment |
| Population below poverty line: | 49.6% |
| Population below poverty line: | note: based on percent of population living on less than the international standard of $2/day (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 45.4% (2007) |
| Distribution of family income - Gini index: | 53 (2010) |
| Distribution of family income - Gini index: | 57.9 (1999) |
| Budget: | revenues: $12.64 billion |
| Budget: | expenditures: $12.17 billion (2012 est.) |
| Taxes and other revenues: | 47.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 1.8% of GDP (2012 est.) |
| Public debt: | 34% of GDP (2012 est.) |
| Public debt: | 36.5% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Inflation rate (consumer prices): | 9.9% (2011 est.) |
| Central bank discount rate: | 4% (31 December 2011 est.) |
| Central bank discount rate: | 3% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 11.14% (31 December 2012 est.) |
