| Economy | UZBEKISTAN |
| --- | --- |
| Economy - overview: | Uzbekistan is a doubly landlocked country in which 51% of the population lives in urban settlements; the agriculture-rich Fergana Valley, in which Uzbekistan’s eastern borders are situated, has been counted among the most densely populated parts of Central Asia. Since its independence in September 1991, the government has largely maintained its Soviet-style command economy with subsidies and tight controls on production, prices, and access to foreign currency. Despite ongoing efforts to diversify crops, Uzbek agriculture remains largely centered on cotton; Uzbekistan is the world's fifth-largest cotton exporter and seventh-largest producer. Uzbekistan's growth has been driven primarily by state-led investments, and export of natural gas, gold, and cotton provides a significant share of foreign exchange earnings. In early 2016, Russia’s Gazprom announced it planned to increase purchases of Uzbek gas. |
| Economy - overview: | Aware of the need to improve the investment climate, the government is taking incremental steps to reform the business sector and address impediments to foreign investment in the country. Since the death of first President Islam KARIMOV, rhetorical emphasis on such initiatives and ostensible government efforts to seek input from the private sector have increased. In the past, Uzbek authorities have accused US and other foreign companies operating in Uzbekistan of violating Uzbek laws and have frozen and seized their assets. At the same time, the Uzbek Government has actively courted several major US and international corporations, offering financing and tax advantages. |
| Economy - overview: | In 2003, the government accepted Article VIII obligations under the IMF, providing for full currency convertibility. However, strict currency controls and tightening of borders have lessened the effects of convertibility and have also led to some shortages that have further stifled economic activity, and the government has lately raised the issue of currency reform in a number of official decrees and proclamations. Recently, lower global commodity prices and economic slowdown in neighboring Russia and China have been hurting Uzbekistan's trade and investment and worsening its problem of foreign currency shortage. |
| GDP (purchasing power parity): | $205.6 billion (2016 est.) |
| GDP (purchasing power parity): | $188.4 billion (2015 est.) |
| GDP (purchasing power parity): | $172.5 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $66.85 billion (2016 est.) |
| GDP - real growth rate: | 7.8% (2016 est.) |
| GDP - real growth rate: | 8% (2015 est.) |
| GDP - real growth rate: | 8.1% (2014 est.) |
| GDP - per capita (PPP): | $6,600 (2016 est.) |
| GDP - per capita (PPP): | $6,200 (2015 est.) |
| GDP - per capita (PPP): | $5,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 31.6% of GDP (2016 est.) |
| Gross national saving: | 31.6% of GDP (2015 est.) |
| Gross national saving: | 32.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 60.1% |
| GDP - composition, by end use: | government consumption: 16.5% |
| GDP - composition, by end use: | investment in fixed capital: 24.8% |
| GDP - composition, by end use: | investment in inventories: 3% |
| GDP - composition, by end use: | exports of goods and services: 19.9% |
| GDP - composition, by end use: | imports of goods and services: -21.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 18.5% |
| GDP - composition, by sector of origin: | industry: 34.6% |
| GDP - composition, by sector of origin: | services: 46.8% (2016 est.) |
| Agriculture - products: | cotton, vegetables, fruits, grain; livestock |
| Industries: | textiles, food processing, machine building, metallurgy, mining, hydrocarbon extraction, chemicals |
| Industrial production growth rate: | 4% (2016 est.) |
| Labor force: | 17.85 million (2016 est.) |
| Labor force - by occupation: | agriculture: 25.9% |
| Labor force - by occupation: | industry: 13.2% |
| Labor force - by occupation: | services: 60.9% (2012 est.) |
| Unemployment rate: | 4.9% (2016 est.) |
| Unemployment rate: | 4.9% (2015 est.) |
| Unemployment rate: | note: official data; another 20% are underemployed |
| Population below poverty line: | 14% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2003) |
| Distribution of family income - Gini index: | 36.8 (2003) |
| Distribution of family income - Gini index: | 44.7 (1998) |
| Budget: | revenues: $21.37 billion |
| Budget: | expenditures: $21.31 billion (2016 est.) |
| Taxes and other revenues: | 32.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.1% of GDP (2016 est.) |
| Public debt: | 15.4% of GDP (2016 est.) |
| Public debt: | 13.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8% (2016 est.) |
| Inflation rate (consumer prices): | 10% (2015 est.) |
| Inflation rate (consumer prices): | note: official data; based on independent analysis of consumer prices, inflation reached 22% in 2012 |
| Central bank discount rate: | 9% (2016) |
| Central bank discount rate: | 9% (2015) |
| Commercial bank prime lending rate: | 16% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 11.2% (31 December 2012 est.) |
| Stock of narrow money: | $7.555 billion (31 December 2016 est.) |
| Stock of narrow money: | $7.403 billion (31 December 2015 est.) |
| Stock of broad money: | $17.47 billion (31 December 2016 est.) |
| Stock of broad money: | $16.26 billion (31 December 2015 est.) |
| Stock of domestic credit: | $11.63 billion (31 December 2016 est.) |
| Stock of domestic credit: | $11.78 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA (31 December 2012) |
| Market value of publicly traded shares: | $715.3 million (31 December 2006) |
| Current account balance: | $498 million (2016 est.) |
| Current account balance: | $-159.7 million (2015 est.) |
| Exports: | $11.2 billion (2016 est.) |
| Exports: | $11.5 billion (2015 est.) |
| Exports - commodities: | energy products, cotton, gold, mineral fertilizers, ferrous and nonferrous metals, textiles, foodstuffs, machinery, automobiles |
| Exports - partners: | Switzerland 35.1%, China 19.7%, Russia 9.3%, Turkey 8.7%, Kazakhstan 7.2%, Bangladesh 5.4%, Afghanistan 4.9% (2016) |
| Imports: | $10.91 billion (2016 est.) |
| Imports: | $12 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, ferrous and nonferrous metals |
| Imports - partners: | China 22.2%, Russia 18%, South Korea 10.5%, Kazakhstan 10%, Turkey 5.8%, Germany 5.2% (2016) |
| Reserves of foreign exchange and gold: | $14 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $15 billion (31 December 2015 est.) |
| Debt - external: | $16.76 billion (31 December 2016 est.) |
| Debt - external: | $14.84 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
