| Economy | Jordan |
| --- | --- |
| Economy - overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources, underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of poverty, unemployment, inflation, and a large budget deficit. Since assuming the throne in 1999, King ABDALLAH has implemented significant economic reforms, such as opening the trade regime, privatizing state-owned companies, and eliminating some fuel subsidies, which in the last decade spurred economic growth by attracting foreign investment and creating some jobs. The global economic slowdown and regional turmoil, however, have depressed Jordan''s GDP growth, impacting export-oriented sectors, construction, and tourism. In 2011 and 2012, the government approved two economic relief packages and a budgetary supplement, meant to improve the living conditions for the middle and poor classes. Jordan''s finances have also been strained by a series of natural gas pipeline attacks in Egypt, causing Jordan to substitute more expensive diesel imports, primarily from Saudi Arabia, to generate electricity. Jordan is currently exploring nuclear power generation in addition to the exploitation of abundant oil shale reserves and renewable technologies to forestall energy shortfalls. In 2012, to correct budgetary and balance of payments imbalances, Jordan entered into a $2.1 billion, multiple year International Monetary Fund Stand-By Arrangement. Jordan''s financial sector has been relatively isolated from the international financial crisis because of its limited exposure to overseas capital markets. Jordan will continue to depend heavily on foreign assistance to finance the deficit in 2013. |
| GDP (purchasing power parity): | $38.24 billion (2012 est.) |
| GDP (purchasing power parity): | $37.2 billion (2011 est.) |
| GDP (purchasing power parity): | $36.26 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $30.79 billion (2012 est.) |
| GDP - real growth rate: | 2.8% (2012 est.) |
| GDP - real growth rate: | 2.6% (2011 est.) |
| GDP - real growth rate: | 2.3% (2010 est.) |
| GDP - per capita (PPP): | $6,000 (2012 est.) |
| GDP - per capita (PPP): | $5,900 (2011 est.) |
| GDP - per capita (PPP): | $5,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 24.7% of GDP (2012 est.) |
| Gross national saving: | 28.5% of GDP (2011 est.) |
| Gross national saving: | 19.3% of GDP (2010 est.) |
