| Economy | JORDAN |
| --- | --- |
| Economy - overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources, underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of poverty, unemployment and underemployment, budget and current account deficits, and government debt. |
| Economy - overview: | King ABDALLAH, during the first decade of the 2000s, implemented significant economic reforms, such as expanding foreign trade and privatizing state-owned companies that attracted foreign investment and contributed to average annual economic growth of 8% for 2004 through 2008. The global economic slowdown and regional turmoil contributed to slower growth from 2010 to 2016 - with growth averaging 2.8% per year - and hurt export-oriented sectors, construction, and tourism. Since the onset of the civil war in Syria and resulting refugee crisis, one of Jordan’s most pressing socioeconomic challenges has been managing the influx of 650,000 UN-registered refugees, more than 80% of whom live in Jordan’s urban areas. Jordan’s own official census estimated the refugee number at 1.3 million as of early 2016. |
| Economy - overview: | Jordan is nearly completely dependent on imported energy—mostly natural gas—and energy consistently makes up 25-30 percent of Jordan’s imports. To diversify its energy mix, Jordan has secured several contracts for liquefied natural gas and is currently exploring nuclear power generation, exploitation of abundant oil shale reserves and renewable technologies, as well as the import of Israeli offshore gas. In August 2016, Jordan and the IMF agreed to a $723 million Extended Fund Facility that aims to build on the three-year, $2.1 billion IMF program that ended in August 2015 with the goal of helping Jordan correct budgetary and balance of payments imbalances. |
| GDP (purchasing power parity): | $85.55 billion (2016 est.) |
| GDP (purchasing power parity): | $82.81 billion (2015 est.) |
| GDP (purchasing power parity): | $80.01 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $38.71 billion (2016 est.) |
| GDP - real growth rate: | 2% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 3.1% (2014 est.) |
| GDP - per capita (PPP): | $12,300 (2016 est.) |
| GDP - per capita (PPP): | $12,300 (2015 est.) |
| GDP - per capita (PPP): | $12,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 9.5% of GDP (2016 est.) |
| Gross national saving: | 10.2% of GDP (2015 est.) |
| Gross national saving: | 14% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 79.4% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 22.2% |
| GDP - composition, by end use: | investment in inventories: 1.9% |
| GDP - composition, by end use: | exports of goods and services: 33.6% |
| GDP - composition, by end use: | imports of goods and services: -56.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.3% |
| GDP - composition, by sector of origin: | industry: 28.9% |
| GDP - composition, by sector of origin: | services: 66.8% (2016 est.) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | tourism, information technology, clothing, fertilizer, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing |
| Industrial production growth rate: | 1% (2016 est.) |
| Labor force: | 2.205 million (2016 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78% (2013 est.) |
| Unemployment rate: | 15.3% (2016 est.) |
| Unemployment rate: | 13.1% (2015 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Distribution of family income - Gini index: | 39.7 (2007) |
| Distribution of family income - Gini index: | 36.4 (1997) |
| Budget: | revenues: $8.78 billion |
| Budget: | expenditures: $11.19 billion (2016 est.) |
