| Economy | Sweden |
| --- | --- |
| Economy - overview: | Aided by peace and neutrality for the whole of the 20th century, Sweden has achieved an enviable standard of living under a mixed system of high-tech capitalism and extensive welfare benefits. It has a modern distribution system, excellent internal and external communications, and a highly skilled labor force. In September 2003, Swedish voters turned down entry into the euro system concerned about the impact on the economy and sovereignty. Timber, hydropower, and iron ore constitute the resource base of an economy heavily oriented toward foreign trade. Privately owned firms account for vast majority of industrial output, of which the engineering sector accounts for about 50% of output and exports. Agriculture accounts for little more than 1% of GDP and of employment. Until 2008, Sweden was in the midst of a sustained economic upswing, boosted by increased domestic demand and strong exports. This and robust finances offered the center-right government considerable scope to implement its reform program aimed at increasing employment, reducing welfare dependence, and streamlining the state's role in the economy. Despite strong finances and underlying fundamentals, the Swedish economy slid into recession in the third quarter of 2008 and the contraction continued in 2009 as deteriorating global conditions reduced export demand and consumption. Strong exports of commodities and a return to profitability by Sweden's banking sector drove the strong rebound in 2010, which continued in 2011, but growth slipped to 1.2% in 2012. The government proposed stimulus measures in 2012 to curb the effects of a global economic slowdown and boost employment and growth. |
| GDP (purchasing power parity): | $385.1 billion (2012 est.) |
| GDP (purchasing power parity): | $381.5 billion (2011 est.) |
| GDP (purchasing power parity): | $370.6 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $516.7 billion (2012 est.) |
| GDP - real growth rate: | 1% (2012 est.) |
| GDP - real growth rate: | 2.9% (2011 est.) |
| GDP - real growth rate: | 6.6% (2010 est.) |
| GDP - per capita (PPP): | $40,300 (2012 est.) |
| GDP - per capita (PPP): | $40,200 (2011 est.) |
| GDP - per capita (PPP): | $39,400 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 25.8% of GDP (2012 est.) |
| Gross national saving: | 26.9% of GDP (2011 est.) |
| Gross national saving: | 25.6% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 48.4% |
| GDP - composition, by end use: | government consumption: 26.9% |
| GDP - composition, by end use: | investment in fixed capital: 19% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 48.6% |
| GDP - composition, by end use: | imports of goods and services: -42.7% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
