| Economy | Turkey |
| --- | --- |
| Economy - overview: | Turkey's largely free-market economy is increasingly driven by its industry and service sectors, although its traditional agriculture sector still accounts for about 25% of employment. An aggressive privatization program has reduced state involvement in basic industry, banking, transport, and communication, and an emerging cadre of middle-class entrepreneurs is adding dynamism to the economy and expanding production beyond the traditional textiles and clothing sectors. The automotive, construction, and electronics industries are rising in importance and have surpassed textiles within Turkey's export mix. Oil began to flow through the Baku-Tbilisi-Ceyhan pipeline in May 2006, marking a major milestone that will bring up to 1 million barrels per day from the Caspian to market. Several gas pipelines projects also are moving forward to help transport Central Asian gas to Europe through Turkey, which over the long term will help address Turkey's dependence on imported oil and gas to meet 97% of its energy needs. After Turkey experienced a severe financial crisis in 2001, Ankara adopted financial and fiscal reforms as part of an IMF program. The reforms strengthened the country's economic fundamentals and ushered in an era of strong growth averaging more than 6% annually until 2008. Global economic conditions and tighter fiscal policy caused GDP to contract in 2009, but Turkey's well-regulated financial markets and banking system helped the country weather the global financial crisis and GDP rebounded strongly to around 9% in 2010-11, as exports returned to normal levels following the recession. Growth dropped to roughly 3-4% in 2012-13. Turkey's public sector debt to GDP ratio has fallen below 40%, and two rating agencies upgraded Turkey's debt to investment grade in 2012 and 2013. Turkey remains dependent on often volatile, short-term investment to finance its large current account deficit. The stock value of FDI reached nearly $195 billion at year-end 2013, reflecting Turkey's robust growth even in the face of economic turmoil in Europe, the source of much of Turkey's FDI. Turkey's relatively high current account deficit, domestic political uncertainty, and turmoil within Turkey's neighborhood leave the economy vulnerable to destabilizing shifts in investor confidence. |
| GDP (purchasing power parity): | $1.167 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.124 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.101 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $821.8 billion (2013 est.) |
| GDP - real growth rate: | 3.8% (2013 est.) |
| GDP - real growth rate: | 2.2% (2012 est.) |
| GDP - real growth rate: | 8.8% (2011 est.) |
| GDP - per capita (PPP): | $15,300 (2013 est.) |
| GDP - per capita (PPP): | $15,000 (2012 est.) |
| GDP - per capita (PPP): | $14,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 19.4% of GDP (2013 est.) |
| Gross national saving: | 20.2% of GDP (2012 est.) |
| Gross national saving: | 23.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 71% |
| GDP - composition, by end use: | government consumption: 15.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 26.6% |
| GDP - composition, by end use: | imports of goods and services: -32.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.9% |
| GDP - composition, by sector of origin: | industry: 27.3% |
