| Economy | TURKEY |
| --- | --- |
| Economy - overview: | Turkey's largely free-market economy is increasingly driven by its industry and service sectors, although its traditional agriculture sector still accounts for about 25% of employment. An aggressive privatization program has reduced state involvement in basic industry, banking, transport, and communication. An emerging cadre of middle-class entrepreneurs is adding dynamism to the economy and expanding production beyond the traditional textiles and clothing sectors. The automotive, petrochemical, and electronics industries are rising in importance and have surpassed textiles within Turkey's export mix. |
| Economy - overview: | Oil began to flow through the Baku-Tbilisi-Ceyhan pipeline in May 2006, marking a major milestone that has brought up to 1 million barrels per day from the Caspian region to market. The joint Turkish-Azeri Trans Anatolian Natural Gas Pipeline (TANAP) is moving forward to help transport Caspian gas to Europe through Turkey, helping to address Turkey's dependence on imported gas, which currently meets 98% of its energy needs. |
| Economy - overview: | After Turkey experienced a severe financial crisis in 2001, Ankara adopted financial and fiscal reforms as part of an IMF program. The reforms strengthened the country's economic fundamentals and ushered in an era of strong growth averaging more than 6% annually until 2008. Global economic conditions and tighter fiscal policy caused GDP to contract in 2009, but Turkey's well-regulated financial markets and banking system helped the country weather the global financial crisis, and GDP rebounded strongly to around 9% in 2010-11, as exports returned to normal levels following the crisis. Two rating agencies upgraded Turkey's debt to investment grade in 2012 and 2013, and Turkey's public sector debt to GDP ratio fell to 33% in 2014. The stock value of Foreign Direct Investment reached nearly $195 billion at yearend 2014. |
| Economy - overview: | Despite these positive trends, GDP growth dropped to 4.4% in 2013 and 2.9% in 2014. Growth slowed considerably in the last quarter of 2014, largely due to lackluster consumer demand both domestically and in Europe, Turkey’s most important export market. High interest rates have also contributed to the slowdown in growth, as Turkey sharply increased interest rates in January 2014 in order to strengthen the country’s currency and reduce inflation. Turkey then cut rates in February 2015 in a bid to spur economic growth. |
| Economy - overview: | The Turkish economy retains significant weaknesses. Specifically, Turkey's relatively high current account deficit, uncertain commitment to structural reform, and turmoil within Turkey's neighborhood leave the economy vulnerable to destabilizing shifts in investor confidence. Turkey also remains overly dependent on often volatile, short-term investment to finance its large current account deficit. |
| GDP (purchasing power parity): | $1.589 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.53 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.487 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $733.6 billion (2015 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - real growth rate: | 2.9% (2014 est.) |
| GDP - real growth rate: | 4.2% (2013 est.) |
| GDP - per capita (PPP): | $20,400 (2015 est.) |
| GDP - per capita (PPP): | $19,900 (2014 est.) |
| GDP - per capita (PPP): | $19,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 18.6% of GDP (2015 est.) |
| Gross national saving: | 20.1% of GDP (2014 est.) |
| Gross national saving: | 20.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 68.6% |
| GDP - composition, by end use: | government consumption: 15.7% |
| GDP - composition, by end use: | investment in fixed capital: 20.3% |
| GDP - composition, by end use: | investment in inventories: -1.7% |
| GDP - composition, by end use: | exports of goods and services: 27.9% |
| GDP - composition, by end use: | imports of goods and services: -30.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.7% |
| GDP - composition, by sector of origin: | industry: 27% |
| GDP - composition, by sector of origin: | services: 67.8% (2015 est.) |
| Agriculture - products: | tobacco, cotton, grain, olives, sugar beets, hazelnuts, pulses, citrus; livestock |
| Industries: | textiles, food processing, automobiles, electronics, mining (coal, chromate, copper, boron), steel, petroleum, construction, lumber, paper |
| Industrial production growth rate: | 3.3% (2015 est.) |
| Labor force: | 29.67 million |
| Labor force: | note: about 1.2 million Turks work abroad (2015 est.) |
| Labor force - by occupation: | agriculture: 25.5% |
| Labor force - by occupation: | industry: 26.2% |
| Labor force - by occupation: | services: 48.4% (2010) |
| Unemployment rate: | 10.3% (2015 est.) |
