| Economy | Turkey |
| --- | --- |
| Economy - overview: | Turkey's largely free-market economy is increasingly driven by its industry and service sectors, although its traditional agriculture sector still accounts for about 25% of employment. An aggressive privatization program has reduced state involvement in basic industry, banking, transport, and communication, and an emerging cadre of middle-class entrepreneurs is adding dynamism to the economy and expanding production beyond the traditional textiles and clothing sectors. The automotive, construction, and electronics industries, are rising in importance and have surpassed textiles within Turkey's export mix. Oil began to flow through the Baku-Tbilisi-Ceyhan pipeline in May 2006, marking a major milestone that will bring up to 1 million barrels per day from the Caspian to market. Several gas pipelines projects also are moving forward to help transport Central Asian gas to Europe through Turkey, which over the long term will help address Turkey's dependence on imported oil and gas to meet 97% of its energy needs. After Turkey experienced a severe financial crisis in 2001, Ankara adopted financial and fiscal reforms as part of an IMF program. The reforms strengthened the country's economic fundamentals and ushered in an era of strong growth - averaging more than 6% annually until 2008. Global economic conditions and tighter fiscal policy caused GDP to contract in 2009, but Turkey's well-regulated financial markets and banking system helped the country weather the global financial crisis and GDP rebounded strongly to 9.2% in 2010, as exports returned to normal levels following the recession. Growth dropped to approximately 3% in 2012. Turkey's public sector debt to GDP ratio has fallen to about 40%. Continued strong growth has pushed inflation to the 9% level, however. Turkey remains dependent on often volatile, short-term investment to finance its large trade deficit. The stock value of FDI stood at $117 billion at year-end 2012. Inflows have slowed because of continuing economic turmoil in Europe, the source of much of Turkey's FDI. Further economic and judicial reforms and prospective EU membership are expected to boost Turkey's attractiveness to foreign investors. However, Turkey's relatively high current account deficit, uncertainty related to monetary policy-making, and political turmoil within Turkey's neighborhood leave the economy vulnerable to destabilizing shifts in investor confidence. |
| GDP (purchasing power parity): | $1.125 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.093 trillion (2011 est.) |
| GDP (purchasing power parity): | $1.007 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $783.1 billion (2012 est.) |
| GDP - real growth rate: | 3% (2012 est.) |
| GDP - real growth rate: | 8.5% (2011 est.) |
| GDP - real growth rate: | 9.2% (2010 est.) |
| GDP - per capita (PPP): | $15,000 (2012 est.) |
| GDP - per capita (PPP): | $14,600 (2011 est.) |
| GDP - per capita (PPP): | $13,800 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 8.9% |
| GDP - composition by sector: | industry: 28.1% |
| GDP - composition by sector: | services: 63% (2012 est.) |
| Labor force: | 27.11 million |
| Labor force: | note: about 1.2 million Turks work abroad (2012 est.) |
| Labor force - by occupation: | agriculture: 25.5% |
