| Economy | MONTENEGRO |
| --- | --- |
| Economy - overview: | Montenegro's economy is transitioning to a market system. From the beginning of the privatization process in 1999 through to 2015, around 85% of Montenegrin state-owned companies have been privatized, including 100% of banking, telecommunications, and oil distribution. The government recognizes the need to remove impediments in order to remain competitive and open the economy to foreign investors. The biggest foreign investors in Montenegro are Italy, Norway, Austria, Russia, Hungary and Great Britain. Net foreign direct investment in 2014 reached $483 million and investment per capita is one of the highest in Europe. Montenegro uses the Euro as its domestic currency, though it is not an official member of the Euro-zone. In January 2007, Montenegro joined the World Bank and IMF, and in December 2011, the World Trade Organization. Montenegro began negotiations to join the EC in June, 2012, having met the conditions set down by the European Council, which called on Montenegro to take steps to fight corruption and organized crime. Tourism brings in twice as many visitors as Montenegro&rsquo;s total population every year. Several new luxury tourism complexes are in various states of development along the coast, and a number are being offered in connection with nearby boating and yachting facilities. Montenegro is currently planning major overhauls of its road, rail networks, and possible expansions of its air transportation system. In 2014, the Government of Montenegro selected two Chinese companies to construct a 41 km-long section of the country&rsquo;s highway system. Construction will cost around $1.1 billion. Montenegro first instituted value added tax (VAT) in April 2003, and introduced differentiated VAT rates of 17% and 7% (for tourism) in January 2006. In May 2013, the Montenegrin Government raised the higher level VAT rate to 19%. |
| GDP (purchasing power parity): | $9.36 billion (2014 est.) |
| GDP (purchasing power parity): | $9.256 billion (2013 est.) |
| GDP (purchasing power parity): | $8.957 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $4.462 billion (2014 est.) |
| GDP - real growth rate: | 1.1% (2014 est.) |
| GDP - real growth rate: | 3.3% (2013 est.) |
| GDP - real growth rate: | -2.5% (2012 est.) |
| GDP - per capita (PPP): | $15,000 (2014 est.) |
| GDP - per capita (PPP): | $14,800 (2013 est.) |
| GDP - per capita (PPP): | $14,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 2.3% of GDP (2014 est.) |
| Gross national saving: | 1.3% of GDP (2013 est.) |
| Gross national saving: | 0.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 81.8% |
| GDP - composition, by end use: | government consumption: 21.2% |
| GDP - composition, by end use: | investment in fixed capital: 19.5% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 42.1% |
| GDP - composition, by end use: | imports of goods and services: -64.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.3% |
| GDP - composition, by sector of origin: | industry: 21.2% |
| GDP - composition, by sector of origin: | services: 70.5% (2013 est.) |
| Agriculture - products: | tobacco, potatoes, citrus fruits, olives, grapes; sheep |
| Industries: | steelmaking, aluminum, agricultural processing, consumer goods, tourism |
| Industrial production growth rate: | 4.5% (2013 est.) |
| Labor force: | 263,200 (2014 est.) |
| Labor force - by occupation: | agriculture: 5.3% |
| Labor force - by occupation: | industry: 17.9% |
| Labor force - by occupation: | services: 76.8% (2014 est.) |
| Unemployment rate: | 18.5% (2014 est.) |
| Unemployment rate: | 19.1% (2014 est.) |
| Population below poverty line: | 8.6% (2013 est.) |
| Distribution of family income - Gini index: | 26.2 (2013 est.) |
| Distribution of family income - Gini index: | 24.3 (2010) |
| Budget: | revenues: $1.56 billion |
| Budget: | expenditures: $1.63 billion (2014 est.) |
| Taxes and other revenues: | 33.5% of GDP (2014 est.) |
