| Economy | AFGHANISTAN |
| --- | --- |
| Economy - overview: | Afghanistan is gradually recovering from decades of conflict. Before 2014, the economy had sustained nearly a decade of strong growth, largely because of international assistance. Since 2014, however, the economy has slowed, in large part because of the withdrawal of nearly 100,000 foreign troops that had artificially inflated the country’s economic growth. Despite improvements in life expectancy, incomes, and literacy since 2001, Afghanistan is extremely poor, landlocked, and highly dependent on foreign aid. Much of the population continues to suffer from shortages of housing, clean water, electricity, medical care, and jobs. Corruption, insecurity, weak governance, lack of infrastructure, and the Afghan Government's difficulty in extending rule of law to all parts of the country pose challenges to future economic growth. Afghanistan's living standards are among the lowest in the world. |
| Economy - overview: | The international community remains committed to Afghanistan's development, pledging over $83 billion at ten donors' conferences between 2003 and 2016. In October 2016, the donors at the Brussels conference pledged an additional $3.8 billion in development aid annually from 2017 to 2020. Despite this help, the Government of Afghanistan will need to overcome a number of challenges, including low revenue collection, anemic job creation, high levels of corruption, weak government capacity, and poor public infrastructure. |
| Economy - overview: | In 2016 Afghanistan's growth rate was only marginally above that of 2014 and 2015. The drawdown of international security forces that started in 2012 has negatively affected economic growth, as a substantial portion of commerce, especially in the services sector, has catered to the ongoing international troop presence in the country. Afghan President Ashraf GHANI Ahmadzai is dedicated to instituting economic reforms to include improving revenue collection and fighting corruption. However, the reforms will take time to implement and Afghanistan will remain dependent on international donor support over the next several years. |
| GDP (purchasing power parity): | $66.65 billion (2016 est.) |
| GDP (purchasing power parity): | $64.29 billion (2015 est.) |
| GDP (purchasing power parity): | $62.78 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $19.45 billion (2016 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 1.3% (2015 est.) |
| GDP - real growth rate: | 2.7% (2014 est.) |
| GDP - per capita (PPP): | $2,000 (2016 est.) |
| GDP - per capita (PPP): | $2,000 (2015 est.) |
| GDP - per capita (PPP): | $2,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 25.5% of GDP (2016 est.) |
| Gross national saving: | 21.4% of GDP (2015 est.) |
| Gross national saving: | 23.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 108.6% |
| GDP - composition, by end use: | government consumption: 12.8% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 6.6% |
| GDP - composition, by end use: | imports of goods and services: -46.2% (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 22% |
| GDP - composition, by sector of origin: | industry: 22% |
| GDP - composition, by sector of origin: | services: 56% |
| GDP - composition, by sector of origin: | note: data exclude opium production (2015 est.) |
| Agriculture - products: | opium, wheat, fruits, nuts; wool, mutton, sheepskins, lambskins, poppies |
| Industries: | small-scale production of bricks, textiles, soap, furniture, shoes, fertilizer, apparel, food products, non-alcoholic beverages, mineral water, cement; handwoven carpets; natural gas, coal, copper |
| Industrial production growth rate: | 2.4% (2014 est.) |
| Labor force: | 7.983 million (2013 est.) |
| Labor force - by occupation: | agriculture: 78.6% |
| Labor force - by occupation: | industry: 5.7% |
| Labor force - by occupation: | services: 15.7% (FY08/09 est.) |
| Unemployment rate: | 35% (2008 est.) |
| Unemployment rate: | 40% (2005 est.) |
| Population below poverty line: | 35.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 24% (2008) |
| Budget: | revenues: $1.992 billion |
| Budget: | expenditures: $6.636 billion (2016 est.) |
| Taxes and other revenues: | 10.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -24.6% of GDP (2016 est.) |
| Public debt: | 8.3% of GDP (2016 est.) |
| Public debt: | 9.3% of GDP (2015 est.) |
| Fiscal year: | 21 December - 20 December |
| Inflation rate (consumer prices): | 4.4% (2016 est.) |
| Inflation rate (consumer prices): | -2.9% (2015 est.) |
| Commercial bank prime lending rate: | 15% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 15% (31 December 2015 est.) |
| Stock of narrow money: | $6.644 billion (31 December 2014 est.) |
| Stock of narrow money: | $6.192 billion (31 December 2013 est.) |
| Stock of broad money: | $6.945 billion (31 December 2014 est.) |
| Stock of broad money: | $6.544 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-240.6 million (31 December 2016 est.) |
| Stock of domestic credit: | $-70.18 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $1.372 billion (2016 est.) |
| Current account balance: | $-4.721 billion (2015 est.) |
| Exports: | $619.2 million (2016 est.) |
| Exports: | $580 million (2015 est.) |
| Exports: | note: not including illicit exports or reexports |
| Exports - commodities: | opium, fruits and nuts, handwoven carpets, wool, cotton, hides and pelts, precious and semi-precious gems |
| Exports - partners: | Pakistan 46.3%, India 37.6% (2016) |
| Imports: | $6.16 billion (2016 est.) |
| Imports: | $7.034 billion (2015 est.) |
| Imports - commodities: | machinery and other capital goods, food, textiles, petroleum products |
| Imports - partners: | Iran 19.3%, Pakistan 18.3%, China 16.7%, Kazakhstan 9.5%, Uzbekistan 6.1%, Turkmenistan 5.4%, Malaysia 4% (2016) |
| Reserves of foreign exchange and gold: | $6.477 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $6.232 billion (31 December 2015 est.) |
| Debt - external: | $1.28 billion (FY10/11) |
| Debt - external: | $2.7 billion (FY08/09) |
| Exchange rates: | afghanis (AFA) per US dollar - |
| Exchange rates: | 61.14 (2016 est.) |
| Exchange rates: | 61.14 (2015 est.) |
| Exchange rates: | 61.14 (2014 est.) |
| Exchange rates: | 57.25 (2013 est.) |
| Exchange rates: | 46.45 (2010) |
