| Economy | India |
| --- | --- |
| Economy - overview: | India is developing into an open-market economy, yet traces of its past autarkic policies remain. Economic liberalization measures, including industrial deregulation, privatization of state-owned enterprises, and reduced controls on foreign trade and investment, began in the early 1990s and have served to accelerate the country's growth, which averaged under 7% per year since 1997. India's diverse economy encompasses traditional village farming, modern agriculture, handicrafts, a wide range of modern industries, and a multitude of services. Slightly more than half of the work force is in agriculture, but services are the major source of economic growth, accounting for nearly two-thirds of India's output, with less than one-third of its labor force. India has capitalized on its large educated English-speaking population to become a major exporter of information technology services, business outsourcing services, and software workers. In 2010, the Indian economy rebounded robustly from the global financial crisis - in large part because of strong domestic demand - and growth exceeded 8% year-on-year in real terms. However, India's economic growth began slowing in 2011 because of a slowdown in government spending and a decline in investment, caused by investor pessimism about the government's commitment to further economic reforms and about the global situation. High international crude prices have exacerbated the government's fuel subsidy expenditures, contributing to a higher fiscal deficit and a worsening current account deficit. In late 2012, the Indian Government announced additional reforms and deficit reduction measures to reverse India's slowdown, including allowing higher levels of foreign participation in direct investment in the economy. The outlook for India's medium-term growth is positive due to a young population and corresponding low dependency ratio, healthy savings and investment rates, and increasing integration into the global economy. India has many long-term challenges that it has yet to fully address, including poverty, corruption, violence and discrimination against women and girls, an inefficient power generation and distribution system, ineffective enforcement of intellectual property rights, decades-long civil litigation dockets, inadequate transport and agricultural infrastructure, limited non-agricultural employment opportunities, inadequate availability of quality basic and higher education, and accommodating rural-to-urban migration. |
| GDP (purchasing power parity): | $4.716 trillion (2012 est.) |
| GDP (purchasing power parity): | $4.568 trillion (2011 est.) |
| GDP (purchasing power parity): | $4.296 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.817 trillion (2012 est.) |
| GDP - real growth rate: | 3.2% (2012 est.) |
| GDP - real growth rate: | 6.3% (2011 est.) |
| GDP - real growth rate: | 10.5% (2010 est.) |
| GDP - per capita (PPP): | $3,800 (2012 est.) |
| GDP - per capita (PPP): | $3,800 (2011 est.) |
| GDP - per capita (PPP): | $3,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 28.8% of GDP (2012 est.) |
| Gross national saving: | 30.3% of GDP (2011 est.) |
