| Economy | INDIA |
| --- | --- |
| Economy - overview: | India's diverse economy encompasses traditional village farming, modern agriculture, handicrafts, a wide range of modern industries, and a multitude of services. Slightly less than half of the work force is in agriculture, but services are the major source of economic growth, accounting for nearly two-thirds of India's output but employing less than one-third of its labor force. India has capitalized on its large educated English-speaking population to become a major exporter of information technology services, business outsourcing services, and software workers. |
| Economy - overview: | India is developing into an open-market economy, yet traces of its past autarkic policies remain. Economic liberalization measures, including industrial deregulation, privatization of state-owned enterprises, and reduced controls on foreign trade and investment, began in the early 1990s and served to accelerate the country's growth, which averaged under 7% per year from 1997 to 2011. India's economic growth began slowing in 2011 because of a decline in investment caused by high interest rates, rising inflation, and investor pessimism about the government's commitment to further economic reforms and about slow world growth. Rising macroeconomic imbalances in India and improving economic conditions in Western countries led investors to shift capital away from India, prompting a sharp depreciation of the rupee. |
| Economy - overview: | Growth rebounded in 2014 and 2015, with both years exceeding 7%. Investors’ perceptions of India improved in early 2014, due to a reduction of the current account deficit and expectations of post-election economic reform, resulting in a surge of inbound capital flows and stabilization of the rupee. Since the election, economic reforms have focused on administrative and governance changes largely because the ruling party remains a minority in India’s upper house of Parliament, which must approve most bills. Despite a high growth rate compared to the rest of the world, in 2015, India’s government-owned banks faced mounting bad debt, resulting in low credit growth and restrained economic growth. |
| Economy - overview: | The outlook for India's long-term growth is moderately positive due to a young population and corresponding low dependency ratio, healthy savings and investment rates, and increasing integration into the global economy. However, India's discrimination against women and girls, an inefficient power generation and distribution system, ineffective enforcement of intellectual property rights, decades-long civil litigation dockets, inadequate transport and agricultural infrastructure, limited non-agricultural employment opportunities, high spending and poorly targeted subsidies, inadequate availability of quality basic and higher education, and accommodating rural-to-urban migration are significant long-term challenges. |
| GDP (purchasing power parity): | $7.965 trillion (2015 est.) |
| GDP (purchasing power parity): | $7.421 trillion (2014 est.) |
| GDP (purchasing power parity): | $6.92 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $2.091 trillion (2015 est.) |
| GDP - real growth rate: | 7.3% (2015 est.) |
| GDP - real growth rate: | 7.2% (2014 est.) |
| GDP - real growth rate: | 6.6% (2013 est.) |
| GDP - per capita (PPP): | $6,200 (2015 est.) |
| GDP - per capita (PPP): | $5,800 (2014 est.) |
| GDP - per capita (PPP): | $5,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 30.6% of GDP (2015 est.) |
| Gross national saving: | 31.3% of GDP (2014 est.) |
| Gross national saving: | 31.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 59.6% |
| GDP - composition, by end use: | government consumption: 10.6% |
| GDP - composition, by end use: | investment in fixed capital: 29.3% |
| GDP - composition, by end use: | investment in inventories: 3.1% |
| GDP - composition, by end use: | exports of goods and services: 20% |
| GDP - composition, by end use: | imports of goods and services: -22.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 17% |
| GDP - composition, by sector of origin: | industry: 29.7% |
| GDP - composition, by sector of origin: | services: 45% (2014 est.) |
| Agriculture - products: | rice, wheat, oilseed, cotton, jute, tea, sugarcane, lentils, onions, potatoes; dairy products, sheep, goats, poultry; fish |
| Industries: | textiles, chemicals, food processing, steel, transportation equipment, cement, mining, petroleum, machinery, software, pharmaceuticals |
| Industrial production growth rate: | 7.4% (2015 est.) |
| Labor force: | 501.8 million (2015 est.) |
| Labor force - by occupation: | agriculture: 49% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 31% (2012 est.) |
| Unemployment rate: | 8.4% (2015 est.) |
| Unemployment rate: | 9.3% (2014 est.) |
| Population below poverty line: | 29.8% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2005) |
| Distribution of family income - Gini index: | 33.6 (2012) |
| Distribution of family income - Gini index: | 37.8 (1997) |
| Budget: | revenues: $193.4 billion |
| Budget: | expenditures: $276.4 billion (2015 est.) |
| Taxes and other revenues: | 9.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2015 est.) |
| Public debt: | 52.4% of GDP (2015 est.) |
| Public debt: | 51.9% of GDP (2014 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 4.9% (2015 est.) |
| Inflation rate (consumer prices): | 6.7% (2014 est.) |
| Central bank discount rate: | 7.75% (31 December 2014) |
| Central bank discount rate: | 7.75% (31 December 2013) |
| Central bank discount rate: | note: this is the Indian central bank's policy rate - the repurchase rate |
| Commercial bank prime lending rate: | 10.01% (31 December 2015 est.) |
