| Economy | Costa Rica |
| --- | --- |
| Economy - overview: | Prior to the global economic crisis, Costa Rica enjoyed stable economic growth. The economy contracted 1.3% in 2009 but resumed growth at about 4.5% per year in 2010-12. While the traditional agricultural exports of bananas, coffee, sugar, and beef are still the backbone of commodity export trade, a variety of industrial and specialized agricultural products have broadened export trade in recent years. High value-added goods and services, including microchips, have further bolstered exports. Tourism continues to bring in foreign exchange, as Costa Rica's impressive biodiversity makes it a key destination for ecotourism. Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; and Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. However, many business impediments remain, such as high levels of bureaucracy, legal uncertainty due to overlapping and at times conflicting responsibilities between agencies, difficulty of enforcing contracts, and weak investor protection. Poverty has remained around 20-25% for nearly 20 years, and the strong social safety net that had been put into place by the government has eroded due to increased financial constraints on government expenditures. Unlike the rest of Central America, Costa Rica is not highly dependent on remittances as they only represent about 2% of GDP. Immigration from Nicaragua has increasingly become a concern for the government. The estimated 300,000-500,000 Nicaraguans in Costa Rica legally and illegally are an important source of mostly unskilled labor but also place heavy demands on the social welfare system. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR) entered into force on 1 January 2009 after significant delays within the Costa Rican legislature. CAFTA-DR has increased foreign direct investment in key sectors of the economy, including the insurance and telecommunications sectors recently opened to private investors. President CHINCHILLA was not able to gain legislative approval for fiscal reform, her top priority, though she continued to pursue fiscal reform in 2012. President CHINCHILLA and the PLN were successful in passing a tax on corporations to fund an increase for security services. |
| GDP (purchasing power parity): | $58.55 billion (2012 est.) |
| GDP (purchasing power parity): | $55.69 billion (2011 est.) |
| GDP (purchasing power parity): | $53.33 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $44.5 billion (2012 est.) |
| GDP - real growth rate: | 5.1% (2012 est.) |
| GDP - real growth rate: | 4.4% (2011 est.) |
| GDP - real growth rate: | 5% (2010 est.) |
| GDP - per capita (PPP): | $12,500 (2012 est.) |
| GDP - per capita (PPP): | $12,100 (2011 est.) |
| GDP - per capita (PPP): | $11,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 15.9% of GDP (2012 est.) |
| Gross national saving: | 16.2% of GDP (2011 est.) |
| Gross national saving: | 17.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 65.1% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 20.2% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 37.7% |
| GDP - composition, by end use: | imports of goods and services: -41.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 21.5% |
| GDP - composition, by sector of origin: | services: 72.4% (2012 est.) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | microprocessors, food processing, medical equipment, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 6% (2012 est.) |
| Labor force: | 2.182 million |
| Labor force: | note: this official estimate excludes Nicaraguans living in Costa Rica (2012 est.) |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 7.8% (2012 est.) |
| Unemployment rate: | 7.7% (2011 est.) |
| Population below poverty line: | 24.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009 est.) |
| Distribution of family income - Gini index: | 50.3 (2009) |
| Distribution of family income - Gini index: | 45.9 (1997) |
| Budget: | revenues: $6.506 billion |
| Budget: | expenditures: $8.501 billion (2012 est.) |
